[196991] ['2/9', '3/5', '2/3', '7/5', '3'] -> (((3 * (3/5 + 7/5)) - 2/3) / 2/9)
[196992] ['1/7', '5/9', '7/5', '7/3', '7'] -> (7 / (1/7 + (5/9 / (7/5 + 7/3))))
[196993] ['3/7', '6/7', '1', '5/4', '9/7'] -> ((3/7 + 9/7) / ((6/7 * 5/4) - 1))
[196994] ['3/4', '6/7', '7/6', '9/7', '8'] -> ((7/6 * 8) * (6/7 + (9/7 / 3/4)))
[196995] ['1/7', '1/5', '3/7', '1', '9/2'] -> (9/2 * ((1/7 / 3/7) + (1 / 1/5)))
[196996] ['3/5', '4/3', '9/5', '9/5', '6'] -> ((4/3 * 6) * (9/5 - (3/5 - 9/5)))
[196997] ['5/7', '8/7', '7/5', '2', '7/3'] -> ((5/7 * 7/5) / ((7/3 / 8/7) - 2))
[196998] ['7/9', '8/9', '8/5', '7/4', '9'] -> (9 / (7/4 - (8/9 + (7/9 / 8/5))))
[196999] ['3/7', '4/3', '3/2', '2', '5/2'] -> ((3/2 + 5/2) * (4/3 + (2 / 3/7)))
[197000] ['3/7', '6/7', '1', '5/4', '7/5'] -> ((6/7 / 5/4) / ((3/7 + 1) - 7/5))
[197001] ['3/4', '6/7', '7/6', '4/3', '8'] -> ((8 / 4/3) / ((6/7 * 7/6) - 3/4))
[197002] ['3/7', '5/7', '8/3', '7/2', '6'] -> ((7/2 * 6) / (5/7 + (3/7 / 8/3)))
[197003] ['7/9', '8/9', '8/5', '9/5', '9'] -> ((8/9 * 9) * (8/5 + (7/9 * 9/5)))
[197004] ['1/7', '5/9', '7/5', '7/2', '7'] -> ((7/2 * (7 + (1/7 / 5/9))) - 7/5)
[197005] ['2/5', '2/3', '2/3', '8/7', '7'] -> ((7 * (2/3 + (8/7 / 2/5))) - 2/3)
[197006] ['4/5', '8/7', '9/7', '9/2', '5'] -> (5 * (4/5 + (9/2 * (8/7 / 9/7))))
[197007] ['5/7', '8/7', '7/5', '2', '8/3'] -> ((8/7 / 5/7) / (7/5 - (8/3 / 2)))
[197008] ['7/9', '8/9', '8/5', '9/4', '9'] -> ((8/9 + (7/9 * 8/5)) * (9/4 + 9))
[197009] ['3/5', '4/3', '9/4', '7/3', '6'] -> (6 / (9/4 * (7/3 - (4/3 / 3/5))))
[197010] ['3/7', '5/7', '8/3', '9/2', '6'] -> (((6 * (9/2 - 8/3)) - 5/7) / 3/7)
[197011] ['1/7', '5/9', '7/5', '9/2', '7'] -> ((9/2 * (5/9 * 7/5)) * (7 - 1/7))
[197012] ['1/5', '3/8', '7/9', '1', '5/2'] -> ((1 / 3/8) / ((7/9 / 5/2) - 1/5))
[197013] ['1/7', '1/5', '4/9', '5/9', '1'] -> (((1 + (5/9 / 1/7)) / 1/5) - 4/9)
[197014] ['4/5', '8/7', '4/3', '4/3', '5'] -> ((4/5 * 5) / (4/3 - (4/3 / 8/7)))
[197015] ['2/5', '2/3', '2/3', '6/5', '7'] -> ((7 + (2/3 / 2/3)) / (2/5 / 6/5))
[197016] ['3/7', '6/7', '1', '5/4', '9/4'] -> (6/7 / ((9/4 * (1 - 3/7)) - 5/4))
[197017] ['3/7', '3/4', '3/4', '3/4', '6'] -> (6 / ((3/4 / 3/7) - (3/4 + 3/4)))
[197018] ['1/3', '8/9', '8/9', '9/7', '6'] -> ((8/9 + (8/9 * 6)) / (1/3 / 9/7))
[197019] ['2/9', '3/5', '2/3', '3', '7/2'] -> (((2/3 + 3) / (2/9 * 3/5)) - 7/2)
[197020] ['1/9', '5/8', '6/7', '9/2', '9'] -> (9 / ((5/8 / 1/9) - (9/2 / 6/7)))
[197021] ['3/7', '4/3', '8/5', '7/4', '2'] -> (2 / ((4/3 / 8/5) - (3/7 * 7/4)))
[197022] ['2/5', '2/3', '2/3', '5/4', '7'] -> ((((7 / 2/5) - 2/3) / 2/3) - 5/4)
[197023] ['3/7', '3/4', '3/4', '7/9', '6'] -> ((3/4 + (3/4 / 7/9)) / (3/7 / 6))
[197024] ['3/4', '6/7', '6/5', '6/5', '8'] -> (8 * ((6/5 / 3/4) + (6/5 / 6/7)))
[197025] ['5/7', '8/7', '3/2', '5/3', '2'] -> (8/7 / ((5/7 - 3/2) + (5/3 / 2)))
[197026] ['3/7', '6/7', '1', '5/4', '8/3'] -> (3/7 / (5/4 - (6/7 + (1 / 8/3))))
[197027] ['1/7', '5/9', '3/2', '7/4', '7'] -> (3/2 + ((1/7 + 7) / (5/9 / 7/4)))
[197028] ['1/5', '3/8', '4/5', '4/5', '1'] -> ((1 + ((4/5 + 4/5) / 1/5)) / 3/8)
[197029] ['1/7', '1/5', '4/9', '2/3', '1'] -> (((2/3 / (1/5 - 1/7)) - 1) / 4/9)
[197030] ['3/5', '4/3', '8/3', '9/2', '6'] -> (((4/3 + 8/3) / (3/5 / 9/2)) - 6)
[197031] ['7/9', '8/9', '5/3', '9/4', '9'] -> ((8/9 * 9/4) + (9 * (7/9 + 5/3)))
[197032] ['1/5', '3/8', '4/5', '5/6', '1'] -> (1 / ((1/5 * 3/8) + (4/5 - 5/6)))
[197033] ['1/9', '5/8', '7/8', '6/5', '9'] -> ((6/5 + (5/8 + 7/8)) * (9 - 1/9))
[197034] ['3/5', '6/7', '9/8', '7/5', '8'] -> (8 / ((6/7 / 9/8) - (3/5 / 7/5)))
[197035] ['3/7', '3/4', '3/4', '9/8', '6'] -> (6 / ((3/4 / 3/7) - (9/8 / 3/4)))
[197036] ['1/7', '1/5', '4/9', '3/4', '1'] -> ((3/4 / (1/7 * 1/5)) - (1 / 4/9))
[197037] ['7/9', '8/9', '5/3', '5/2', '9'] -> ((9 - (7/9 / 5/3)) / (8/9 / 5/2))
[197038] ['3/4', '6/7', '6/5', '3/2', '8'] -> ((6/5 * 8) * (3/4 + (3/2 / 6/7)))
[197039] ['1/5', '3/8', '4/5', '6/7', '1'] -> (1/5 / ((3/8 + 4/5) - (1 / 6/7)))
