[216690] ['1/6', '1/6', '2/7', '3/8', '7'] -> (2/7 + 1/6 / 1/6) * 7 / 3/8
[216691] ['1/5', '1/5', '1/3', '1/2', '2'] -> (2 - 1/5 / 1/2) / (1/5 * 1/3)
[216692] ['3/7', '1/2', '4/7', '8/9', '7'] -> 7 * 4/7 / 3/7 / (8/9 - 1/2)
[216693] ['2/3', '7/9', '7/5', '8/3', '8'] -> (8 + 8/3 / 7/9) * 7/5 / 2/3
[216694] ['6/7', '9/8', '4/3', '4/3', '9'] -> (4/3 + 9) / (4/3 / 6/7 - 9/8)
[216695] ['7/9', '8/9', '7/5', '2', '8/3'] -> 8/3 / (7/9 / 7/5 - 8/9 / 2)
[216696] ['3/8', '7/9', '6/7', '8/3', '6'] -> (8/3 + 6 / 6/7) / (7/9 - 3/8)
[216697] ['4/9', '2/3', '5/7', '1', '8/3'] -> 8/3 / ((1 - 4/9) / 5/7 - 2/3)
[216698] ['1/7', '3/7', '6/7', '1', '7/5'] -> 6/7 / (3/7 / (1 + 7/5) - 1/7)
[216699] ['1/5', '1/5', '1/3', '2/3', '2'] -> (1/5 + 2 / 2/3) / (1/3 - 1/5)
[216700] ['3/8', '7/9', '6/7', '7/2', '6'] -> (6 + 7/2 / 7/9) * 6/7 / 3/8
[216701] ['1/7', '3/7', '6/7', '1', '3/2'] -> (1 + 3/7 + 6/7) * 3/2 / 1/7
[216702] ['1/4', '2/7', '7/8', '5/3', '3'] -> (2/7 + 3 * 5/3 / 7/8) / 1/4
[216703] ['1/8', '1/6', '2/7', '1/3', '9'] -> 9 / (1/8 - 1/3 + 1/6 / 2/7)
[216704] ['1/7', '3/7', '6/7', '1', '8/5'] -> 8/5 * (1 + 6/7 / (1/7 * 3/7))
[216705] ['3/7', '1/2', '4/7', '7/5', '7'] -> (1/2 + 7) * (3/7 + 7/5) / 4/7
[216706] ['7/8', '8/9', '7/5', '7/2', '5'] -> 8/9 * 5 * (7/5 + 7/2 / 7/8)
[216707] ['3/8', '7/9', '7/8', '7/8', '6'] -> (6 + 7/8 / 7/8) / (3/8 * 7/9)
[216708] ['6/7', '9/8', '4/3', '8/5', '9'] -> (9 / (9/8 - 6/7) - 8/5) / 4/3
[216709] ['3/7', '1/2', '4/7', '5/3', '7'] -> 4/7 / (5/3 / 7 - 3/7 * 1/2)
[216710] ['4/9', '2/3', '3/4', '5/6', '1'] -> 1 / (4/9 / 2/3 - 3/4 * 5/6)
[216711] ['5/6', '6/7', '9/8', '9/4', '8'] -> 9/8 + 9/4 * (5/6 + 8 / 6/7)
[216712] ['2/3', '7/9', '8/5', '5/3', '8'] -> 8 * (5/3 * (2/3 + 8/5) - 7/9)
[216713] ['1/5', '1/5', '1/3', '5/6', '2'] -> (2 * 5/6 / 1/3 - 1/5) / 1/5
[216714] ['4/9', '2/3', '3/4', '6/7', '1'] -> 2/3 / (4/9 + 3/4 - 1 / 6/7)
[216715] ['1/7', '3/7', '6/7', '1', '7/3'] -> (3/7 + 1 + 6/7 * 7/3) / 1/7
[216716] ['1/4', '2/7', '8/9', '8/9', '3'] -> 3 / (8/9 / 8/9 - 1/4 / 2/7)
[216717] ['4/9', '2/3', '3/4', '7/8', '1'] -> 1 / (7/8 - 3/4 * (4/9 + 2/3))
[216718] ['3/7', '1/2', '4/7', '9/4', '7'] -> (3/7 + 4/7 * 9/4) * 7 / 1/2
[216719] ['7/9', '8/9', '3/2', '9/5', '2'] -> 8/9 / (7/9 - 2 / (3/2 * 9/5))
[216720] ['1/5', '5/7', '1', '9/8', '4/3'] -> 1 / (9/8 / 5/7 - (1/5 + 4/3))
[216721] ['1/8', '1/6', '2/7', '3/5', '9'] -> 9 / (1/6 / 2/7 - 1/8 / 3/5)
[216722] ['2/3', '9/8', '6/5', '6/5', '6'] -> 6 / (6/5 / 6/5 - 2/3 * 9/8)
[216723] ['1/5', '1/5', '1/3', '8/9', '2'] -> 8/9 / (1/5 * 1/3) * (2 - 1/5)
[216724] ['2/3', '7/9', '8/5', '9/4', '8'] -> (8 - 8/5) * (2/3 + 9/4) / 7/9
[216725] ['1/4', '2/7', '8/9', '9/8', '3'] -> 3 / (8/9 * 9/8 - 1/4 / 2/7)
[216726] ['4/9', '5/8', '7/5', '9/2', '6'] -> 6 / (4/9 - 5/8 * 7/5 / 9/2)
[216727] ['5/6', '6/7', '9/8', '8/3', '8'] -> 8/3 * (8 + 9/8 / 6/7) - 5/6
[216728] ['1/5', '1/5', '1/3', '9/8', '2'] -> (2 - 1/5) / (9/8 * 1/5 * 1/3)
[216729] ['3/7', '1/2', '3/5', '5/8', '7'] -> 3/7 * 7 / (1/2 - 3/5 * 5/8)
[216730] ['2/3', '9/8', '6/5', '5/4', '6'] -> (6 / (2/3 * (6/5 * 5/4)) - 9/8))
[216731] ['2/3', '7/9', '8/5', '5/2', '8'] -> (8/5 - 2/3) * 8 * 5/2 / 7/9
[216732] ['6/7', '9/8', '4/3', '9/2', '9'] -> (9/2 / (9 * 4/3) - (9/8 / 6/7)))
[216733] ['1', '6/5', '3/2', '7/4', '8/3'] -> 1 / ((3/2 + 7/4) / 6/5 - 8/3)
[216734] ['5/6', '6/7', '9/8', '7/2', '8'] -> (7/2 + 8) / (9/8 / 6/7 - 5/6)
[216735] ['7/9', '8/9', '8/5', '8/5', '2'] -> 8/5 / (7/9 - 8/9 * 8/5 / 2)
[216736] ['4/9', '5/8', '3/2', '9/5', '6'] -> 9/5 * 3/2 / 5/8 * (6 - 4/9)
[216737] ['2/3', '9/8', '6/5', '9/7', '6'] -> (6 / (6/5 * (9/8 / 9/7)) - 2/3))
[216738] ['6/7', '9/8', '7/5', '7/5', '9'] -> 9 / (9/8 * 7/5 - 6/7 * 7/5)
[216739] ['1/7', '3/7', '7/8', '1', '5/4'] -> 1 / (5/4 - (7/8 + 1/7 / 3/7))
[216740] ['1/8', '1/6', '2/7', '7/9', '9'] -> 9 / (1/6 / 7/9 - (1/8 - 2/7))
[216741] ['1/5', '1/5', '1/3', '4/3', '2'] -> 2 / (1/5 / 4/3 - 1/5 * 1/3)
[216742] ['1', '6/5', '3/2', '7/4', '9/2'] -> 6/5 / (9/2 / (1 + 3/2) - 7/4)
[216743] ['4/9', '5/8', '3/2', '7/3', '6'] -> (3/2 * 6 - 7/3) / (4/9 * 5/8)
[216744] ['7/8', '8/9', '3/2', '5/2', '5'] -> (5/2 / ((8/9 - 7/8) * 3/2) * 5))
[216745] ['7/9', '8/9', '8/5', '5/3', '2'] -> (8/9 / (5/3 * (8/5 / 2)) - 7/9))
[216746] ['5/6', '6/7', '8/7', '9/7', '8'] -> 9/7 * 8 / (8/7 - 5/6 * 6/7)
[216747] ['3/8', '7/9', '7/8', '5/3', '6'] -> (5/3 / 7/9 + 6 / 7/8) / 3/8
[216748] ['7/8', '8/9', '3/2', '8/3', '5'] -> 5 * 8/3 / 8/9 / (3/2 - 7/8)
[216749] ['2/3', '9/8', '6/5', '5/3', '6'] -> (6/5 / (6 * (9/8 / 5/3)) - 2/3))
[216750] ['1/8', '1/6', '2/7', '5/6', '9'] -> 9 / (1/8 + 5/6 - 1/6 / 2/7)
[216751] ['1/5', '5/7', '1', '9/8', '9/5'] -> 9/5 / (1 / 5/7 - (1/5 + 9/8))
[216752] ['4/9', '5/8', '8/5', '8/5', '6'] -> 8/5 / (6 * 4/9 * 5/8 - 8/5)
[216753] ['2/3', '7/9', '5/3', '7/2', '8'] -> 8 * (7/9 / 2/3 - (5/3 - 7/2))
[216754] ['1/7', '3/7', '7/8', '1', '8/5'] -> (3/7 + 8/5 * (7/8 + 1)) / 1/7
[216755] ['1/5', '1/5', '1/3', '2', '7/2'] -> (1/5 / 1/5 + 2 * 7/2) / 1/3
[216756] ['7/8', '8/9', '3/2', '7/2', '5'] -> 3/2 + 7/2 * 5 / (7/8 * 8/9)
[216757] ['1/8', '1/6', '2/7', '7/8', '9'] -> 2/7 / (1/8 * 1/6) + 9 / 7/8
[216758] ['3/7', '1/2', '3/5', '7/8', '7'] -> 7 / (7/8 / 3/5 - 1/2 / 3/7)
