[106381] ['2/9', '9/8', '7/4', '7/2', '4'] -> (4 + 7/2 / 7/4) / (2/9 * 9/8)
[106382] ['3/8', '3/8', '4/7', '2', '7/3'] -> 2 / (7/3 * (4/7 - 3/8) - 3/8)
[106383] ['1/8', '2/5', '7/6', '9/2', '6'] -> (9/2 - 1/8) / (7/6 / (2/5 + 6))
[106384] ['4/9', '1/2', '3/5', '5/2', '3'] -> 3/5 * 5/2 / (1/2 - 4/9) - 3
[106385] ['4/7', '9/8', '9/5', '9/4', '5'] -> (9/4 + 9/5 / 4/7) / (9/8 / 5)
[106386] ['5/9', '5/8', '5/4', '9/7', '9'] -> 9 / (5/4 - 5/8 / (5/9 * 9/7))
[106387] ['2/7', '1/2', '5/8', '9/8', '7'] -> (5/8 + 9/8) * (7 / 1/2 - 2/7)
[106388] ['1/7', '1/6', '4/7', '7/9', '3'] -> 4/7 * 3 / (1/6 / 7/9 - 1/7)
[106389] ['3/5', '3/4', '7/6', '4', '9/2'] -> 9/2 * (4 / 3/5 - 7/6) - 3/4
[106390] ['2/9', '9/8', '9/5', '7/3', '4'] -> 9/5 * (4 + 7/3 / (2/9 * 9/8))
[106391] ['1/8', '6/5', '6/5', '9/7', '4'] -> 9/7 / (1/8 * 6/5) * (4 - 6/5)
[106392] ['4/9', '1/2', '3/5', '3', '9/2'] -> 9/2 * (4/9 + 3 / 3/5) - 1/2
[106393] ['2/7', '1/2', '5/8', '6/5', '7'] -> 7 / (2/7 * (1/2 + 5/8 / 6/5))
[106394] ['1/8', '1/8', '2/7', '7/3', '7'] -> 7/3 * (7 + (1/8 + 2/7) / 1/8)
[106395] ['1/5', '5/8', '5/8', '9/8', '9'] -> 9 / (9/8 - (5/8 + 1/5 * 5/8))
[106396] ['3/8', '3/8', '4/7', '2', '7/2'] -> 7/2 * (4/7 / 3/8 + 2 / 3/8)
[106397] ['2/9', '3/8', '5/6', '8/3', '8'] -> 8 * (8/3 * (3/8 + 5/6) - 2/9)
[106398] ['1/8', '2/5', '5/4', '5/4', '6'] -> 5/4 * (6 + (2/5 + 5/4) / 1/8)
[106399] ['1/8', '6/5', '6/5', '8/5', '4'] -> (4 + 6/5 - 8/5) / (1/8 * 6/5)
[106400] ['5/9', '5/8', '5/4', '7/4', '9'] -> (5/4 + 7/4) * 9 * 5/9 / 5/8
[106401] ['2/9', '3/8', '6/7', '6/7', '8'] -> (8 - 6/7 / (3/8 * 6/7)) / 2/9
[106402] ['1/5', '5/8', '5/8', '6/5', '9'] -> 6/5 / (1/5 * 5/8) + 9 / 5/8
[106403] ['1/8', '1/8', '2/7', '9/2', '7'] -> 9/2 / (1/8 + 1/8 / 2/7 / 7)
[106404] ['5/9', '5/8', '5/4', '9/5', '9'] -> 9 / (5/9 * 9/5 + 5/8 - 5/4)
[106405] ['3/8', '3/8', '4/7', '2', '9/2'] -> 2 + (3/8 + 9/2 / 4/7) / 3/8
[106406] ['5/8', '7/8', '1', '7/6', '9/7'] -> 1 / (5/8 - 7/8 / 7/6 / 9/7)
[106407] ['3/5', '3/4', '6/5', '7/3', '4'] -> 6/5 / 3/4 / (3/5 * 4 - 7/3)
[106408] ['2/9', '3/8', '6/7', '7/8', '8'] -> 8 * (7/8 / (2/9 / 6/7) - 3/8)
[106409] ['1/7', '1/6', '4/7', '9/5', '3'] -> 4/7 / (1/7 / 9/5 - 1/6 / 3)
[106410] ['1/8', '6/5', '6/5', '7/3', '4'] -> 4 / (1/8 * (7/3 - 6/5 / 6/5))
[106411] ['4/9', '1/2', '5/8', '4/5', '3'] -> 3 / 4/9 / (5/8 / 4/5 - 1/2)
[106412] ['1/8', '1/8', '1/3', '2/5', '7'] -> 7 / ((1/8 + 1/8) / 2/5 - 1/3)
[106413] ['3/8', '3/8', '3/5', '3/5', '2'] -> 3/5 / (2 - (3/8 + 3/5 / 3/8))
[106414] ['5/8', '7/8', '1', '7/6', '7/5'] -> 1 / 5/8 / (7/5 - 7/6 / 7/8)
[106415] ['4/7', '9/8', '9/4', '7/3', '5'] -> 5 / (4/7 * 7/3 + 9/8 - 9/4)
[106416] ['1/5', '5/8', '5/8', '7/5', '9'] -> 9 / (5/8 * (1/5 + 7/5) - 5/8)
[106417] ['1/8', '1/8', '1/3', '3/7', '7'] -> 7 * (3/7 + 1/8 / 1/8 / 1/3)
[106418] ['5/8', '7/8', '1', '7/6', '3/2'] -> 1 / (5/8 - 7/6 + 7/8 / 3/2)
[106419] ['2/9', '3/8', '6/7', '9/8', '8'] -> 8 * (3/8 / 2/9 + 9/8 / 6/7)
[106420] ['2/9', '9/8', '9/4', '5/2', '4'] -> ((5/2 + 4) / 2/9 - 9/4) / 9/8
[106421] ['1/8', '6/5', '5/4', '5/4', '4'] -> ((5/4 + 4) / 5/4 - 6/5) / 1/8
[106422] ['5/9', '5/8', '5/4', '7/2', '9'] -> 5/4 * (7/2 + 9 / 5/9) - 5/8
[106423] ['4/9', '1/2', '5/8', '7/8', '3'] -> (5/8 + 7/8) / (1/2 - 4/9) - 3
[106424] ['5/8', '6/5', '4/3', '4/3', '3'] -> 3 / (5/8 * (6/5 - 4/3 / 4/3))
