[256088] ['2/5', '7/6', '5/4', '9/7', '8'] -> ((((8 * 7/6) / 2/5) * 9/7) / 5/4)
[256089] ['2/7', '4/9', '3/4', '9/8', '3'] -> ((3 / (2/7 * 4/9)) - (3/4 - 9/8))
[256090] ['1/5', '7/8', '5/4', '2', '8/3'] -> ((2 / (1/5 * (5/4 - 7/8))) - 8/3)
[256091] ['1/5', '1/5', '2/5', '3/4', '7'] -> (((7 - (1/5 + 2/5)) * 3/4) / 1/5)
[256092] ['2/5', '7/6', '5/4', '7/5', '8'] -> (8 / ((7/6 / 7/5) - (2/5 * 5/4)))
[256093] ['1/9', '3/7', '5/8', '7/9', '2'] -> ((2 - (3/7 * 7/9)) / (1/9 * 5/8))
[256094] ['8/9', '7/6', '8/5', '2', '7/2'] -> (7/6 / (((7/2 - 2) / 8/5) - 8/9))
[256095] ['2/9', '3/7', '7/4', '7/2', '6'] -> (((7/2 + 6) / (2/9 * 7/4)) - 3/7)
[256096] ['2/7', '4/9', '3/4', '7/6', '3'] -> (3 / (7/6 * (3/4 - (2/7 / 4/9))))
[256097] ['2/5', '7/6', '5/4', '3/2', '8'] -> (8 / ((7/6 / 5/4) - (2/5 * 3/2)))
[256098] ['1/6', '2/7', '1', '7/6', '5/4'] -> (2/7 / (1/6 * (5/4 / 7/6)) - 1))
[256099] ['1/9', '1/8', '7/5', '5/3', '9'] -> ((7/5 * 5/3) / (1/9 - (1/8 / 9)))
[256100] ['2/9', '4/7', '1', '8/7', '9/2'] -> ((9/2 / 2/9) + ((1 + 8/7) / 4/7))
[256101] ['1/5', '7/8', '9/7', '9/7', '2'] -> (9/7 / (((9/7 - 7/8) / 1/5) - 2))
[256102] ['1/5', '1/5', '2/5', '5/6', '7'] -> ((7 + (1/5 / 1/5)) / (2/5 * 5/6))
[256103] ['2/7', '4/9', '3/4', '6/5', '3'] -> ((3 / (3/4 * (4/9 - 2/7))) - 6/5)
[256104] ['8/9', '7/6', '5/3', '5/3', '2'] -> ((5/3 + 5/3) * (2 / (7/6 - 8/9)))
[256105] ['2/9', '4/7', '1', '7/6', '7/6'] -> (4/7 / ((2/9 / 7/6) + (1 - 7/6)))
[256106] ['1/4', '5/9', '6/7', '8/9', '1'] -> (1 / (8/9 - (5/9 + (1/4 / 6/7))))
[256107] ['1/4', '5/9', '4/7', '7/4', '9'] -> (((5/9 * 9) + (4/7 * 7/4)) / 1/4)
[256108] ['2/7', '4/9', '3/4', '5/4', '3'] -> (3 / (2/7 * (3/4 / 4/9)) - 5/4))
[256109] ['1/6', '2/7', '1', '7/6', '7/5'] -> (((1 / (7/5 - 7/6)) - 2/7) / 1/6)
[256110] ['1/9', '1/7', '2/3', '3/4', '6'] -> (2/3 / (((1/9 + 3/4) / 1/7) - 6))
[256111] ['4/9', '4/9', '5/7', '3/4', '2'] -> (2 * ((4/9 / (3/4 - 5/7)) - 4/9))
[256112] ['1/5', '1/5', '2/5', '7/8', '7'] -> ((7 * (1/5 + 2/5)) / (1/5 * 7/8))
[256113] ['4/9', '7/9', '8/9', '8/9', '7'] -> ((7 + (8/9 / 8/9)) / (7/9 - 4/9))
[256114] ['2/9', '4/7', '1', '7/6', '5/4'] -> ((4/7 * 7/6) / (5/4 - (2/9 + 1)))
[256115] ['1/9', '1/7', '2/3', '4/5', '6'] -> ((2/3 / (4/5 - (1/9 / 1/7))) - 6)
[256116] ['1/6', '2/7', '1', '7/6', '8/5'] -> (1 / (((2/7 * 7/6) / 8/5) - 1/6))
[256117] ['4/9', '7/9', '8/9', '6/5', '7'] -> ((7 / (7/9 - (4/9 / 8/9))) - 6/5)
[256118] ['1/9', '1/7', '2/3', '7/8', '6'] -> ((6 - 2/3) / (7/8 * (1/9 + 1/7)))
[256119] ['3/8', '3/4', '6/7', '5/3', '9'] -> (((9 - 3/4) / (3/8 * 6/7)) - 5/3)
[256120] ['8/9', '7/6', '5/3', '2', '7/2'] -> (7/2 / (7/6 * (2 - (5/3 / 8/9))))
[256121] ['1/9', '3/7', '5/8', '7/6', '2'] -> (((2 / (1/9 * 7/6)) - 3/7) / 5/8)
[256122] ['1/4', '5/9', '4/7', '7/3', '9'] -> (((1/4 + 9) + (7/3 / 4/7)) / 5/9)
[256123] ['8/9', '7/6', '5/3', '2', '9/2'] -> (9/2 / (((5/3 * 7/6) / 8/9) - 2))
[256124] ['2/7', '4/9', '3/4', '5/3', '3'] -> (5/3 / ((4/9 - 3) + (3/4 / 2/7)))
[256125] ['1/5', '1/5', '2/5', '5/4', '7'] -> ((1/5 + 7) / ((2/5 * 5/4) - 1/5))
[256126] ['8/9', '7/6', '7/4', '7/4', '2'] -> (7/6 / (7/4 * (8/9 * 2)) - 7/4))
[256127] ['1/5', '7/8', '9/7', '7/4', '2'] -> (9/7 / (1/5 * (2 / 7/4)) - 7/8))
[256128] ['4/9', '7/9', '8/9', '3/2', '7'] -> (((7 - (7/9 - 8/9)) * 3/2) / 4/9)
[256129] ['1/5', '1/5', '2/5', '9/7', '7'] -> (((9/7 - (1/5 + 2/5)) * 7) / 1/5)
[256130] ['2/7', '4/9', '3/4', '7/4', '3'] -> (2/7 / ((3 * (4/9 / 7/4)) - 3/4))
[256131] ['1/6', '2/7', '1', '6/5', '9/7'] -> (2/7 / (1/6 * (9/7 / 6/5)) - 1))
[256132] ['8/9', '7/6', '7/4', '9/5', '2'] -> (((7/6 / (9/5 - 7/4)) - 2) / 8/9)
[256133] ['1/9', '1/7', '2/3', '9/7', '6'] -> ((6 - 2/3) / (1/9 + (1/7 / 9/7)))
[256134] ['2/5', '7/6', '9/7', '9/4', '8'] -> (7/6 * ((9/7 / 9/4) + (8 / 2/5)))
[256135] ['3/8', '3/4', '6/7', '5/2', '9'] -> ((5/2 * ((9 / 6/7) - 3/4)) - 3/8)
[256136] ['4/9', '4/9', '5/7', '8/7', '2'] -> (8/7 / (5/7 - (4/9 + (4/9 / 2))))
[256137] ['2/9', '4/7', '1', '7/6', '5/3'] -> (5/3 / (((7/6 - 1) / 4/7) - 2/9))
[256138] ['1/4', '5/9', '3/5', '5/8', '9'] -> ((5/9 * 9) / (5/8 - (1/4 / 3/5)))
[256139] ['2/5', '7/6', '9/7', '7/3', '8'] -> (8 / (2/5 * (7/3 - (7/6 * 9/7))))
[256140] ['2/7', '4/9', '3/4', '7/3', '3'] -> (3 + ((3/4 + (7/3 / 4/9)) / 2/7))
[256141] ['4/9', '7/9', '8/9', '7/4', '7'] -> (7/4 + ((8/9 + (7 / 7/9)) / 4/9))
[256142] ['1/9', '1/7', '2/3', '8/5', '6'] -> (8/5 * ((2/3 / (1/7 - 1/9)) - 6))
[256143] ['3/8', '3/4', '6/7', '9/2', '9'] -> (((9 + (9/2 / 3/8)) * 6/7) / 3/4)
[256144] ['8/9', '7/6', '7/4', '2', '7/2'] -> (7/6 / (7/2 * 8/9) - (7/4 / 2)))
[256145] ['2/7', '4/9', '3/4', '8/3', '3'] -> (((8/3 / (2/7 * 4/9)) - 3) / 3/4)
[256146] ['2/5', '7/6', '9/7', '8/3', '8'] -> ((8/3 * (7/6 * 9/7)) + (8 / 2/5))
[256147] ['1/9', '1/7', '2/3', '7/4', '6'] -> (((2/3 + (1/7 * 6)) * 7/4) / 1/9)
[256148] ['1/4', '5/9', '6/7', '1', '5/3'] -> (1 / ((5/9 / 5/3) - (1/4 / 6/7)))
[256149] ['2/9', '3/7', '9/4', '9/2', '6'] -> (((9/2 + 6) / 3/7) - (2/9 * 9/4))
[256150] ['1/4', '5/9', '3/5', '7/9', '9'] -> ((9 - 3/5) / (7/9 * (1/4 / 5/9)))
[256151] ['1/5', '1/5', '2/5', '5/2', '7'] -> (((2/5 / 1/5) + (7 / 5/2)) / 1/5)
[256152] ['4/9', '7/9', '8/9', '5/2', '7'] -> (((4/9 + (8/9 * 5/2)) * 7) / 7/9)
[256153] ['2/9', '4/7', '1', '7/6', '7/3'] -> ((4/7 * 7/3) / ((2/9 + 1) - 7/6))
[256154] ['2/5', '7/6', '9/7', '7/2', '8'] -> (8 / (7/6 * (7/2 - (9/7 / 2/5))))
[256155] ['1/6', '2/7', '1', '6/5', '9/4'] -> ((1 / (1/6 - (2/7 / 9/4))) - 6/5)
[256156] ['2/9', '3/7', '7/3', '7/3', '6'] -> (((3/7 + 7/3) + (6 / 7/3)) / 2/9)
[256157] ['1/9', '1/8', '8/5', '8/5', '9'] -> (8/5 + (9 * (8/5 + (1/9 / 1/8))))
[256158] ['1/5', '1/5', '2/5', '9/2', '7'] -> ((1/5 + (2/5 * (9/2 + 7))) / 1/5)
[256159] ['1/9', '3/7', '5/8', '7/4', '2'] -> ((5/8 + (7/4 / (3/7 * 2))) / 1/9)
[256160] ['3/8', '3/4', '7/8', '9/5', '9'] -> (9/5 * (9 + ((3/4 + 7/8) / 3/8)))
[256161] ['4/9', '7/9', '9/8', '9/8', '7'] -> ((7 + (9/8 / 9/8)) / (7/9 - 4/9))
[256162] ['1/4', '5/9', '3/5', '7/8', '9'] -> (9 / ((1/4 + 7/8) * 5/9) * 3/5))
[256163] ['2/9', '4/7', '1', '7/6', '7/2'] -> ((7/2 + (7/6 * (4/7 + 1))) / 2/9)
[256164] ['2/9', '3/7', '7/3', '5/2', '6'] -> (((6 - 3/7) / 2/9) - (5/2 / 7/3))
[256165] ['8/9', '7/6', '9/5', '2', '5/2'] -> (8/9 / (((7/6 + 5/2) / 9/5) - 2))
[256166] ['2/5', '7/6', '4/3', '9/5', '8'] -> (8 / (9/5 - (7/6 + (2/5 / 4/3))))
[256167] ['1/9', '1/8', '8/5', '7/4', '9'] -> (8/5 * ((1/9 * 9) + (7/4 / 1/8)))
[256168] ['1/5', '7/8', '4/3', '3/2', '2'] -> (3/2 / ((7/8 / (4/3 + 2)) - 1/5))
[256169] ['1/9', '3/7', '5/8', '2', '9/4'] -> (((5/8 * 2) / (1/9 * 3/7)) - 9/4)
[256170] ['1/4', '5/9', '3/5', '8/9', '9'] -> ((3/5 + 9) / (8/9 * (1/4 / 5/9)))
[256171] ['1/6', '2/7', '1', '6/5', '7/2'] -> ((6/5 * 7/2) * ((1 / 1/6) - 2/7))
[256172] ['1/5', '7/8', '4/3', '8/5', '2'] -> (2 / (((1/5 + 4/3) / 8/5) - 7/8))
[256173] ['1/9', '1/7', '5/7', '7/8', '6'] -> (5/7 / (1/7 * 7/8) - (1/9 * 6)))
[256174] ['4/9', '7/9', '9/8', '6/5', '7'] -> ((7 / (7/9 - (4/9 * 9/8))) - 6/5)
[256175] ['2/9', '3/7', '7/3', '7/2', '6'] -> ((((7/3 - 3/7) * 7/2) / 2/9) - 6)
[256176] ['1/5', '1/5', '3/7', '4/7', '7'] -> (7 * (((1/5 + 4/7) / 1/5) - 3/7))
[256177] ['2/7', '4/9', '7/9', '8/9', '3'] -> (4/9 / ((7/9 / (2/7 * 3)) - 8/9))
[256178] ['4/9', '7/9', '9/8', '5/4', '7'] -> (7 / ((4/9 - 9/8) + (7/9 * 5/4)))
[256179] ['8/9', '7/6', '9/5', '2', '9/2'] -> (((9/2 / (2 - 9/5)) - 7/6) / 8/9)
[256180] ['1/4', '5/9', '3/5', '6/5', '9'] -> (((9 + (3/5 + 6/5)) * 5/9) / 1/4)
[256181] ['2/5', '7/6', '7/5', '7/5', '8'] -> (8 * ((2/5 + 7/5) + (7/5 / 7/6)))
[256182] ['4/9', '7/9', '9/8', '9/7', '7'] -> (((7 / (7/9 - 4/9)) * 9/7) / 9/8)
[256183] ['1/9', '1/7', '5/7', '6/5', '6'] -> ((((6/5 / 1/9) - 6) * 5/7) / 1/7)
[256184] ['1/5', '1/5', '3/7', '5/8', '7'] -> (1/5 / ((5/8 / (3/7 * 7)) - 1/5))
[256185] ['8/9', '7/6', '2', '9/4', '7/3'] -> ((2 * 7/3) / (9/4 - (8/9 + 7/6)))
