[275787] ['1/8', '8/9', '3/2', '2', '7/2'] -> (((3/2 * 7/2) - (2 / 8/9)) / 1/8)
[275788] ['2/7', '2/7', '1', '8/3', '8/3'] -> ((8/3 + 8/3) / (2/7 / (2/7 + 1)))
[275789] ['3/7', '9/8', '6/5', '6/5', '8'] -> (((6/5 * 8) / (3/7 / 9/8)) - 6/5)
[275790] ['1/4', '1/4', '1', '6/5', '7/5'] -> (1 / ((7/5 * (1/4 / 6/5)) - 1/4))
[275791] ['1/9', '2/9', '7/8', '1', '7/5'] -> ((1 / 7/8) / ((2/9 / 7/5) - 1/9))
[275792] ['4/9', '9/8', '7/6', '7/4', '2'] -> (2 / (7/4 - (7/6 + (4/9 * 9/8))))
[275793] ['1/9', '1/2', '2/3', '8/7', '6'] -> (((1/2 * 6) - 2/3) / (1/9 / 8/7))
[275794] ['2/7', '9/8', '8/7', '8/7', '3'] -> (3 / (((2/7 + 8/7) / 8/7) - 9/8))
[275795] ['1/4', '1/4', '8/7', '5/2', '6'] -> ((8/7 * 6) * (5/2 + (1/4 / 1/4)))
[275796] ['2/7', '2/5', '5/8', '4/5', '9'] -> ((9 / 5/8) / ((2/5 / 2/7) - 4/5))
[275797] ['1/9', '5/4', '5/4', '9/5', '2'] -> (5/4 + (5/4 * (2 + (9/5 / 1/9))))
[275798] ['1/9', '2/9', '7/8', '1', '8/5'] -> (1 / ((2/9 / 8/5) - (1/9 * 7/8)))
[275799] ['1/9', '2/7', '3/5', '4/3', '8'] -> (3/5 * ((4/3 / 1/9) + (8 / 2/7)))
[275800] ['1/8', '8/9', '8/5', '5/3', '2'] -> (((8/5 / 8/9) + (2 / 5/3)) / 1/8)
[275801] ['1/9', '2/9', '7/8', '1', '5/3'] -> (1 / (7/8 - (5/3 * (1/9 / 2/9))))
[275802] ['1/4', '1/4', '1', '6/5', '5/3'] -> (((1 / 1/4) + (6/5 * 5/3)) / 1/4)
[275803] ['1/2', '4/5', '8/5', '9/4', '7'] -> ((4/5 + 7) / (1/2 * (9/4 - 8/5)))
[275804] ['1/9', '5/4', '5/4', '2', '9/4'] -> ((5/4 + (5/4 * 2)) + (9/4 / 1/9))
[275805] ['2/7', '2/5', '5/8', '5/6', '9'] -> (9 * ((5/6 / 2/7) - (2/5 * 5/8)))
[275806] ['2/7', '9/8', '8/7', '6/5', '3'] -> (3 / ((8/7 / (6/5 - 2/7)) - 9/8))
[275807] ['2/9', '3/7', '6/5', '2', '9/2'] -> ((6/5 * 9/2) * ((2 / 3/7) - 2/9))
[275808] ['1/9', '1/2', '2/3', '7/5', '6'] -> ((2/3 + 6) * (7/5 / (1/2 - 1/9)))
[275809] ['1/4', '1/4', '7/6', '6/5', '6'] -> (((1/4 / 1/4) / (6/5 - 7/6)) - 6)
[275810] ['4/9', '9/8', '7/6', '2', '5/2'] -> (2 / ((5/2 * (4/9 * 9/8)) - 7/6))
[275811] ['1/5', '4/9', '3/2', '8/5', '7'] -> ((8/5 * 7) / ((4/9 * 3/2) - 1/5))
[275812] ['2/7', '1/3', '1/3', '3/8', '1'] -> (1 / ((1/3 / 2/7) - (3/8 / 1/3)))
[275813] ['1/4', '1/4', '1', '6/5', '7/3'] -> ((7/3 - (1 / 6/5)) / (1/4 * 1/4))
[275814] ['3/7', '9/8', '6/5', '7/5', '8'] -> (8 / ((6/5 / (9/8 * 7/5)) - 3/7))
[275815] ['1/9', '1/2', '2/3', '9/5', '6'] -> ((2/3 * 6) / ((1/2 / 9/5) - 1/9))
[275816] ['1/4', '1/4', '1', '6/5', '5/2'] -> (6/5 / (((1 - 1/4) / 5/2) - 1/4))
[275817] ['3/7', '9/8', '6/5', '3/2', '8'] -> (6/5 * ((3/2 / 9/8) + (8 / 3/7)))
[275818] ['1/4', '1/4', '1', '6/5', '8/3'] -> ((8/3 + (1 / (1/4 * 6/5))) / 1/4)
[275819] ['2/7', '9/8', '8/7', '9/5', '3'] -> ((8/7 + (3 / 9/8)) / (2/7 / 9/5))
