[295486] ['4/9', '8/7', '3/2', '9/5', '8'] -> 9/5 * (4/9 + 3/2) * (8 - 8/7)
[295487] ['1/9', '4/7', '3/4', '1', '7/3'] -> (4/7 * 7/3 + 1 / 3/4) / 1/9
[295488] ['1/9', '5/7', '5/2', '7/2', '8'] -> 7/2 / 1/9 - 5/7 * (5/2 + 8)
[295489] ['1/9', '4/7', '3/4', '1', '5/2'] -> (1 + 5/2) / (3/4 * 1/9 / 4/7)
[295490] ['3/7', '5/8', '6/7', '8/7', '9'] -> (6/7 + 9 * (3/7 + 8/7)) / 5/8
[295491] ['1/8', '3/8', '9/7', '7/5', '2'] -> 2 / (3/8 / (9/7 * /5) - 1/8)
[295492] ['1/4', '8/7', '9/4', '5/2', '6'] -> 1/4 * 6 / (9/4 - 5/2 / 8/7)
[295493] ['7/9', '9/7', '7/5', '5/3', '7'] -> 7/5 * 5/3 * (9/7 + 7 / 7/9)
[295494] ['4/9', '8/7', '3/2', '7/3', '8'] -> 7/3 / (4/9 * 3/2) * (8 - 8/7)
[295495] ['5/9', '4/7', '3/5', '4/3', '7'] -> 7 * (4/3 / (5/9 * 3/5) - 4/7)
[295496] ['1/7', '2/5', '3/5', '5/6', '8'] -> 8 / (1/7 * (5/6 + 3/5 / 2/5))
[295497] ['1/6', '6/7', '3/2', '5/3', '3'] -> (5/3 + 3 / (6/7 * 3/2)) / 1/6
[295498] ['1/9', '5/7', '5/2', '9/2', '8'] -> 8 * (5/2 / 5/7 - 1/9 * 9/2)
[295499] ['3/7', '5/8', '6/7', '7/6', '9'] -> (7/6 + 3/7 / 6/7) * 9 / 5/8
[295500] ['3/7', '1/2', '5/7', '5/7', '5'] -> 5 / (5/7 * (5/7 - 3/7)) - 1/2
[295501] ['2/7', '7/8', '7/8', '9/2', '9'] -> (9 + 9/2 / 7/8) / (7/8 - 2/7)
[295502] ['1/7', '2/5', '3/5', '7/8', '8'] -> (8 / 7/8 - (1/7 - 3/5)) / 2/5
[295503] ['2/7', '7/8', '8/9', '8/9', '9'] -> 9 * (8/9 / (2/7 * 7/8) - 8/9)
[295504] ['3/7', '1/2', '5/7', '7/9', '5'] -> (5 + 5/7 / 3/7) / (7/9 - 1/2)
[295505] ['5/7', '3/4', '1', '8/5', '5/2'] -> 1 / (3/4 - 5/7) - 8/5 * 5/2
[295506] ['5/9', '4/7', '3/5', '8/5', '7'] -> (8/5 / ((4/7 - 5/9) * 3/5) * 7))
[295507] ['4/9', '8/7', '8/5', '8/5', '8'] -> 8/5 + 8/7 * (8/5 + 8 / 4/9)
[295508] ['2/7', '7/8', '8/9', '9/8', '9'] -> (9 - 9/8 / 7/8) * 8/9 / 2/7
[295509] ['1/2', '9/8', '2', '9/4', '9/2'] -> 2 / (1/2 * 9/8) * (9/4 + 9/2)
[295510] ['1/7', '1/3', '3/5', '6/7', '2'] -> (6/7 / (1/7 * 3/5) - 2) / 1/3
[295511] ['3/7', '5/8', '6/7', '9/5', '9'] -> 9 / (6/7 - 9/5 * 3/7 * 5/8)
[295512] ['3/7', '1/2', '5/7', '4/5', '5'] -> 3/7 * 5 / (5/7 - 1/2 / 4/5)
[295513] ['1/9', '4/7', '7/9', '8/9', '1'] -> (8/9 / ((1/9 * 7/9) * 1) - 4/7))
[295514] ['1/4', '8/7', '5/2', '8/3', '6'] -> 5/2 / 1/4 + 6 * 8/3 / 8/7
[295515] ['1/8', '3/8', '9/7', '2', '9/4'] -> 2 / (3/8 / (1/8 * 9/7) - 9/4)
[295516] ['3/7', '1/2', '5/7', '5/6', '5'] -> (5 - 5/7) / (5/6 * 3/7 * 1/2)
[295517] ['1/2', '9/8', '2', '7/3', '7/3'] -> 2 / ((7/3 - 9/8) / 1/2 - 7/3)
[295518] ['5/9', '4/7', '3/5', '7/4', '7'] -> (7 + 4/7 * 7/4) / (5/9 * 3/5)
[295519] ['1/9', '4/7', '7/9', '1', '9/8'] -> 1 / ((7/9 - 1/9) / 4/7 - 9/8)
[295520] ['1/9', '5/7', '7/2', '9/2', '8'] -> 8 * (1/9 * 9/2 + 5/7 * 7/2)
[295521] ['3/7', '1/2', '5/7', '6/7', '5'] -> (5 - (5/7 - 6/7)) / (3/7 * 1/2)
[295522] ['5/9', '4/7', '3/5', '9/5', '7'] -> 7 * (4/7 / 5/9 + 3/5 + 9/5)
[295523] ['1/2', '9/8', '2', '5/2', '5/2'] -> (1/2 + 5/2) / (5/2 / 2 - 9/8)
[295524] ['1/6', '6/7', '8/5', '9/5', '3'] -> ((9/5 + 3) / 6/7 - 8/5) / 1/6
[295525] ['1/8', '3/8', '9/7', '2', '8/3'] -> 9/7 / (3/8 - 1/8) * (2 + 8/3)
[295526] ['4/9', '8/7', '8/5', '9/5', '8'] -> 8 / (8/5 / (8/7 * 9/5) - 4/9)
[295527] ['5/7', '3/4', '1', '8/5', '9/2'] -> 8/5 * (9/2 / (1 - 5/7) - 3/4)
[295528] ['1/9', '4/7', '7/9', '1', '8/7'] -> (7/9 + 8/7 / 4/7) / 1/9 - 1
[295529] ['1/4', '8/7', '8/3', '9/2', '6'] -> 8/7 * 9/2 * (8/3 / 1/4 - 6)
[295530] ['1/7', '2/5', '3/5', '3/2', '8'] -> 8 / (1/7 + 2/5 / (3/5 + 3/2))
[295531] ['3/7', '1/2', '5/7', '8/7', '5'] -> ((5/7 + 5) / 1/2 - 8/7) / 3/7
[295532] ['7/9', '9/7', '3/2', '8/5', '7'] -> 9/7 * 3/2 * 8/5 * (7/9 + 7)
[295533] ['1/6', '6/7', '8/5', '7/3', '3'] -> 8/5 * (3 + 7/3 * 6/7 / 1/6)
[295534] ['1/7', '1/3', '3/5', '9/7', '2'] -> (9/7 + 2 / (1/3 + 3/5)) / 1/7
[295535] ['3/7', '1/2', '5/7', '6/5', '5'] -> 6/5 / (3/7 * 1/2) * (5 - 5/7)
[295536] ['2/7', '7/8', '8/9', '4/3', '9'] -> 8/9 / 4/3 * 9 / (2/7 * 7/8)
[295537] ['7/9', '9/7', '3/2', '5/3', '7'] -> 9/7 * 3/2 * (7/9 + 5/3 * 7)
[295538] ['1/9', '3/4', '3/4', '5/6', '8'] -> (8 + 5/6 / (1/9 * 3/4)) / 3/4
[295539] ['1/9', '4/7', '7/9', '1', '5/4'] -> 5/4 + (7/9 + 1 / 4/7) / 1/9
[295540] ['3/7', '5/8', '7/8', '6/5', '9'] -> 9 / (5/8 * 6/5 - 3/7 * 7/8)
