[141841] ['3/4', '9/7', '7/5', '8/5', '3'] -> 8/5 / (7/5 / (3 - 9/7) - 3/4)
[141842] ['1/7', '4/5', '5/3', '9/5', '3'] -> (5/3 + 9/5) / 1/7 - 4/5 / 3
[141843] ['2/7', '1/3', '9/4', '7/2', '4'] -> (9/4 * 4 - 2/7 * 7/2) / 1/3
[141844] ['5/8', '4/3', '8/5', '7/3', '5'] -> 8/5 / (4/3 - 5 + 7/3 / 5/8)
[141845] ['3/5', '5/7', '8/9', '8/3', '9'] -> 8/3 / 8/9 + 9 / (3/5 * 5/7)
[141846] ['2/5', '2/5', '2/5', '1', '8/5'] -> 8/5 / (2/5 * 2/5 * 2/5) - 1
[141847] ['1/7', '2/7', '4/5', '9/4', '6'] -> 6 / (2/7 / (1/7 * 4/5) - 9/4)
[141848] ['5/8', '4/3', '8/5', '5/2', '5'] -> 8/5 * 5/2 * 5 / (5/8 * 4/3)
[141849] ['2/7', '1/3', '7/3', '7/3', '4'] -> 4 / (1/3 / 2/7 - 7/3 / 7/3)
[141850] ['1/3', '3/5', '7/8', '5/2', '7'] -> 7 / (3/5 * 5/2 - (1/3 + 7/8))
[141851] ['1/7', '2/3', '5/3', '9/4', '4'] -> (4 - 5/3 / (2/3 + 9/4)) / 1/7
[141852] ['1/7', '2/7', '4/5', '7/3', '6'] -> 6 / (7/3 * (2/7 - 1/7 / 4/5))
[141853] ['2/9', '5/8', '8/7', '9/2', '7'] -> (8/7 + 2/9 * 9/2) / (5/8 / 7)
[141854] ['1/4', '4/9', '5/6', '5/3', '8'] -> 8 / (4/9 * (1/4 + 5/6 / 5/3))
[141855] ['3/5', '5/7', '8/9', '9/2', '9'] -> 9/2 * 5/7 * 8/9 * (9 - 3/5)
[141856] ['1/3', '3/5', '7/8', '8/3', '7'] -> (1/3 + 7) / (7/8 - 3/5) - 8/3
[141857] ['1/2', '6/7', '6/7', '7/6', '3'] -> 3 / (6/7 - 6/7 / 7/6) - 1/2
[141858] ['2/5', '3/7', '3/2', '9/5', '2'] -> 2 * (3/2 + 9/5 / (2/5 * 3/7))
[141859] ['1/7', '4/5', '5/3', '8/3', '3'] -> 4/5 * ((5/3 + 3) / 1/7 - 8/3)
[141860] ['5/7', '3/4', '3/4', '7/3', '4'] -> 4 / (5/7 * 7/3 - (3/4 + 3/4))
[141861] ['1/3', '3/5', '7/8', '7/2', '7'] -> 7 / (7/8 / 3/5 - 1/3 * 7/2)
[141862] ['2/9', '4/7', '6/5', '9/5', '9'] -> 4/7 * (9/5 / 6/5 + 9 / 2/9)
[141863] ['5/8', '4/3', '7/4', '7/4', '5'] -> 5 / (5/8 * (4/3 - 7/4 / 7/4))
[141864] ['3/5', '5/7', '9/8', '9/8', '9'] -> 9/8 + (9/8 + 9 / 5/7) / 3/5
[141865] ['3/4', '9/7', '7/5', '7/3', '3'] -> 9/7 / (3 / (7/5 + 7/3) - 3/4)
[141866] ['2/5', '3/7', '3/2', '2', '9/4'] -> 3/2 / 2 / (3/7 - 2/5) - 9/4
[141867] ['1/2', '6/7', '6/7', '9/7', '3'] -> (6/7 + 6/7) / (1/2 - 9/7 / 3)
[141868] ['1/7', '2/3', '7/4', '7/4', '4'] -> 4 / (2/3 - 1/7 * (7/4 + 7/4))
[141869] ['3/5', '5/7', '9/8', '8/7', '9'] -> (9 + 9/8 * 8/7) / (3/5 * 5/7)
[141870] ['5/8', '4/3', '7/4', '9/5', '5'] -> 5 / (5/8 * (4/3 + 9/5) - 7/4)
[141871] ['1/8', '5/7', '6/7', '8/5', '7'] -> (5/7 * (7 - 8/5) - 6/7) / 1/8
[141872] ['1/4', '4/9', '6/7', '7/8', '8'] -> 6/7 / 1/4 + 8 / (4/9 * 7/8)
[141873] ['2/9', '5/8', '7/6', '4/3', '7'] -> (7 + 4/3 / 2/9) / (7/6 - 5/8)
[141874] ['1/7', '2/7', '5/6', '5/4', '6'] -> 6 / 5/4 / (2/7 / 5/6 - 1/7)
[141875] ['1/7', '2/3', '7/4', '9/5', '4'] -> 9/5 / (1/7 * 7/4) * (4 - 2/3)
[141876] ['3/4', '9/7', '7/5', '8/3', '3'] -> 9/7 / (3 / (7/5 * 8/3) - 3/4)
[141877] ['1/7', '2/7', '5/6', '9/7', '6'] -> (5/6 * 6 - (2/7 + 9/7)) / 1/7
[141878] ['1/2', '6/7', '6/7', '7/5', '3'] -> 6/7 / (6/7 / (3 - 7/5) - 1/2)
[141879] ['5/8', '4/3', '7/4', '5/2', '5'] -> (5/2 + 7/4 * 5) / (5/8 / 4/3)
[141880] ['1/2', '6/7', '6/7', '3/2', '3'] -> 6/7 * 3 / (6/7 - 1/2 * 3/2)
[141881] ['1/8', '5/7', '6/7', '9/4', '7'] -> 7 / (6/7 / 9/4 - 1/8 * 5/7)
[141882] ['3/5', '5/7', '9/8', '5/4', '9'] -> 9 / 3/5 / (5/4 / 5/7 - 9/8)
[141883] ['1/4', '4/9', '6/7', '7/6', '8'] -> 8 / 4/9 / (6/7 * 7/6 - 1/4)
[141884] ['1/7', '2/7', '5/6', '7/5', '6'] -> (6 * 5/6 * 7/5 - 1/7) / 2/7
[141885] ['1/7', '4/5', '7/4', '5/2', '3'] -> 3 / (1/7 / 4/5) / (7/4 / 5/2)
[141886] ['2/7', '3/8', '3/8', '5/9', '4'] -> 4 / (2/7 * (3/8 + 3/8 * 5/9))
[141887] ['2/5', '3/7', '3/2', '2', '7/2'] -> 3/2 * 7/2 * (2 / 2/5 - 3/7)
[141888] ['1/2', '6/7', '6/7', '8/5', '3'] -> 3 / (6/7 / 6/7 / 8/5 - 1/2)
[141889] ['2/9', '4/7', '6/5', '9/2', '9'] -> (2/9 + 6/5) * (9 + 9/2 / 4/7)
[141890] ['1/3', '3/5', '8/9', '5/4', '7'] -> 8/9 * 5/4 * (3/5 + 7 / 1/3)
