[334884] ['4/7', '7/5', '2', '5/2', '8/3'] -> 7/5 * 5/2 * 8/3 * (4/7 + 2)
[334885] ['3/5', '5/7', '6/5', '6/5', '7'] -> (6/5 + 5/7 * 6/5) * 7 / 3/5
[334886] ['1/6', '3/8', '5/7', '9/8', '2'] -> ((9/8 + 2) / 5/7 - 3/8) / 1/6
[334887] ['1/6', '3/5', '2/3', '7/4', '8'] -> 8 * (1/6 + 7/4 / 3/5) - 2/3
[334888] ['5/6', '1', '8/7', '7/6', '7/5'] -> ((5/6 / (7/5 * 7/6) - 8/7)) - 1)
[334889] ['6/5', '6/5', '8/3', '7/2', '7'] -> 6/5 / (7/2 / 7 - 6/5 / 8/3)
[334890] ['2/9', '2/9', '5/7', '7/3', '3'] -> 7/3 * (3 / 2/9 - 5/7 / 2/9)
[334891] ['1/6', '3/8', '5/7', '7/6', '2'] -> 7/6 / (1/6 * 3/8) * (2 - 5/7)
[334892] ['1/6', '3/5', '2/3', '9/4', '8'] -> 2/3 / (9/4 - 8 * 1/6 / 3/5)
[334893] ['1/8', '4/5', '5/3', '7/4', '8'] -> (8 - 7/4) / (5/3 * 1/8 / 4/5)
[334894] ['1/8', '5/9', '1', '9/8', '7/5'] -> (7/5 + 1 / (5/9 * 9/8)) / 1/8
[334895] ['4/9', '7/8', '4/3', '7/5', '5'] -> 4/3 * 7/5 * 5 / (4/9 * 7/8)
[334896] ['5/6', '1', '8/7', '7/6', '8/5'] -> (8/5 / (7/6 * (1 / 5/6)) - 8/7))
[334897] ['1/8', '5/9', '1', '9/8', '3/2'] -> (3/2 / ((1/8 * 9/8) * 1) - 5/9))
[334898] ['6/5', '6/5', '7/2', '9/2', '7'] -> 7 * 6/5 * 7/2 - 6/5 * 9/2
[334899] ['4/9', '7/8', '4/3', '8/5', '5'] -> (4/3 + 8/5 * 5) / (4/9 * 7/8)
[334900] ['1/6', '3/8', '5/7', '5/4', '2'] -> 2 / (3/8 - 5/4 * 1/6 / 5/7)
[334901] ['4/7', '7/5', '2', '8/3', '7/2'] -> 7/5 * 8/3 * (2 * 7/2 - 4/7)
[334902] ['4/9', '7/8', '4/3', '7/4', '5'] -> 5 / (4/3 - 7/8 / (4/9 * 7/4))
[334903] ['1/6', '3/5', '5/7', '5/7', '8'] -> 3/5 * 8 * (5/7 + 5/7 / 1/6)
[334904] ['4/9', '7/8', '4/3', '9/5', '5'] -> (4/3 + 9/5 * 5) / (7/8 - 4/9)
[334905] ['4/7', '7/5', '2', '7/2', '9/2'] -> 7/5 * 2 * (9/2 + 4/7 + 7/2)
[334906] ['1/8', '4/5', '7/4', '9/4', '8'] -> (8 - (7/4 + 9/4) / 4/5) / 1/8
[334907] ['1/8', '5/9', '1', '9/8', '9/4'] -> 1 + (9/4 + 5/9 * 9/8) / 1/8
[334908] ['1/3', '8/7', '3/2', '7/3', '5'] -> 5 / (7/3 / 8/7 - (1/3 + 3/2))
[334909] ['3/5', '5/7', '6/5', '9/5', '7'] -> 7 * (3/5 * 5/7 + 6/5 + 9/5)
[334910] ['1/6', '3/8', '5/7', '8/5', '2'] -> 5/7 * (8/5 + 2 / (1/6 * 3/8))
[334911] ['2/9', '2/9', '3/4', '9/8', '3'] -> 3/4 / (2/9 * 9/8 - 2/9) - 3
[334912] ['6/5', '5/4', '5/4', '7/4', '7'] -> 5/4 + 7 * (7/4 + 6/5 * 5/4)
[334913] ['4/9', '7/8', '4/3', '5/2', '5'] -> (7/8 + 5/2) * (4/9 + 4/3 * 5)
[334914] ['1/6', '3/8', '5/7', '5/3', '2'] -> 2 / (5/3 / 5/7 - 3/8 / 1/6)
[334915] ['2/9', '2/9', '3/4', '6/5', '3'] -> (3/4 + 3) * (2/9 + 6/5) / 2/9
[334916] ['1/6', '3/5', '5/7', '7/8', '8'] -> 8 / (3/5 - 1/6 / (5/7 * /8)
)[334917] ['6/5', '5/4', '5/4', '9/5', '7'] -> (6/5 + 9/5) * (7 + 5/4 / 5/4)
[334918] ['2/9', '2/9', '3/4', '5/4', '3'] -> (5/4 - (2/9 - 3/4)) * 3 / 2/9
[334919] ['4/9', '7/8', '4/3', '7/2', '5'] -> (4/3 * 5 + 7/2 / 7/8) / 4/9
[334920] ['4/7', '3/2', '3/2', '7/4', '2'] -> 3/2 / (7/4 / 4/7 - 3/2 * 2)
[334921] ['1/6', '3/8', '5/7', '7/4', '2'] -> 2 / (1/6 * (5/7 - 3/8 / 7/4))
[334922] ['1/6', '3/5', '5/7', '8/9', '8'] -> 8/9 / 1/6 + 8 / (3/5 * 5/7)
[334923] ['1/3', '8/7', '8/5', '8/5', '5'] -> (8/5 / 8/7 + 8/5 + 5) / 1/3
[334924] ['1/8', '5/9', '1', '8/7', '7/6'] -> 7/6 * 8/7 / 1/8 / (1 - 5/9)
[334925] ['5/6', '1', '8/7', '6/5', '4/3'] -> 5/6 / (6/5 - 4/3 / 8/7) - 1
[334926] ['2/9', '2/9', '3/4', '4/3', '3'] -> 4/3 / 2/9 + 3 / (2/9 * 3/4)
[334927] ['1/6', '3/5', '5/7', '9/8', '8'] -> 8 / (1/6 / (5/7 - 3/5) - 9/8)
[334928] ['6/5', '5/4', '5/4', '7/2', '7'] -> 7/2 + (6/5 + 7) * (5/4 + 5/4)
[334929] ['1/3', '8/7', '8/5', '7/4', '5'] -> 8/5 / (8/7 * 7/4 / 5 - 1/3)
[334930] ['4/7', '3/2', '3/2', '2', '5/2'] -> 3/2 * 2 / (3/2 / 4/7 - 5/2)
[334931] ['6/5', '5/4', '5/4', '9/2', '7'] -> (9/2 * 7 - 6/5 * 5/4) / 5/4
[334932] ['2/9', '2/9', '3/4', '8/5', '3'] -> 3 / (3/4 - 2/9 / (2/9 * /5)
)[334933] ['4/9', '7/8', '7/5', '5/3', '5'] -> 7/5 / (4/9 * 7/8) * (5/3 + 5)
[334934] ['1/6', '3/5', '5/7', '5/4', '8'] -> 8 / (5/7 * (3/5 - 1/6 / 5/4))
[334935] ['6/5', '5/4', '9/7', '9/7', '7'] -> 5/4 * (6/5 + 7 * (9/7 + 9/7))
[334936] ['2/9', '2/9', '3/4', '9/5', '3'] -> 9/5 * (3 / 2/9 - 2/9 * 3/4)
[334937] ['1/8', '4/5', '9/4', '7/2', '8'] -> 4/5 / 9/4 * (7/2 + 8 / 1/8)
[334938] ['1/8', '5/9', '1', '8/7', '4/3'] -> (1 + 4/3 / 1/8) * 8/7 / 5/9
[334939] ['1/3', '8/7', '8/5', '7/3', '5'] -> (1/3 + 8/7 * 7/3) * 8/5 * 5
