[19700] ['2', '7/3', '5/2', '5/2', '8/3'] -> (7/3 + (5/2 * (2 + (5/2 * 8/3))))
[19701] ['2/9', '1/2', '3/4', '9/7', '5'] -> ((1/2 + (5 / (2/9 * 9/7))) / 3/4)
[19702] ['3/7', '9/8', '9/7', '7/2', '4'] -> (((7/2 + (9/8 * 4)) * 9/7) / 3/7)
[19703] ['9/8', '7/6', '7/6', '7/4', '4'] -> (4 / ((7/4 / (9/8 * 7/6)) - 7/6))
[19704] ['1/4', '4/9', '3/5', '7/8', '2'] -> (2 / (3/5 * (4/9 * 7/8)) - 1/4))
[19705] ['2', '7/3', '5/2', '7/2', '7/2'] -> (7/2 * ((2 / 7/3) + (5/2 + 7/2)))
[19706] ['1/6', '1/3', '7/8', '5/2', '5'] -> (5 / ((1/6 + 7/8) - (1/3 * 5/2)))
[19707] ['1/8', '2/7', '5/2', '9/2', '5'] -> ((5 - (2/7 * (5/2 + 9/2))) / 1/8)
[19708] ['9/8', '7/6', '7/6', '9/4', '4'] -> ((7/6 / ((9/8 + 7/6) - 9/4)) - 4)
[19709] ['1/4', '4/9', '3/5', '8/9', '2'] -> (2 / ((4/9 / 8/9) - (1/4 / 3/5)))
[19710] ['1/3', '3/4', '4/5', '9/7', '4'] -> (4 / ((3/4 / 9/7) - (1/3 / 4/5)))
[19711] ['1/2', '4/7', '4/5', '1', '7/5'] -> (1/2 / ((7/5 / (4/7 + 4/5)) - 1))
[19712] ['2/7', '4/9', '5/2', '8/3', '8'] -> (((5/2 * 8) - (8/3 / 2/7)) / 4/9)
[19713] ['1/8', '2/7', '8/3', '8/3', '5'] -> ((5 / (2/7 - 1/8)) - (8/3 * 8/3))
[19714] ['1/4', '4/9', '3/5', '9/8', '2'] -> (2 / ((4/9 * 9/8) - (1/4 / 3/5)))
[19715] ['3/7', '9/8', '4/3', '3/2', '4'] -> (4/3 / ((4 / 9/8) - (3/2 / 3/7)))
[19716] ['1/6', '1/3', '7/8', '7/2', '5'] -> (((5 - 1/3) / 1/6) - (7/2 / 7/8))
[19717] ['9/8', '7/6', '7/6', '8/3', '4'] -> (4 / (((8/3 - 7/6) / 9/8) - 7/6))
[19718] ['2/7', '4/9', '5/2', '7/2', '8'] -> (8 / ((5/2 / (7/2 - 2/7)) - 4/9))
[19719] ['1/8', '2/7', '8/3', '7/2', '5'] -> (5 / (1/8 * (8/3 - (2/7 * 7/2))))
[19720] ['1/3', '7/6', '9/4', '7/3', '3'] -> (3 / ((1/3 + 7/6) * 7/3) - 9/4))
[19721] ['6/5', '9/7', '5/3', '8/3', '3'] -> ((9/7 * 5/3) * (8/3 * (6/5 + 3)))
[19722] ['1/3', '3/4', '4/5', '5/3', '4'] -> (4 / ((3/4 / 1/3) - (5/3 / 4/5)))
[19723] ['1/4', '4/9', '3/5', '8/7', '2'] -> (2 / (3/5 * (4/9 / 8/7)) - 1/4))
[19724] ['1/8', '2/7', '8/3', '9/2', '5'] -> (((9/2 * 2/7) / 1/8) * (5 - 8/3))
[19725] ['1/3', '7/6', '9/4', '3', '9/2'] -> ((((3 + 9/2) * 7/6) / 1/3) - 9/4)
[19726] ['5/6', '7/3', '7/3', '7/3', '6'] -> (((7/3 + (7/3 / 7/3)) * 6) / 5/6)
[19727] ['1/6', '1/3', '8/9', '6/5', '5'] -> (((1/3 + (5 / 6/5)) * 8/9) / 1/6)
[19728] ['2', '5/2', '5/2', '8/3', '8/3'] -> (((2 * 8/3) * (5/2 + 5/2)) - 8/3)
[19729] ['3/7', '9/8', '4/3', '7/4', '4'] -> (4 / ((9/8 / (3/7 * 7/4)) - 4/3))
[19730] ['2/7', '4/9', '7/2', '7/2', '8'] -> ((4/9 * (7/2 + 7/2)) * (8 - 2/7))
[19731] ['9/8', '7/6', '6/5', '6/5', '4'] -> ((6/5 / (7/6 - 9/8)) - (6/5 * 4))
[19732] ['1/7', '3/8', '4/9', '7/8', '9'] -> (((1/7 / 3/8) + (9 / 7/8)) / 4/9)
[19733] ['2/9', '1/2', '7/9', '8/7', '5'] -> ((7/9 / (8/7 - (2/9 * 5))) - 1/2)
[19734] ['1/6', '1/5', '3/8', '7/4', '6'] -> (((7/4 / (3/8 - 1/5)) - 6) / 1/6)
[19735] ['5/6', '7/3', '7/3', '8/3', '6'] -> ((7/3 + 8/3) + (6 * (5/6 + 7/3)))
[19736] ['2/7', '4/9', '7/2', '9/2', '8'] -> (8 * ((2/7 * 7/2) + (4/9 * 9/2)))
[19737] ['1/4', '4/9', '3/5', '6/5', '2'] -> ((3/5 + ((2 * 6/5) / 4/9)) / 1/4)
