[168436] ['2/5', '4/7', '5/8', '9/8', '6'] -> 6 / 4/7 / (5/8 / 2/5 - 9/8)
[168437] ['1/7', '2/7', '3/7', '9/2', '7'] -> 3/7 * (9/2 / 1/7 + 7 / 2/7)
[168438] ['5/9', '7/5', '9/5', '9/4', '3'] -> 9/5 / (7/5 / 9/4 - 5/9) - 3
[168439] ['5/9', '7/8', '9/8', '8/5', '8'] -> 8 * (8/5 + 7/8 / (5/9 * 9/8))
[168440] ['2/3', '6/7', '4/3', '9/4', '9'] -> 4/3 * (9/4 + 9 / (2/3 * 6/7))
[168441] ['2/7', '3/4', '3/4', '6/5', '6'] -> 6/5 * (6 / 2/7 - 3/4 / 3/4)
[168442] ['7/9', '9/8', '8/5', '5/3', '4'] -> 4 / (5/3 / 8/5 - 7/9 * 9/8)
[168443] ['4/7', '3/5', '7/6', '9/7', '6'] -> 9/7 * (7/6 + 6 / (4/7 * 3/5))
[168444] ['5/7', '8/5', '8/5', '8/3', '5'] -> 8/5 / (5/7 * (5 - 8/3) - 8/5)
[168445] ['3/8', '5/8', '4/5', '9/2', '7'] -> 4/5 + 9/2 / 3/8 + 7 / 5/8
[168446] ['5/9', '7/5', '9/5', '5/2', '3'] -> (7/5 + 9/5) * (3 + 5/2 / 5/9)
[168447] ['1/9', '1/6', '3/7', '5/3', '9'] -> (5/3 + 9 * 1/9 / 3/7) / 1/6
[168448] ['5/9', '7/8', '9/8', '7/4', '8'] -> 8 / (5/9 * (7/8 + 7/4) - 9/8)
[168449] ['2/5', '4/7', '5/8', '6/5', '6'] -> (2/5 + 6/5 / 4/7) / (5/8 / 6)
[168450] ['5/7', '8/5', '5/3', '5/3', '5'] -> 5 / (5/3 - 5/3 / (5/7 * 8/5))
[168451] ['2/3', '6/7', '4/3', '9/2', '9'] -> (9 + 9/2 / (6/7 / 4/3)) / 2/3
[168452] ['3/8', '5/8', '5/6', '7/8', '7'] -> 7 / (7/8 - (5/6 + 3/8 - 5/8))
[168453] ['1/9', '1/6', '3/7', '7/4', '9'] -> 9 / (7/4 * (1/6 + 1/9 * 3/7))
[168454] ['3/7', '3/7', '5/8', '8/7', '2'] -> 3/7 / (8/7 - 3/7 * (5/8 + 2))
[168455] ['2/5', '4/7', '5/8', '5/4', '6'] -> 6 / (5/4 * 2/5 / 4/7 - 5/8)
[168456] ['5/7', '8/5', '5/3', '7/4', '5'] -> 5 / (5/7 * 7/4 - 5/3 / 8/5)
[168457] ['5/9', '7/5', '9/5', '3', '9/2'] -> (7/5 + 9/5) * 9/2 * 5/9 * 3
