[177301] ['4/7', '5/6', '5/3', '5/2', '6'] -> (5/2 + 6 / (4/7 / 5/3)) / 5/6
[177302] ['2/3', '5/7', '6/5', '5/4', '2'] -> 2 / (5/7 * (2/3 + 6/5) - 5/4)
[177303] ['2/5', '5/6', '8/7', '7/4', '6'] -> (6 + 8/7 * 7/4) / (2/5 * 5/6)
[177304] ['7/8', '7/8', '4/3', '7/4', '3'] -> 7/4 * 3 / (7/8 - 7/8 / 4/3)
[177305] ['3/8', '9/8', '9/8', '7/6', '7'] -> 7 / (3/8 / 9/8 + 9/8 - 7/6)
[177306] ['5/7', '5/6', '7/8', '7/3', '9'] -> 9 / (7/8 - 5/6 / (5/7 * 7/3))
[177307] ['4/7', '3/4', '3/4', '3/2', '3'] -> 3 / (3/4 / (4/7 * 3/2) - 3/4)
[177308] ['1/9', '2/7', '1/3', '7/5', '9'] -> (9 - 1/3 / (1/9 * 7/5)) / 2/7
[177309] ['3/7', '4/9', '7/9', '1', '9/8'] -> 1 / 3/7 / (4/9 + 7/9 - 9/8)
[177310] ['4/7', '5/8', '8/9', '9/2', '8'] -> (8 + 9/2 / (4/7 / 8/9)) / 5/8
[177311] ['7/8', '7/8', '4/3', '7/3', '3'] -> 7/3 * 3 / (7/8 * 4/3 - 7/8)
[177312] ['4/7', '5/6', '5/3', '9/2', '6'] -> 4/7 * 6 * (9/2 + 5/6 + 5/3)
[177313] ['5/7', '5/6', '7/8', '5/2', '9'] -> (5/2 - 5/6) * 9 / (5/7 * 7/8)
[177314] ['3/8', '9/8', '9/8', '5/4', '7'] -> 7 / (9/8 - 5/4 / (3/8 + 9/8))
[177315] ['4/5', '9/8', '5/3', '9/4', '4'] -> (9/4 + 4) / (5/3 - 9/8 / 4/5)
[177316] ['2/7', '4/3', '9/4', '5/2', '6'] -> (9/4 + (5/2 + 6) / 2/7) / 4/3
[177317] ['2/5', '5/6', '8/7', '7/3', '6'] -> 6 / (8/7 - 5/6 / (2/5 * 7/3))
[177318] ['4/7', '5/8', '9/8', '9/8', '8'] -> (9/8 / 9/8 + 8 / 4/7) / 5/8
[177319] ['3/7', '4/7', '5/7', '2', '9/2'] -> (4/7 + 5/7 + 2 * 9/2) / 3/7
[177320] ['3/4', '7/6', '6/5', '9/5', '5'] -> 5 / (3/4 * 7/6 - 6/5 / 9/5)
[177321] ['4/7', '3/4', '3/4', '7/4', '3'] -> (3/4 + 3/4) / (7/4 / 4/7 - 3)
[177322] ['3/8', '9/8', '9/8', '4/3', '7'] -> (9/8 * 7 - 9/8) / (3/8 / 4/3)
[177323] ['2/5', '5/6', '8/7', '5/2', '6'] -> (5/2 + 6 / 2/5) / (5/6 / 8/7)
[177324] ['4/7', '5/8', '9/8', '6/5', '8'] -> 9/8 * 8 / (4/7 * 5/8) - 6/5
[177325] ['3/7', '4/7', '3/4', '3/4', '2'] -> 3/7 / 2 / (4/7 - 3/4 * 3/4)
[177326] ['1/4', '5/7', '8/7', '7/4', '7'] -> (8/7 + 7 / (1/4 * 7/4)) / 5/7
[177327] ['1/6', '6/7', '1', '9/5', '5/2'] -> 6/7 * (1 + 5/2 / (1/6 / 9/5))
[177328] ['2/3', '5/7', '6/5', '7/4', '2'] -> 2 / 5/7 / (2/3 + 6/5 - 7/4)
[177329] ['3/7', '4/9', '7/9', '1', '9/7'] -> (1 + 9/7) / (3/7 + 4/9 - 7/9)
[177330] ['2/5', '5/6', '8/7', '8/3', '6'] -> 6 / (8/3 / 8/7 - 5/6 / 2/5)
[177331] ['4/7', '5/6', '7/4', '5/2', '6'] -> 6 * (4/7 * 7/4 + 5/2 / 5/6)
[177332] ['3/7', '4/7', '3/4', '4/5', '2'] -> 3/7 * 2 / (3/4 - 4/7 / 4/5)
[177333] ['3/8', '9/8', '9/8', '8/5', '7'] -> 9/8 * 7 / (9/8 / 8/5 - 3/8)
[177334] ['2/3', '5/7', '6/5', '2', '9/4'] -> 2 / (5/7 * (9/4 - 6/5) - 2/3)
