[195031] ['3/4', '7/9', '8/7', '4/3', '8'] -> 8 / (3/4 * (4/3 - 7/9 * 8/7))
[195032] ['3/7', '7/6', '9/7', '2', '5/2'] -> 2 / (9/7 / 3/7 - 7/6 * 5/2)
[195033] ['4/5', '7/8', '7/3', '7/3', '5'] -> (7/3 + 4/5 * 7/3) / (7/8 / 5)
[195034] ['3/5', '8/7', '8/7', '5/4', '6'] -> 6 / (8/7 / 8/7 - 3/5 * 5/4)
[195035] ['7/9', '6/7', '7/8', '9/7', '9'] -> 9 / (9/7 / 6/7 - 7/8 / 7/9)
[195036] ['3/7', '2/3', '2/3', '4/5', '6'] -> 6 / (2/3 - 3/7) - 4/5 / 2/3
[195037] ['1/9', '3/5', '5/7', '3/2', '9'] -> (3/5 + 3/2 / 5/7) * (9 - 1/9)
[195038] ['2/5', '3/5', '9/8', '9/8', '7'] -> (3/5 + 9/8 + 9/8 * 7) / 2/5
[195039] ['3/7', '7/6', '9/7', '2', '8/3'] -> (3/7 + 8/3) / (9/7 - 7/6) - 2
[195040] ['1/3', '4/5', '9/7', '8/3', '6'] -> (8/3 / 4/5 + 6 / 9/7) / 1/3
[195041] ['1/7', '5/9', '5/9', '7/3', '7'] -> (7 + 5/9 / 5/9) / (1/7 * 7/3)
[195042] ['2/9', '4/7', '2/3', '5/3', '3'] -> 3 / (2/3 - 4/7) - 5/3 / 2/9
[195043] ['1/7', '1/6', '5/6', '1', '7/3'] -> (1 + 7/3) / 1/7 - (1/6 - 5/6)
[195044] ['2/5', '3/5', '9/8', '8/7', '7'] -> (3/5 + 7 * 9/8 * 8/7) / 2/5
[195045] ['3/7', '7/6', '9/7', '2', '7/2'] -> 9/7 * 2 * (7/6 + 7/2 / 3/7)
[195046] ['7/9', '6/7', '7/8', '7/5', '9'] -> 9 / 7/5 / (7/8 / 7/9 - 6/7)
[195047] ['3/5', '8/7', '8/7', '3/2', '6'] -> 6 * (8/7 + 3/2 / (3/5 / 8/7))
[195048] ['3/7', '2/3', '2/3', '8/9', '6'] -> 6 * (8/9 + (2/3 + 2/3) / 3/7)
[195049] ['1/7', '1/6', '5/6', '1', '5/2'] -> (1 / 1/7 - 5/2 / 5/6) / 1/6
[195050] ['4/5', '7/8', '8/3', '9/2', '5'] -> (9/2 - 4/5 / 8/3) / (7/8 / 5)
[195051] ['2/5', '3/5', '9/8', '7/6', '7'] -> 7 / ((7/6 - 3/5) / 2/5 - 9/8)
[195052] ['3/7', '7/6', '4/3', '7/5', '2'] -> 4/3 / (2 - 7/6 / (3/7 * 7/5))
[195053] ['3/5', '7/9', '8/7', '4/3', '8'] -> 8/7 + 4/3 * 8 / (3/5 * 7/9)
[195054] ['7/9', '6/7', '7/8', '5/3', '9'] -> (5/3 + 7/9 * 6/7) / (7/8 / 9)
[195055] ['1/3', '4/5', '4/3', '4/3', '6'] -> 4/3 / (1/3 - 4/3 / (4/5 * 6))
[195056] ['1/9', '3/5', '5/7', '9/4', '9'] -> (9 - 3/5) / (9/4 * 1/9 / 5/7)
[195057] ['2/5', '3/5', '9/8', '6/5', '7'] -> 7 / (9/8 - (2/5 + 3/5) / 6/5)
[195058] ['1/7', '1/6', '5/6', '1', '7/2'] -> 7/2 * (1 + (1/7 + 5/6) / 1/6)
[195059] ['3/5', '7/9', '8/7', '7/5', '8'] -> 8 * 3/5 / 7/9 / (7/5 - 8/7)
[195060] ['5/7', '8/9', '8/7', '9/5', '2'] -> 8/7 / (8/9 / 2 - 5/7 / 9/5)
[195061] ['3/4', '7/9', '8/7', '9/4', '8'] -> 3/4 * 8/7 + 8 / (7/9 / 9/4)
[195062] ['7/9', '6/7', '7/8', '9/5', '9'] -> 9 / (9/5 * (7/8 - 7/9 * 6/7))
[195063] ['4/5', '7/8', '9/2', '9/2', '5'] -> (9/2 + 9/2) / (5 * (7/8 - 4/5))
[195064] ['1/3', '4/5', '4/3', '5/3', '6'] -> 6 / 1/3 / (5/3 / 4/5 - 4/3)
[195065] ['1/5', '1/3', '8/9', '1', '7/6'] -> (1/3 + 1) / (1/5 * (7/6 - 8/9))
[195066] ['3/5', '7/9', '8/7', '8/5', '8'] -> 8 / (3/5 * 7/9) / (8/7 / 8/5)
[195067] ['1/7', '1/6', '5/6', '1', '9/2'] -> (9/2 / 1/6 - 1 / 1/7) / 5/6
[195068] ['2/5', '3/5', '9/8', '4/3', '7'] -> 4/3 / (2/5 / 9/8) * (7 - 3/5)
[195069] ['2/5', '3/5', '9/8', '7/5', '7'] -> 7 * (2/5 + 7/5) / (9/8 - 3/5)
[195070] ['1/5', '1/3', '8/9', '1', '5/4'] -> 1 / (1/3 / 5/4 - 1/5 / 8/9)
[195071] ['3/7', '2/3', '2/3', '3/2', '6'] -> 2/3 + (2/3 + 6) / (3/7 / 3/2)
[195072] ['1/9', '3/5', '5/7', '9/2', '9'] -> (9 / 5/7 - 3/5) / (1/9 * 9/2)
[195073] ['3/4', '7/9', '8/7', '7/2', '8'] -> 3/4 * 7/2 * (8 / 7/9 - 8/7)
[195074] ['1/7', '5/9', '4/7', '5/6', '7'] -> (5/6 + (1/7 + 7) / 4/7) / 5/9
[195075] ['3/7', '7/6', '4/3', '2', '9/4'] -> 3/7 / (4/3 / 7/6 - 9/4 / 2)
[195076] ['2/9', '4/7', '5/7', '7/9', '3'] -> (5/7 + 7/9 * 3) / (2/9 * 4/7)
[195077] ['3/7', '2/3', '2/3', '5/3', '6'] -> 6 * (5/3 + 2/3 / (3/7 * 2/3))
[195078] ['1/7', '1/6', '6/7', '1', '6/5'] -> (6/7 / (1/7 * 6/5) - 1) / 1/6
[195079] ['4/5', '8/9', '8/9', '7/6', '5'] -> 4/5 * 5 / (7/6 - 8/9 / 8/9)
[195080] ['1/3', '4/5', '7/5', '7/5', '6'] -> (7/5 + 6 - (4/5 - 7/5)) / 1/3
[195081] ['3/7', '7/6', '4/3', '2', '7/3'] -> 3/7 / (7/6 / 4/3 - 2 / 7/3)
[195082] ['1/7', '5/9', '4/7', '6/7', '7'] -> (6/7 + (1/7 + 7) / 5/9) / 4/7
[195083] ['3/4', '7/9', '7/6', '6/5', '8'] -> 8 * (7/6 + 6/5 * (3/4 + 7/9))
[195084] ['1/7', '1/6', '6/7', '1', '7/5'] -> (1 / (1/6 * 7/5) - 6/7) / 1/7
[195085] ['3/7', '7/6', '4/3', '2', '5/2'] -> 2 / (4/3 - 5/2 * 3/7 * 7/6)
[195086] ['7/9', '6/7', '7/8', '9/2', '9'] -> 9 / (6/7 * 9/2) / (7/8 - 7/9)
[195087] ['2/5', '3/5', '9/8', '9/5', '7'] -> 7 / (9/8 - 3/5 / (2/5 * 9/5))
[195088] ['5/7', '8/9', '7/6', '7/6', '2'] -> 2 / (7/6 * 5/7 * 7/6 - 8/9)
[195089] ['3/5', '7/9', '8/7', '8/3', '8'] -> 8/7 + (8/3 + 8) / (3/5 * 7/9)
[195090] ['3/7', '2/3', '2/3', '5/2', '6'] -> 2/3 + 5/2 * 6 / (3/7 / 2/3)
[195091] ['2/9', '4/7', '5/7', '5/6', '3'] -> 4/7 / (2/9 - 5/7 * 5/6 / 3)
[195092] ['3/5', '8/7', '7/6', '5/4', '6'] -> 5/4 * (3/5 / (7/6 - 8/7) - 6)
[195093] ['1/7', '1/6', '6/7', '1', '8/5'] -> (6/7 + 1) / (1/6 - 1/7 / 8/5)
[195094] ['7/9', '6/7', '8/9', '8/9', '9'] -> (8/9 + 8/9) * 9 / (7/9 * 6/7)
[195095] ['3/4', '7/9', '7/6', '9/7', '8'] -> (7/9 + 7/6 / 3/4) * 9/7 * 8
[195096] ['3/7', '7/6', '4/3', '2', '8/3'] -> 2 / 7/6 / (4/3 / 8/3 - 3/7)
[195097] ['1/7', '5/9', '4/7', '8/9', '7'] -> (4/7 * (5/9 + 7) - 8/9) / 1/7
[195098] ['3/5', '7/9', '8/7', '7/2', '8'] -> 3/5 * 7/2 * (8/7 + 8 / 7/9)
[195099] ['7/9', '6/7', '8/9', '9/8', '9'] -> 9 / (9/8 - 7/9 * 6/7 / 8/9)
[195100] ['1/7', '1/6', '6/7', '1', '7/4'] -> (1 + 6/7 / 1/7) / (1/6 * 7/4)
[195101] ['4/5', '8/9', '8/9', '4/3', '5'] -> 4/3 / 5 / (4/5 / 8/9 - 8/9)
[195102] ['3/4', '7/9', '7/6', '7/5', '8'] -> 8 / (7/6 / (3/4 * 7/5) - 7/9)
[195103] ['1/9', '3/5', '3/4', '8/9', '9'] -> 9 / (3/5 * (3/4 - 1/9 / 8/9))
[195104] ['3/5', '7/9', '8/7', '9/2', '8'] -> 3/5 * 9/2 * (8 + 7/9 * 8/7)
