[212761] ['4/5', '8/9', '6/5', '9/7', '8'] -> 8 / (4/5 * (9/7 - 8/9)) - 6/5
[212762] ['5/6', '7/6', '7/4', '7/2', '9'] -> (7/4 + 9 * 5/6 * 7/2) / 7/6
[212763] ['1/5', '3/5', '1', '8/7', '9/5'] -> 9/5 / (1 / 8/7 - (1/5 + 3/5))
[212764] ['5/8', '5/4', '9/5', '9/5', '8'] -> 8 * (5/4 / 5/8 + 9/5 / 9/5)
[212765] ['1/7', '8/7', '8/7', '6/5', '7'] -> 8/7 / (1/7 * 7 - 8/7 / 6/5)
[212766] ['6/7', '5/4', '5/4', '4/3', '5'] -> 5 / (5/4 * 4/3 - 5/4 / 6/7)
[212767] ['2/3', '3/4', '7/8', '8/5', '6'] -> 6 / (3/4 * 8/5) / (7/8 - 2/3)
[212768] ['3/8', '3/5', '7/3', '7/3', '6'] -> (6 / 3/5 - 7/3 / 7/3) / 3/8
[212769] ['3/7', '3/7', '5/7', '7/2', '7'] -> 7/2 * (5/7 + 7 - (3/7 + 3/7))
[212770] ['4/9', '4/7', '1', '9/4', '7/3'] -> (1 + 7/3) / (4/7 - 4/9) - 9/4
[212771] ['6/7', '5/4', '5/4', '7/5', '5'] -> 5 / (5/4 - 5/4 / (6/7 * 7/5))
[212772] ['5/6', '7/6', '9/5', '7/2', '9'] -> 5/6 * (9/5 + 9 / (7/6 / 7/2))
[212773] ['5/8', '5/4', '9/5', '5/2', '8'] -> 5/2 * (9/5 + 8) - 5/8 / 5/4
[212774] ['4/5', '8/9', '6/5', '7/3', '8'] -> 8 * (4/5 + 7/3) - 8/9 * 6/5
[212775] ['1/6', '8/9', '6/5', '2', '5/2'] -> 8/9 * 5/2 * (2 / 1/6 - 6/5)
[212776] ['1/7', '8/7', '8/7', '7/5', '7'] -> 8/7 * 7/5 * (7 + 8/7 / 1/7)
[212777] ['2/3', '3/4', '7/8', '9/5', '6'] -> 6 / (7/8 - 3/4 / (2/3 * 9/5))
[212778] ['7/9', '4/5', '7/6', '7/6', '2'] -> 7/6 / (7/9 - 7/6 / (4/5 * 2))
[212779] ['4/5', '8/9', '6/5', '7/2', '8'] -> 4/5 / 8/9 * 7/2 * 8 - 6/5
[212780] ['4/9', '4/7', '1', '9/4', '8/3'] -> (9/4 + 1 / 4/7) / (4/9 / 8/3)
[212781] ['1/7', '8/7', '8/7', '3/2', '7'] -> 3/2 * (8/7 / 1/7 + 8/7 * 7)
[212782] ['1/5', '3/5', '1', '8/7', '8/3'] -> 1 / (8/3 - 3/5 / (1/5 * 8/7))
[212783] ['1/6', '8/9', '6/5', '2', '9/2'] -> (9/2 - 8/9) / (1/6 / 6/5) - 2
[212784] ['5/8', '5/4', '9/5', '9/2', '8'] -> 8 * (5/8 / 5/4 + 9/2 / 9/5)
[212785] ['1/7', '8/7', '8/7', '8/5', '7'] -> (8/7 - (1/7 - 8/7)) * 8/5 * 7
[212786] ['5/6', '7/6', '5/2', '8/3', '9'] -> (5/6 + 8/3) * (9 - 5/2 / 7/6)
