[239356] ['1/6', '5/9', '8/9', '3/2', '7'] -> 8/9 * 3/2 * 7 / (5/9 - 1/6)
[239357] ['1/5', '1/2', '4/7', '5/8', '2'] -> (2 / 4/7 - 1/2) / (1/5 * 5/8)
[239358] ['1/8', '5/9', '7/6', '8/5', '9'] -> 9 / (7/6 / 5/9 - (1/8 + 8/5))
[239359] ['2/9', '1/3', '5/9', '1', '7/6'] -> (1/3 + 5/9) / (2/9 * (7/6 - 1))
[239360] ['1/4', '6/7', '9/4', '7/3', '3'] -> 6/7 * 7/3 * (3 + 9/4 / 1/4)
[239361] ['7/6', '9/4', '7/2', '7/2', '5'] -> 5 + 7/2 * (7/2 + 9/4 / 7/6)
[239362] ['1/5', '8/7', '8/7', '5/2', '6'] -> (8/7 + 8/7 / 1/5) * (6 - 5/2)
[239363] ['6/7', '6/7', '8/9', '9/7', '2'] -> 9/7 * 2 / (6/7 / 8/9 - 6/7)
[239364] ['1/2', '4/5', '5/3', '5/3', '6'] -> 4/5 * 6 * (5/3 + 5/3 / 1/2)
[239365] ['6/5', '9/7', '9/7', '7/3', '9'] -> 6/5 * (7/3 * 9 - 9/7 / 9/7)
[239366] ['1/8', '5/9', '7/6', '5/3', '9'] -> 5/3 / (1/8 / 7/6) - (5/9 - 9)
[239367] ['1/4', '6/7', '9/4', '8/3', '3'] -> 3 / (8/3 - (9/4 + 1/4 / 6/7))
[239368] ['7/9', '7/9', '7/9', '7/8', '6'] -> 7/9 / (7/9 - 7/8 + 7/9 / 6)
[239369] ['6/7', '6/7', '8/9', '4/3', '2'] -> 4/3 * 2 / (6/7 / 6/7 - 8/9)
[239370] ['3/7', '8/5', '7/4', '9/4', '7'] -> 8/5 * (9/4 * 7 - 3/7 * 7/4)
[239371] ['7/6', '7/3', '7/3', '7/3', '5'] -> 7/3 + 5 * (7/3 + 7/3 / 7/6)
[239372] ['1/5', '8/7', '8/7', '8/3', '6'] -> 8/7 / 1/5 + 6 * 8/7 * 8/3
[239373] ['7/9', '7/9', '7/9', '8/9', '6'] -> 8/9 * 6 / (7/9 / 7/9 - 7/9)
[239374] ['6/5', '9/7', '9/7', '9/2', '9'] -> (9/2 - 9/7 / 6/5) / (9/7 / 9)
[239375] ['1/4', '6/7', '7/3', '7/3', '3'] -> 6/7 / ((3 - 7/3) / 7/3 - 1/4)
[239376] ['8/7', '6/5', '8/5', '8/3', '8'] -> 8/5 + 8/3 * 8 / (8/7 / 6/5)
[239377] ['7/9', '7/9', '7/9', '9/8', '6'] -> 6 / 9/8 / (7/9 / 7/9 - 7/9)
[239378] ['1/5', '1/2', '4/7', '5/6', '2'] -> (1/2 + 2 / 4/7) / (1/5 * 5/6)
[239379] ['7/6', '7/3', '7/3', '8/3', '5'] -> 8/3 * (5 + (7/3 + 7/3) / 7/6)
[239380] ['1/8', '5/9', '7/6', '7/3', '9'] -> (5/9 * 9 - 7/3 / 7/6) / 1/8
