[39399] ['8/7', '6/5', '4/3', '9/4', '6'] -> ((6 / (6/5 * (4/3 - 8/7))) - 9/4)
[39400] ['1/9', '1/9', '7/5', '3/2', '5'] -> (5 * ((7/5 / (1/9 + 1/9)) - 3/2))
[39401] ['2/9', '6/5', '6/5', '5/4', '5'] -> (6/5 * (5/4 + (5 / (2/9 * 6/5))))
[39402] ['1/9', '1/3', '2/5', '3/7', '3'] -> ((((3 / 3/7) - 1/3) * 2/5) / 1/9)
[39403] ['1/6', '5/8', '4/5', '7/5', '6'] -> (4/5 / ((1/6 / 5/8) - (7/5 / 6)))
[39404] ['1/4', '7/5', '2', '7/3', '9/2'] -> (7/5 * ((9/2 / 1/4) - (2 / 7/3)))
[39405] ['4/9', '4/5', '5/4', '3/2', '4'] -> (4 / (5/4 * (4/5 - (4/9 * 3/2))))
[39406] ['3/8', '3/4', '8/7', '3', '9/2'] -> ((3 + (8/7 * (3/4 + 9/2))) / 3/8)
[39407] ['1/4', '7/5', '2', '5/2', '5/2'] -> (((5/2 * (7/5 + 2)) - 5/2) / 1/4)
[39408] ['1/9', '1/6', '7/5', '4', '9/2'] -> ((7/5 + 4) * (9/2 + (1/9 - 1/6)))
[39409] ['3/8', '4/7', '8/7', '7/2', '4'] -> ((7/2 / ((4/7 / 8/7) - 3/8)) - 4)
[39410] ['1/9', '1/9', '7/5', '9/5', '5'] -> ((7/5 + 9/5) / (1/9 + (1/9 / 5)))
[39411] ['3/8', '3/4', '7/6', '6/5', '3'] -> (3 / ((6/5 * (7/6 - 3/4)) - 3/8))
[39412] ['1/8', '3/4', '9/7', '4/3', '5'] -> (5 / (4/3 - (9/7 * (1/8 + 3/4))))
[39413] ['8/7', '6/5', '4/3', '7/2', '6'] -> (((8/7 * 7/2) / (4/3 - 6/5)) - 6)
[39414] ['1/9', '1/6', '3/2', '8/5', '4'] -> (3/2 * (8/5 + (4 / (1/9 + 1/6))))
[39415] ['5/9', '4/7', '6/7', '7/8', '1'] -> (1 / (7/8 - (6/7 * (5/9 / 4/7))))
[39416] ['1/9', '1/3', '2/5', '5/7', '3'] -> (((3 + (1/3 + 2/5)) * 5/7) / 1/9)
[39417] ['2/9', '6/5', '6/5', '5/3', '5'] -> ((((5/3 + 5) / 2/9) - 6/5) / 6/5)
[39418] ['1/4', '7/5', '2', '8/3', '8/3'] -> ((8/3 + ((2 + 8/3) / 7/5)) / 1/4)
[39419] ['8/7', '6/5', '7/5', '3/2', '6'] -> (6 / (8/7 - (3/2 / (6/5 * 7/5))))
[39420] ['5/9', '4/7', '6/7', '8/9', '1'] -> (1 / ((4/7 / 6/7) - (5/9 / 8/9)))
[39421] ['4/9', '4/5', '5/4', '9/5', '4'] -> ((9/5 + (4 / 4/9)) / (5/4 - 4/5))
[39422] ['1/3', '1/3', '4/7', '5/3', '8'] -> ((1/3 + 1/3) + ((8 * 5/3) / 4/7))
[39423] ['1/9', '1/3', '2/5', '3/4', '3'] -> (3 / (1/3 - (3/4 * (1/9 / 2/5))))
[39424] ['1/9', '1/9', '7/5', '5/2', '5'] -> ((((7/5 - 1/9) * 5/2) / 1/9) - 5)
[39425] ['1/8', '3/4', '9/7', '3/2', '5'] -> (9/7 * ((3/2 / 1/8) + (5 / 3/4)))
[39426] ['1/5', '1/3', '7/9', '7/6', '4'] -> (4 / ((1/3 / 1/5) - (7/6 / 7/9)))
[39427] ['1/4', '7/5', '2', '8/3', '7/2'] -> (2 / ((1/4 - 8/3) + (7/2 / 7/5)))
[39428] ['3/8', '4/7', '7/6', '5/4', '4'] -> (4 / (4/7 * (3/8 + 7/6)) - 5/4))
[39429] ['5/9', '4/7', '6/7', '1', '9/8'] -> (1 / ((4/7 / 6/7) - (5/9 * 9/8)))
[39430] ['1/9', '1/9', '7/5', '8/3', '5'] -> ((1/9 + (7/5 * 5)) / (1/9 * 8/3))
[39431] ['1/6', '5/8', '5/6', '8/7', '6'] -> (6 / (((1/6 + 5/6) / 8/7) - 5/8))
[39432] ['8/7', '6/5', '7/5', '7/3', '6'] -> ((8/7 * 6) * (7/3 + (7/5 / 6/5)))
[39433] ['1/5', '1/3', '7/9', '6/5', '4'] -> ((6/5 + (4 / (1/3 + 7/9))) / 1/5)
[39434] ['5/9', '4/7', '6/7', '1', '8/7'] -> (8/7 / ((5/9 * 6/7) + (4/7 - 1)))
[39435] ['1/9', '1/6', '8/5', '7/3', '4'] -> (((7/3 - (1/6 * 4)) * 8/5) / 1/9)
[39436] ['1/9', '1/3', '2/5', '4/5', '3'] -> (3 + ((1/3 + (4/5 / 2/5)) / 1/9))
[39437] ['3/8', '4/7', '7/6', '7/5', '4'] -> (4/7 / ((7/6 / 4) - (3/8 / 7/5)))
[39438] ['1/5', '1/3', '7/9', '5/4', '4'] -> ((4 - (1/3 / 5/4)) / (1/5 * 7/9))
[39439] ['1/9', '1/9', '7/5', '7/2', '5'] -> ((7/2 * ((7/5 * 5) - 1/9)) - 1/9)
[39440] ['3/8', '3/4', '7/6', '7/3', '3'] -> (3 / ((3/8 - 3/4) + (7/6 / 7/3)))
[39441] ['1/6', '5/6', '9/7', '7/3', '5'] -> (((7/3 * 9/7) / 1/6) + (5 / 5/6))
[39442] ['8/7', '6/5', '7/5', '8/3', '6'] -> (6 * (8/3 + (7/5 * (8/7 / 6/5))))
[39443] ['1/8', '3/4', '9/7', '7/4', '5'] -> (5 / ((3/4 / (9/7 * /4)) - 1/8))
[39444] ['4/9', '4/5', '5/4', '4', '9/2'] -> (5/4 * ((9/2 * (4/9 + 4)) - 4/5))
[39445] ['1/9', '1/6', '8/5', '7/2', '4'] -> (8/5 * ((4 / 1/9) - (7/2 / 1/6)))
[39446] ['1/9', '1/3', '2/5', '6/7', '3'] -> (((3 / 6/7) - (1/3 / 2/5)) / 1/9)
[39447] ['3/8', '4/7', '7/6', '5/3', '4'] -> (4 / (7/6 * (5/3 - (4/7 / 3/8))))
[39448] ['1/9', '1/9', '3/2', '3/2', '5'] -> (((3/2 / (1/9 * 1/9)) - 3/2) / 5)
[39449] ['1/9', '1/6', '8/5', '4', '9/2'] -> ((8/5 * 9/2) * (4 - (1/9 / 1/6)))
[39450] ['1/5', '1/3', '7/9', '7/5', '4'] -> (((1/5 + (7/5 / 7/9)) * 4) / 1/3)
[39451] ['1/9', '1/3', '2/5', '7/8', '3'] -> (1/3 / ((7/8 / 3) - (1/9 / 2/5)))
[39452] ['1/9', '1/9', '3/2', '8/5', '5'] -> (((5 / (1/9 + 1/9)) * 8/5) / 3/2)
[39453] ['1/8', '3/4', '9/7', '9/4', '5'] -> (5 / (1/8 * (9/4 - (3/4 / 9/7))))
[39454] ['3/8', '3/4', '6/5', '4/3', '3'] -> (3 / ((3/4 / 6/5) - (3/8 * 4/3)))
[39455] ['1/4', '3/2', '3/2', '9/5', '2'] -> (((3/2 / (2 - 9/5)) - 3/2) / 1/4)
[39456] ['1/6', '5/6', '9/7', '7/2', '5'] -> (((9/7 * (5/6 + 5)) - 7/2) / 1/6)
[39457] ['1/9', '1/9', '3/2', '7/4', '5'] -> ((5 + (1/9 / 1/9)) / (7/4 - 3/2))
[39458] ['8/7', '6/5', '3/2', '3/2', '6'] -> (((3/2 * 6) / (3/2 - 8/7)) - 6/5)
[39459] ['3/8', '3/4', '6/5', '8/5', '3'] -> ((6/5 * 3) / (3/4 - (3/8 * 8/5)))
[39460] ['1/3', '1/3', '3/5', '8/9', '8'] -> (8 * ((8/9 / (3/5 - 1/3)) - 1/3))
[39461] ['1/7', '3/4', '8/5', '9/4', '9'] -> (8/5 * ((9/4 * 9) - (3/4 / 1/7)))
[39462] ['1/9', '1/9', '3/2', '9/5', '5'] -> (((9/5 - (1/9 / 5)) * 3/2) / 1/9)
[39463] ['2/9', '6/5', '5/4', '3/2', '5'] -> ((6/5 * ((5 / 2/9) - 5/4)) - 3/2)
[39464] ['8/7', '6/5', '3/2', '7/4', '6'] -> ((6/5 + (8/7 * 7/4)) * (3/2 + 6))
[39465] ['1/4', '3/2', '8/5', '7/4', '2'] -> (8/5 * (2 + ((3/2 + 7/4) / 1/4)))
[39466] ['1/9', '1/9', '3/2', '7/3', '5'] -> (((7/3 - (1/9 * 5)) * 3/2) / 1/9)
[39467] ['3/8', '3/4', '6/5', '7/4', '3'] -> ((3/4 + 7/4) * ((3 * 6/5) / 3/8))
[39468] ['1/6', '5/8', '6/7', '9/8', '6'] -> (6 / ((1/6 * 6/7) * 5/8) + 9/8))
[39469] ['1/7', '3/4', '8/5', '5/2', '9'] -> ((9 / (1/7 * 5/2)) - (3/4 * 8/5))
[39470] ['1/5', '1/3', '7/9', '7/3', '4'] -> ((1/3 + 7/3) / (4 - (7/9 / 1/5)))
[39471] ['8/7', '6/5', '3/2', '9/4', '6'] -> ((8/7 * 6) * (9/4 + (3/2 / 6/5)))
[39472] ['1/9', '1/9', '8/5', '8/5', '5'] -> ((8/5 + 8/5) / (1/9 + (1/9 / 5)))
[39473] ['1/4', '3/2', '8/5', '2', '8/3'] -> (2 / ((1/4 + 3/2) - (8/3 / 8/5)))
[39474] ['1/5', '1/3', '7/9', '5/2', '4'] -> (1/3 / (5/2 * 1/5) - (7/9 / 4)))
[39475] ['1/7', '3/4', '8/5', '7/2', '9'] -> (((7/2 * 3/4) / 1/7) + (9 / 8/5))
