[257086] ['4/9', '4/5', '7/8', '8/3', '7'] -> (7 + 8/3 / 4/5) / (7/8 - 4/9)
[257087] ['2/5', '7/5', '7/5', '9/4', '8'] -> 7/5 + 7/5 + 8 * (2/5 + 9/4)
[257088] ['3/8', '7/9', '8/5', '7/4', '9'] -> 8/5 * (9 + 7/4 / (3/8 * 7/9))
[257089] ['4/9', '4/9', '4/3', '7/4', '2'] -> 4/3 / (4/9 - 4/9 * 7/4 / 2)
[257090] ['1/5', '8/9', '3/2', '2', '7/3'] -> 7/3 + (8/9 + 2) / (1/5 / 3/2)
[257091] ['1/6', '1/3', '5/8', '5/7', '1'] -> 1 / (5/7 * (5/8 - 1/3) - 1/6)
[257092] ['1/4', '5/9', '7/6', '7/3', '9'] -> (5/9 + 7/3) / (1/4 - 7/6 / 9)
[257093] ['3/8', '7/9', '8/5', '9/5', '9'] -> 8/5 + (9/5 + 9) / (3/8 / 7/9)
[257094] ['2/5', '7/5', '7/5', '8/3', '8'] -> 2/5 * 8 / (7/5 + 7/5 - 8/3)
[257095] ['2/9', '4/9', '8/7', '9/4', '6'] -> 6 * (9/4 + 4/9 / (2/9 * 8/7))
[257096] ['1/4', '5/9', '7/6', '5/2', '9'] -> (7/6 * 9 - 5/2 / 5/9) / 1/4
[257097] ['4/9', '4/9', '4/3', '2', '7/3'] -> (7/3 + 4/3 / 4/9) / (4/9 / 2)
[257098] ['1/9', '1/7', '2/7', '7/4', '9'] -> 2/7 / 1/7 / (7/4 / 9 - 1/9)
[257099] ['1/5', '8/9', '3/2', '2', '8/3'] -> 2 * (8/3 / 1/5 - 8/9 * 3/2)
[257100] ['1/9', '1/7', '7/5', '7/4', '6'] -> 6 / (1/9 * 7/5) / (7/4 - 1/7)
[257101] ['1/4', '4/7', '3/5', '1', '9/7'] -> 9/7 / (1/4 / (1 - 3/5) - 4/7)
[257102] ['1/4', '5/9', '7/6', '7/2', '9'] -> (1/4 + 9 + 7/6 * 7/2) / 5/9
[257103] ['2/9', '3/5', '5/7', '1', '9/5'] -> (9/5 + 1 / 5/7) / (2/9 * 3/5)
[257104] ['1/6', '1/3', '5/8', '1', '6/5'] -> 1 / (1/6 * 1/3) / (5/8 * 6/5)
[257105] ['4/9', '4/9', '4/3', '2', '7/2'] -> (7/2 + 2 / 4/9) / (4/9 / 4/3)
[257106] ['8/9', '9/7', '9/7', '2', '7/3'] -> 9/7 / (7/3 / 8/9 - 9/7 * 2)
