[283681] ['1/3', '2/5', '5/9', '5/4', '3'] -> (1/3 + 3) / (5/9 / 2/5 - 5/4)
[283682] ['3/4', '8/9', '7/5', '8/3', '7'] -> 7 * (8/9 + 8/3 / (3/4 * 7/5))
[283683] ['1/7', '1/6', '3/4', '9/5', '2'] -> 2 / (1/7 * (1/6 + 3/4 / 9/5))
[283684] ['1/8', '1/6', '4/7', '7/9', '2'] -> 4/7 / 1/6 + 2 / (1/8 * 7/9)
[283685] ['1/9', '3/8', '4/9', '4/5', '1'] -> 1 / ((4/9 - 1/9) / 4/5 - 3/8)
[283686] ['2/7', '5/9', '5/6', '9/4', '9'] -> (9 - 5/6 / 5/9) / 2/7 - 9/4
[283687] ['2/7', '3/7', '1/2', '6/7', '1'] -> 2/7 / (3/7 - 1 + 1/2 / 6/7)
[283688] ['3/4', '8/9', '7/5', '9/2', '7'] -> 9/2 / (8/9 - 3/4) - (7/5 + 7)
[283689] ['2/9', '3/5', '5/8', '7/4', '2'] -> 2 * (7/4 / (2/9 * 5/8) - 3/5)
[283690] ['2/7', '5/9', '5/6', '5/2', '9'] -> (5/2 + 9 / (2/7 / 5/9)) / 5/6
[283691] ['4/9', '4/7', '2/3', '6/5', '8'] -> 8 / (4/7 - 4/9 / (2/3 + 6/5))
[283692] ['3/4', '8/9', '3/2', '3/2', '7'] -> 7 / (3/4 * (8/9 + 3/2) - 3/2)
[283693] ['1/9', '3/8', '4/9', '7/8', '1'] -> (4/9 + 7/8 / 3/8) / 1/9 - 1
[283694] ['1/8', '1/6', '4/7', '5/6', '2'] -> 4/7 * (2 + 5/6 / (1/8 * 1/6))
[283695] ['1/6', '4/9', '6/5', '6/5', '3'] -> 6/5 / 1/6 / (3 - 6/5 / 4/9)
[283696] ['2/5', '8/7', '5/2', '5/2', '9'] -> 8/7 * (5/2 * (2/5 + 9) - 5/2)
[283697] ['2/7', '3/7', '1/2', '1', '8/7'] -> 8/7 / 2/7 / (1/2 / 3/7 - 1)
[283698] ['2/5', '6/7', '7/8', '9/7', '5'] -> 9/7 / (2/5 - (6/7 + 7/8) / 5)
[283699] ['1/6', '4/9', '6/5', '5/4', '3'] -> 5/4 * (3 + 6/5 / (1/6 * 4/9))
[283700] ['1/4', '4/9', '4/5', '5/6', '6'] -> (4/5 + 6) / (4/9 / 5/6 - 1/4)
[283701] ['1/2', '4/7', '5/8', '7/4', '2'] -> (2 + 4/7 * 7/4) / (5/8 - 1/2)
[283702] ['2/9', '3/5', '5/8', '2', '7/3'] -> 7/3 / (5/8 * (3/5 - 2/9 * 2))
[283703] ['1/7', '1/6', '7/9', '4/5', '2'] -> (1/6 + 2 / 4/5) / (1/7 * 7/9)
[283704] ['1/9', '3/7', '5/8', '9/7', '8'] -> (3/7 * 8 + 9/7 / 1/9) / 5/8
[283705] ['2/7', '5/9', '5/6', '9/2', '9'] -> 5/9 / 5/6 * (9/2 + 9 / 2/7)
[283706] ['3/4', '8/9', '3/2', '7/3', '7'] -> (7/3 + 7) / (8/9 - 3/4 / 3/2)
[283707] ['4/9', '4/7', '2/3', '9/5', '8'] -> 9/5 * (8 / 4/7 - 4/9 / 2/3)
