[319141] ['4/9', '7/9', '4/3', '7/5', '9'] -> (4/3 + 4/9 / 7/9) * 7/5 * 9
[319142] ['7/9', '6/7', '1', '8/7', '8/7'] -> 8/7 / (8/7 / 6/7 - 1 / 7/9)
[319143] ['1/3', '3/7', '1', '9/7', '9/5'] -> (1 + 9/7) / (1/3 - 3/7 / 9/5)
[319144] ['1/7', '4/5', '4/3', '2', '7/2'] -> 4/5 * 4/3 * (7/2 / 1/7 - 2)
[319145] ['4/9', '4/9', '3/4', '9/7', '5'] -> (5 / 4/9 - 3/4 / 9/7) / 4/9
[319146] ['1/8', '1/5', '5/8', '5/6', '1'] -> (5/8 / 1/8 - 1) / (1/5 * 5/6)
[319147] ['1/5', '5/9', '5/9', '2/3', '3'] -> (5/9 / 5/9 + 3 / 1/5) / 2/3
[319148] ['7/8', '8/9', '3/2', '8/3', '7'] -> 7 / (3/2 - (7/8 + 8/9 / 8/3))
[319149] ['1/7', '9/4', '5/2', '8/3', '8'] -> 9/4 / 5/2 * (8 + 8/3 / 1/7)
[319150] ['7/8', '8/9', '3/2', '7/2', '7'] -> 7/2 / (8/9 - 7/8) / (3/2 * 7)
[319151] ['1/3', '2/5', '2/5', '5/7', '5'] -> (2/5 / 2/5 + 5 / 5/7) / 1/3
[319152] ['1/7', '4/5', '4/3', '2', '9/2'] -> 4/5 * (9/2 / 1/7 - 2 / 4/3)
[319153] ['1/5', '5/9', '5/9', '3/4', '3'] -> (5/9 + 3) * 3/4 / (1/5 * 5/9)
[319154] ['1/7', '9/4', '5/2', '9/2', '8'] -> (5/2 - 9/2 + 8 / 1/7) / 9/4
[319155] ['7/9', '6/7', '1', '8/7', '6/5'] -> 8/7 / 6/7 / (1 / 6/5 - 7/9)
[319156] ['1/8', '1/5', '5/8', '8/9', '1'] -> 1 / (1/5 - 1/8) / (5/8 * 8/9)
[319157] ['1/3', '2/5', '2/5', '7/9', '5'] -> (1/3 + 5) / (2/5 / 2/5 - 7/9)
[319158] ['1/7', '4/5', '7/5', '7/5', '2'] -> 2 * (4/5 + 7/5 + 7/5 / 1/7)
[319159] ['4/7', '5/8', '7/8', '7/5', '7'] -> (7/5 + 7 / (4/7 * 5/8)) / 7/8
[319160] ['1/3', '3/7', '1', '9/7', '7/2'] -> 7/2 / (1/3 - 3/7 / (1 + 9/7))
[319161] ['4/9', '4/9', '3/4', '7/4', '5'] -> 5 / (4/9 * 4/9) - 3/4 * 7/4
[319162] ['1/5', '5/9', '5/9', '7/9', '3'] -> (5/9 + 7/9 / 1/5) / (5/9 / 3)
[319163] ['3/8', '3/8', '2/5', '9/5', '9'] -> (9 - 9/5) / (2/5 * (3/8 + 3/8))
[319164] ['7/8', '8/9', '8/5', '5/3', '7'] -> 8/5 * 5/3 * 7 / (7/8 * 8/9)
[319165] ['4/7', '5/8', '7/8', '8/5', '7'] -> 8/5 + 7 / (7/8 * 4/7 * 5/8)
[319166] ['1/3', '2/5', '2/5', '5/6', '5'] -> (5 / (5/6 - 1/3) - 2/5) / 2/5
[319167] ['4/9', '7/9', '7/5', '9/5', '9'] -> (7/9 + 9) / (9/5 - 7/5) - 4/9
[319168] ['1/7', '4/5', '7/5', '3/2', '2'] -> 7/5 + 2 * (4/5 + 3/2 / 1/7)
[319169] ['4/9', '4/9', '3/4', '9/5', '5'] -> (9/5 + 4/9 * 3/4) / (4/9 / 5)
[319170] ['1/5', '5/9', '5/9', '4/5', '3'] -> (5/9 / 5/9 + 4/5 + 3) / 1/5
[319171] ['1/5', '5/9', '5/9', '5/6', '3'] -> (3 + 5/9 / 5/9) / (1/5 * 5/6)
[319172] ['7/9', '6/7', '1', '8/7', '7/5'] -> 8/7 / (1 / 7/5 - 7/9 * 6/7)
[319173] ['1/3', '2/5', '2/5', '7/8', '5'] -> 5 / (1/3 + 7/8 - 2/5 / 2/5)
[319174] ['7/9', '6/7', '1', '8/7', '3/2'] -> 1 / 3/2 / (7/9 - 6/7 / 8/7)
[319175] ['1/5', '5/9', '5/9', '6/7', '3'] -> (5/9 + 3 / 1/5) / (5/9 / 6/7)
[319176] ['1/3', '3/7', '1', '4/3', '3/2'] -> 4/3 / ((1 - 1/3) / 3/7 - 3/2)
[319177] ['4/9', '7/9', '7/5', '9/2', '9'] -> 9/2 * ((9 - 4/9) / 7/5 - 7/9)
[319178] ['1/7', '7/3', '5/2', '8/3', '8'] -> 8 * (1/7 + 8/3 / (7/3 / 5/2))
[319179] ['1/3', '2/5', '2/5', '9/8', '5'] -> 5 / (1/3 - 9/8 + 2/5 / 2/5)
[319180] ['1/7', '4/5', '7/5', '2', '9/4'] -> (2 + 7/5 / 4/5) / 1/7 - 9/4
[319181] ['1/3', '3/7', '1', '4/3', '5/3'] -> (1 + (4/3 + 5/3) / 3/7) / 1/3
[319182] ['1/5', '5/9', '5/9', '8/9', '3'] -> (3 + 5/9 - 8/9) / (1/5 * 5/9)
[319183] ['1/8', '1/5', '2/3', '2/3', '1'] -> (2/3 / 1/5 + 2/3 - 1) / 1/8
[319184] ['1/7', '4/5', '7/5', '2', '8/3'] -> 8/3 * (4/5 / 1/7 + 7/5 + 2)
[319185] ['4/9', '4/9', '7/9', '4/5', '5'] -> (4/9 + 4/9 / 5) / (4/5 - 7/9)
[319186] ['1/8', '1/5', '2/3', '7/9', '1'] -> (2/3 / 1/5 - 1) / (1/8 * 7/9)
[319187] ['3/8', '3/8', '3/7', '5/7', '9'] -> 9 * (3/8 / 3/8 + 5/7 / 3/7)
[319188] ['7/9', '6/7', '1', '8/7', '7/3'] -> 7/3 / (7/9 / 8/7) / (1 - 6/7)
[319189] ['5/9', '9/5', '2', '9/4', '8/3'] -> 8/3 / (5/9 * 9/5 - 2 / 9/4)
[319190] ['1/3', '3/7', '1', '4/3', '9/4'] -> (1 + 9/4 / (3/7 / 4/3)) / 1/3
[319191] ['1/5', '5/9', '5/9', '7/6', '3'] -> (5/9 + 3 / 1/5) / (5/9 * 7/6)
[319192] ['1/8', '2/7', '6/5', '7/2', '8'] -> 6/5 * 7/2 * (8 - 2/7 / 1/8)
[319193] ['1/7', '4/5', '3/2', '3/2', '2'] -> 3/2 * (2 / (1/7 * 4/5) - 3/2)
[319194] ['3/8', '3/8', '3/7', '5/6', '9'] -> (9 / 3/7 - 3/8 / 3/8) / 5/6
[319195] ['1/5', '5/9', '5/9', '6/5', '3'] -> (3 + 5/9 / 5/9) / (1/5 / 6/5)
[319196] ['1/7', '8/3', '8/3', '8/3', '8'] -> 8 * (8/3 + 8/3) - 8/3 / 1/7
[319197] ['4/9', '4/9', '7/9', '7/8', '5'] -> 5 / (4/9 + 4/9 - 7/9 * 7/8)
[319198] ['1/8', '2/7', '6/5', '9/2', '8'] -> 6/5 * (9/2 / (2/7 - 1/8) - 8)
[319199] ['1/8', '1/5', '2/3', '1', '8/7'] -> 1 / (1/8 / 1/5 - 2/3 / 8/7)
[319200] ['1/3', '3/7', '1', '4/3', '5/2'] -> 4/3 / 1/3 / (5/2 - 1 / 3/7)
[319201] ['1/7', '4/5', '3/2', '5/3', '2'] -> 2 / 1/7 / (5/3 / 4/5 - 3/2)
[319202] ['7/8', '8/9', '5/3', '9/5', '7'] -> 7 / (5/3 - (8/9 + 7/8 / 9/5))
[319203] ['4/9', '4/9', '7/9', '8/9', '5'] -> (4/9 + 4/9 * 5) / (8/9 - 7/9)
[319204] ['3/8', '3/8', '3/7', '6/5', '9'] -> 6/5 * (9 / 3/7 - 3/8 / 3/8)
[319205] ['4/7', '5/8', '8/9', '4/3', '7'] -> 7 * (4/7 + 4/3) / (5/8 * 8/9)
[319206] ['1/3', '3/7', '1', '4/3', '8/3'] -> 8/3 / (4/3 / 3/7 - 1 / 1/3)
[319207] ['1/5', '5/9', '5/9', '4/3', '3'] -> (5/9 + 3) / (4/3 * 1/5 * 5/9)
[319208] ['3/8', '3/8', '3/7', '5/4', '9'] -> 5/4 + (9 + 3/8 + 3/8) / 3/7
[319209] ['5/9', '9/5', '2', '7/3', '5/2'] -> 5/2 * (9/5 + (2 + 7/3) / 5/9)
[319210] ['4/9', '4/9', '7/9', '9/8', '5'] -> 5 / (4/9 / (7/9 - 4/9) - 9/8)
[319211] ['1/8', '1/5', '2/3', '1', '9/7'] -> (2/3 / 1/5 - 1) / (1/8 / 9/7)
[319212] ['1/8', '2/7', '5/4', '7/5', '8'] -> 8 * (5/4 / (2/7 * 7/5) - 1/8)
[319213] ['1/3', '3/7', '1', '4/3', '7/2'] -> 1 / 7/2 / (1/3 - 3/7 / 4/3)
[319214] ['7/9', '6/7', '1', '7/6', '5/4'] -> 1 / (7/6 / 7/9 - 5/4 / 6/7)
[319215] ['7/8', '8/9', '5/3', '8/3', '7'] -> 7 * (5/3 * 8/3 - 8/9 / 7/8)
[319216] ['4/9', '4/9', '7/9', '8/7', '5'] -> 5 / (4/9 + 4/9 - 7/9 / 8/7)
[319217] ['1/5', '5/9', '5/9', '7/5', '3'] -> 3 * (5/9 / 5/9 + 7/5 / 1/5)
[319218] ['4/7', '5/8', '8/9', '3/2', '7'] -> (3/2 + 4/7 / 8/9) / (5/8 / 7)
[319219] ['1/8', '2/7', '5/4', '8/5', '8'] -> (8 - 8/5 / 2/7) / (1/8 / 5/4)
[319220] ['4/9', '7/9', '8/5', '7/2', '9'] -> 8/5 * ((9 - 7/9) / 4/9 - 7/2)
[319221] ['1/7', '4/5', '3/2', '2', '8/3'] -> 4/5 * (2 + 8/3 / (1/7 / 3/2))
[319222] ['1/5', '5/9', '5/9', '3/2', '3'] -> 3/2 * (5/9 / 5/9 + 3 / 1/5)
[319223] ['1/6', '1/6', '1/6', '2/9', '8'] -> 8 / (2/9 / 1/6 - 1/6 / 1/6)
[319224] ['5/9', '9/5', '2', '7/3', '9/2'] -> 9/2 * (5/9 * 9/5 + 2 + 7/3)
[319225] ['1/6', '1/6', '1/6', '2/7', '8'] -> 8 / (2/7 * (1/6 + 1/6 / 1/6))
[319226] ['3/8', '3/8', '3/7', '9/5', '9'] -> (9/5 + 3/8 / 3/8) * (9 - 3/7)
[319227] ['4/9', '7/9', '5/3', '9/4', '9'] -> 5/3 * 9 / (4/9 / 7/9) - 9/4
[319228] ['1/6', '1/6', '1/6', '2/5', '8'] -> 8 / 2/5 / (1/6 / 1/6 - 1/6)
[319229] ['1/7', '4/5', '3/2', '2', '9/2'] -> 4/5 * 2 * (9/2 + 3/2 / 1/7)
[319230] ['7/9', '6/7', '1', '7/6', '3/2'] -> (7/6 + 3/2) / (7/9 * (1 - 6/7))
[319231] ['1/8', '2/7', '5/4', '5/2', '8'] -> 8 / 2/7 - 5/4 / (1/8 * 5/2)
[319232] ['5/9', '9/5', '2', '5/2', '8/3'] -> 8/3 / (5/9 - 2 / (9/5 * 5/2))
[319233] ['1/8', '1/5', '2/3', '1', '9/2'] -> (1 / (1/5 * 2/3) - 9/2) / 1/8
[319234] ['1/3', '2/5', '3/7', '2/3', '5'] -> (2/3 + 2/5 / 3/7) / (1/3 / 5)
[319235] ['3/8', '3/8', '3/7', '5/2', '9'] -> (3/8 + 9) / 3/7 - (3/8 - 5/2)
[319236] ['1/6', '1/6', '1/6', '5/9', '8'] -> 8 * (5/9 / 1/6 - (1/6 + 1/6))
[319237] ['1/3', '3/7', '1', '7/5', '9/5'] -> (1 + 9/5 / 7/5) / (3/7 - 1/3)
[319238] ['1/8', '1/5', '5/7', '5/7', '1'] -> (5/7 / 1/8 - 5/7) / 1/5 - 1
[319239] ['4/9', '7/9', '5/3', '7/2', '9'] -> 9 * (7/2 * (5/3 - 7/9) - 4/9)
[319240] ['1/7', '4/5', '8/5', '9/5', '2'] -> 8/5 * (2 / 1/7 - (4/5 - 9/5))
[319241] ['7/8', '8/9', '7/4', '9/2', '7'] -> 9/2 / (7/8 / 8/9) * (7 - 7/4)
[319242] ['1/6', '1/6', '1/6', '4/7', '8'] -> (8 - 1/6 / 1/6) / (1/6 / 4/7)
