[59098] ['1/9', '1/7', '4/5', '9/5', '7'] -> (((7 - 4/5) / (1/7 * 9/5)) - 1/9)
[59099] ['2/5', '4/7', '5/7', '5/6', '3'] -> (4/7 / ((3 * (2/5 * 5/7)) - 5/6))
[59100] ['1/9', '7/9', '7/8', '3/2', '3'] -> (3 / ((3/2 * (7/9 - 1/9)) - 7/8))
[59101] ['1/9', '2/7', '7/4', '7/3', '5'] -> ((7/3 + 5) / (7/4 * (2/7 - 1/9)))
[59102] ['2/7', '4/7', '9/7', '5/3', '2'] -> (2 / (((9/7 - 2/7) / 4/7) - 5/3))
[59103] ['1/5', '7/9', '5/2', '4', '9/2'] -> ((5/2 + 4) + (9/2 / (1/5 / 7/9)))
[59104] ['1/7', '2/9', '2/3', '5/2', '5'] -> ((5/2 / (2/9 - 1/7)) - (5 / 2/3))
[59105] ['1/6', '2/7', '6/5', '7/4', '9'] -> (((9 / (6/5 * 7/4)) - 2/7) / 1/6)
[59106] ['1/4', '3/5', '5/8', '4/5', '5'] -> ((5 / (1/4 / 3/5)) / (5/8 * 4/5))
[59107] ['4/7', '4/7', '5/7', '1', '9/8'] -> ((5/7 + 1) / ((4/7 * 9/8) - 4/7))
[59108] ['1/5', '1/3', '6/7', '5/3', '6'] -> (6/7 * ((6 / 1/5) - (1/3 + 5/3)))
[59109] ['2/5', '4/9', '2/3', '7/8', '4'] -> (((4 / 2/5) - 2/3) / (4/9 * 7/8))
[59110] ['1/5', '2/5', '2/5', '7/2', '5'] -> ((2/5 - (2/5 * 7/2)) + (5 / 1/5))
[59111] ['1/5', '7/9', '8/3', '8/3', '4'] -> ((8/3 / 1/5) / (4 - (7/9 + 8/3)))
[59112] ['3/8', '2/5', '4/7', '3/5', '8'] -> (8 * (3/8 + (3/5 / (2/5 * 4/7))))
[59113] ['2/5', '4/7', '5/7', '7/8', '3'] -> (3 / (5/7 * (7/8 - (2/5 / 4/7))))
[59114] ['1/9', '1/7', '4/5', '7/3', '7'] -> ((7/3 + (1/7 * 7)) / (1/9 / 4/5))
[59115] ['4/7', '4/7', '5/7', '1', '8/7'] -> ((5/7 + 1) / (4/7 - (4/7 / 8/7)))
[59116] ['1/2', '8/9', '9/8', '9/7', '4'] -> ((1/2 / ((8/9 * 9/7) - 9/8)) - 4)
[59117] ['1/5', '1/3', '6/7', '7/4', '6'] -> (7/4 * ((6 / 1/3) - (6/7 / 1/5)))
[59118] ['1/9', '2/7', '7/4', '5/2', '5'] -> ((((5 / 1/9) - 5/2) / 7/4) - 2/7)
[59119] ['1/7', '2/9', '2/3', '9/2', '5'] -> (2/3 * ((2/9 * 9/2) + (5 / 1/7)))
[59120] ['1/5', '7/9', '8/3', '7/2', '4'] -> ((7/2 / (1/5 * 7/9)) + (4 / 8/3))
[59121] ['3/8', '2/5', '4/7', '5/8', '8'] -> ((2/5 + (8 / 4/7)) / (3/8 / 5/8))
[59122] ['1/4', '3/5', '5/8', '8/9', '5'] -> (((3/5 * 5/8) + (5 / 8/9)) / 1/4)
[59123] ['1/6', '2/7', '6/5', '7/3', '9'] -> ((9 / (2/7 + (1/6 / 7/3))) - 6/5)
[59124] ['1/9', '7/9', '7/8', '9/4', '3'] -> (3 / (1/9 * (9/4 - (7/8 / 7/9))))
[59125] ['1/5', '7/9', '8/3', '4', '9/2'] -> ((4 / 1/5) / ((7/9 * 9/2) - 8/3))
[59126] ['2/5', '4/9', '2/3', '8/7', '4'] -> (((4 / 2/5) - 2/3) / (4/9 / 8/7))
[59127] ['4/7', '4/7', '5/7', '1', '4/3'] -> ((4/7 + 4/7) / (1 - (5/7 * 4/3)))
[59128] ['2/7', '4/7', '9/7', '2', '7/2'] -> (((2 * (4/7 + 7/2)) - 9/7) / 2/7)
[59129] ['1/6', '2/7', '6/5', '8/3', '9'] -> ((6/5 / (1/6 / 2/7)) * (8/3 + 9))
[59130] ['1/5', '1/3', '6/7', '8/3', '6'] -> ((8/3 - 1/3) * (6 + (6/7 / 1/5)))
[59131] ['1/2', '8/9', '9/8', '7/4', '4'] -> (4 / ((7/4 / 9/8) - (1/2 + 8/9)))
[59132] ['2/5', '4/9', '2/3', '7/6', '4'] -> (2/3 / (((4/9 + 7/6) / 2/5) - 4))
[59133] ['2/5', '4/7', '5/7', '7/6', '3'] -> ((4/7 / 5/7) / ((2/5 * 3) - 7/6))
[59134] ['1/5', '2/5', '3/7', '3/5', '5'] -> ((2/5 - (3/5 / 3/7)) + (5 / 1/5))
[59135] ['4/7', '4/7', '5/7', '1', '3/2'] -> ((4/7 + 4/7) / (5/7 - (1 / 3/2)))
[59136] ['1/9', '2/7', '9/5', '9/5', '5'] -> ((1/9 * 9/5) + ((9/5 + 5) / 2/7))
[59137] ['1/5', '1/3', '6/7', '7/2', '6'] -> (7/2 * ((6/7 / (1/5 * 1/3)) - 6))
