[345736] ['1/5', '1/4', '5/9', '5/8', '8'] -> 8 / (5/9 * (1/5 + 1/4 / 5/8))
[345737] ['8/9', '8/9', '1', '3/2', '5/3'] -> 3/2 / (1 - 5/3 / (8/9 + 8/9))
[345738] ['1/9', '1/7', '3/4', '8/9', '8'] -> 8/9 / (1/9 / 1/7 - 3/4) - 8
[345739] ['3/5', '9/7', '7/4', '2', '7/3'] -> 2 / (9/7 * 7/3 - 7/4 / 3/5)
[345740] ['2/9', '5/9', '5/8', '8/7', '3'] -> 3 / (2/9 / 8/7 + 5/9 - 5/8)
[345741] ['5/8', '7/9', '6/7', '7/2', '7'] -> (7/2 + 7 / 6/7) / (5/8 * 7/9)
[345742] ['8/9', '8/9', '1', '3/2', '9/5'] -> 8/9 / (8/9 / 3/2 - 1 / 9/5)
[345743] ['1/5', '1/4', '5/9', '4/5', '8'] -> 5/9 * (4/5 / 1/4 + 8 / 1/5)
[345744] ['1/9', '1/7', '3/4', '7/6', '8'] -> 8 / (1/9 + 7/6 * 1/7 / 3/4)
[345745] ['2/9', '5/9', '5/8', '6/5', '3'] -> 5/9 / (5/8 / 3 - 2/9 / 6/5)
[345746] ['1/2', '4/5', '8/7', '5/4', '5'] -> 5 / (1/2 / (8/7 - 4/5) - 5/4)
[345747] ['5/8', '7/9', '7/8', '8/7', '7'] -> 7 / 7/9 / (7/8 * 8/7 - 5/8)
[345748] ['3/5', '9/7', '7/4', '2', '9/2'] -> 7/4 * (9/2 / (3/5 / 2) - 9/7)
[345749] ['5/8', '7/9', '7/8', '7/6', '7'] -> (7/6 + 5/8 + 7/8) / (7/9 / 7)
[345750] ['3/8', '5/8', '5/7', '8/9', '5'] -> 5 / (5/7 * (5/8 - 3/8 * 8/9))
[345751] ['5/8', '7/9', '7/8', '6/5', '7'] -> 7 / (7/8 - 6/5 * 5/8 * 7/9)
[345752] ['1/2', '4/5', '8/7', '7/5', '5'] -> (4/5 + 8/7 * 7/5) / (1/2 / 5)
[345753] ['2/9', '5/9', '5/8', '9/4', '3'] -> 3 / (9/4 * (5/9 - 2/9) - 5/8)
[345754] ['3/5', '9/7', '9/5', '2', '7/3'] -> (9/7 + 9/5) * 7/3 / (3/5 / 2)
[345755] ['5/8', '7/9', '7/8', '5/4', '7'] -> 7 / (7/9 * (7/8 - 5/8 / 5/4))
[345756] ['3/8', '5/8', '5/7', '7/6', '5'] -> 5 / (5/8 - 3/8) / (5/7 * 7/6)
[345757] ['3/5', '9/7', '9/5', '2', '8/3'] -> (2 + 8/3) / (3/5 / (9/7 + 9/5))
[345758] ['1/2', '4/5', '8/7', '8/5', '5'] -> 5 / (1/2 - 4/5 / (8/7 + 8/5))
[345759] ['1/5', '1/4', '5/9', '6/5', '8'] -> (6/5 + 8 * 1/4 / 5/9) / 1/5
[345760] ['8/9', '8/9', '1', '8/5', '8/3'] -> 8/3 / ((8/9 + 8/9) / 8/5 - 1)
[345761] ['5/8', '7/9', '7/8', '7/4', '7'] -> 7 * (5/8 / 7/9 + 7/8 + 7/4)
[345762] ['3/5', '9/7', '2', '9/4', '9/4'] -> 9/4 / (9/7 - 3/5 * 2) - 9/4
[345763] ['3/8', '5/8', '5/7', '3/2', '5'] -> 5 / (5/8 / 5/7 / 3/2 - 3/8)
[345764] ['8/9', '8/9', '1', '5/3', '5/3'] -> (1 + 5/3) / (8/9 + 8/9 - 5/3)
[345765] ['5/8', '7/9', '7/8', '9/2', '7'] -> 7 / (5/8 * 7/9 - 7/8 / 9/2)
[345766] ['1/2', '4/5', '7/6', '5/4', '5'] -> 5 * 1/2 * 4/5 / (5/4 - 7/6)
[345767] ['1/9', '1/7', '7/9', '7/9', '8'] -> 8 / (1/9 + 1/7 * (7/9 + 7/9))
[345768] ['5/8', '7/9', '8/9', '9/8', '7'] -> 7 / 7/9 / (8/9 * 9/8 - 5/8)
[345769] ['3/8', '5/8', '5/7', '9/4', '5'] -> (5/7 + 5) / (5/8 / (3/8 + 9/4))
[345770] ['2/9', '5/9', '2/3', '7/4', '3'] -> 3 / (7/4 / 2/3 - 5/9 / 2/9)
[345771] ['5/8', '7/9', '8/9', '6/5', '7'] -> 7 / 5/8 / (7/9 + 8/9 - 6/5)
[345772] ['2/9', '5/9', '2/3', '9/5', '3'] -> (5/9 + 3) / (2/3 / 9/5 - 2/9)
[345773] ['1/2', '4/5', '7/6', '5/3', '5'] -> 5 * (4/5 + 5/3 + 7/6 / 1/2)
[345774] ['3/5', '9/7', '2', '7/3', '8/3'] -> 8/3 / (3/5 * (2 - 7/3 / 9/7))
[345775] ['5/8', '7/9', '8/9', '5/4', '7'] -> 7 / (5/8 + 7/9 - 8/9 * 5/4)
[345776] ['2/9', '5/9', '2/3', '5/2', '3'] -> 3 * (5/2 + (5/9 + 2/3) / 2/9)
[345777] ['1/5', '1/4', '4/7', '4/7', '8'] -> 8 * (1/4 * 4/7 + 4/7 / 1/5)
[345778] ['3/8', '5/8', '5/7', '9/2', '5'] -> 9/2 * (5 / 5/7 - 5/8 / 3/8)
[345779] ['2/9', '5/9', '5/7', '5/7', '3'] -> (5/9 + 5/7) * 3 / (2/9 * 5/7)
[345780] ['1/9', '1/7', '7/9', '7/6', '8'] -> 8 / (7/6 * (1/7 + 1/9 / 7/9))
[345781] ['1/5', '1/4', '4/7', '5/8', '8'] -> (8 + 1/4 / 5/8) / (1/5 / 4/7)
[345782] ['5/8', '7/9', '8/9', '8/5', '7'] -> 7 * (8/5 + 8/9 / (5/8 * 7/9))
[345783] ['3/8', '5/8', '3/4', '4/5', '5'] -> 3/4 * 5 / (5/8 - 3/8 / 4/5)
[345784] ['2/9', '5/9', '5/7', '3/4', '3'] -> 2/9 * 3 / (5/9 / 5/7 - 3/4)
[345785] ['1/2', '4/5', '6/5', '7/5', '5'] -> 5 * (4/5 + 6/5 + 7/5 / 1/2)
[345786] ['3/5', '9/7', '2', '5/2', '7/2'] -> 5/2 * (3/5 + 7/2 * 9/7 * 2)
[345787] ['3/8', '5/8', '3/4', '7/8', '5'] -> 5 * 3/8 / 5/8 / (7/8 - 3/4)
[345788] ['5/8', '7/9', '8/9', '9/5', '7'] -> 9/5 * (8/9 + (7/9 + 7) / 5/8)
[345789] ['1/5', '1/4', '4/7', '4/5', '8'] -> (1/4 + 4/5) * 8 / (1/5 / 4/7)
[345790] ['1/9', '1/7', '7/9', '7/5', '8'] -> 8 / ((7/9 - 1/9) / 7/5 - 1/7)
[345791] ['1/2', '4/5', '6/5', '5/3', '5'] -> 5 * (4/5 + 5/3 / (1/2 / 6/5))
[345792] ['3/8', '5/8', '3/4', '7/6', '5'] -> 5 / (3/4 / 3/8 - (5/8 + 7/6))
[345793] ['1/9', '1/7', '7/9', '3/2', '8'] -> 8 / (3/2 * (1/9 + 1/7 * 7/9))
[345794] ['2/9', '5/9', '5/7', '8/9', '3'] -> 8/9 / (5/9 / 5/7 / 3 - 2/9)
[345795] ['8/9', '8/9', '1', '9/5', '8/3'] -> 8/9 / ((8/3 - 1) / 9/5 - 8/9)
[345796] ['1/5', '1/4', '4/7', '8/9', '8'] -> (1/5 + 4/7) * (8 / 1/4 - 8/9)
[345797] ['2/9', '5/9', '5/7', '9/8', '3'] -> 3 / (9/8 - (2/9 + 5/9 / 5/7))
[345798] ['3/5', '9/7', '2', '7/2', '7/2'] -> 9/7 * 2 * (7/2 + 7/2 / 3/5)
[345799] ['1/9', '1/7', '7/9', '9/5', '8'] -> 9/5 * (7/9 / 1/7 - (1/9 - 8))
[345800] ['1/9', '1/7', '7/9', '9/4', '8'] -> 8 / (1/7 * 9/4) - (1/9 + 7/9)
[345801] ['1/2', '4/5', '5/4', '9/5', '5'] -> 5 / (4/5 - 1/2) / (5/4 / 9/5)
[345802] ['5/8', '7/9', '9/8', '9/8', '7'] -> 7 / 7/9 / (9/8 / 9/8 - 5/8)
[345803] ['1/2', '4/5', '5/4', '9/4', '5'] -> 5 * (1/2 + 4/5 + 5/4 + 9/4)
[345804] ['3/8', '5/8', '3/4', '7/3', '5'] -> 5 / (5/8 * (7/3 - 3/4 / 3/8))
[345805] ['2/9', '5/9', '5/7', '6/5', '3'] -> (6/5 + 3) / (2/9 / (5/9 + 5/7))
[345806] ['1/5', '1/4', '4/7', '7/6', '8'] -> (8 - 4/7 / 1/5) / (1/4 / 7/6)
[345807] ['5/8', '7/9', '9/8', '8/7', '7'] -> 7 / (7/9 - 5/8 / 9/8 / 8/7)
[345808] ['3/8', '5/8', '7/9', '4/5', '5'] -> 5 / (5/8 * 4/5 - 3/8 * 7/9)
[345809] ['5/8', '7/9', '9/8', '5/4', '7'] -> 7 / (5/8 + 7/9 - 5/4 / 9/8)
[345810] ['2/9', '5/9', '5/7', '7/5', '3'] -> (5/9 + 5/7) * 3 / (2/9 / 7/5)
[345811] ['3/8', '5/8', '7/9', '7/8', '5'] -> 5 / (3/8 * 5/8) / (7/9 / 7/8)
[345812] ['5/8', '7/9', '9/8', '7/5', '7'] -> 7 / 5/8 / (7/5 / 9/8 - 7/9)
[345813] ['2/9', '5/9', '5/7', '8/5', '3'] -> 8/5 + (5/9 + 3) / (2/9 * 5/7)
