[78797] ['1/8', '2/9', '5/6', '8/7', '4'] -> (4 / ((5/6 / 8/7) - (1/8 / 2/9)))
[78798] ['1/7', '5/9', '4/5', '8/7', '5'] -> (8/7 / (5/9 * (4/5 - (1/7 * 5))))
[78799] ['1/5', '4/9', '9/7', '7/5', '8'] -> (8 / (4/9 - ((1/5 / 9/7) / 7/5)))
[78800] ['5/9', '8/7', '4/3', '9/5', '4'] -> (4 / ((4/3 / 8/7) - (5/9 * 9/5)))
[78801] ['2/7', '2/5', '2/5', '3/2', '5'] -> (((5 + (2/5 / 2/7)) * 3/2) / 2/5)
[78802] ['1/9', '3/7', '3/7', '4/7', '7'] -> (((3/7 / 1/9) - (4/7 - 7)) / 3/7)
[78803] ['1/8', '1/7', '1/5', '3/2', '4'] -> ((3/2 / (1/5 * (1/8 + 1/7))) - 4)
[78804] ['1/9', '5/7', '7/9', '9/2', '5'] -> (9/2 * (((5 * 7/9) / 5/7) - 1/9))
[78805] ['3/7', '3/7', '8/3', '3', '7/2'] -> ((8/3 * 3) * (7/2 * (3/7 + 3/7)))
[78806] ['2/7', '2/5', '2/5', '8/5', '5'] -> (5 * ((8/5 / 2/7) - (2/5 + 2/5)))
[78807] ['4/7', '1', '7/4', '9/4', '7/3'] -> ((1 + (4/7 * 7/4)) / (7/3 - 9/4))
[78808] ['5/9', '8/7', '4/3', '9/4', '4'] -> ((4/3 / (5/9 - (8/7 / 9/4))) - 4)
[78809] ['1/6', '8/9', '8/7', '9/7', '9'] -> (8/7 / ((9 * (1/6 * 8/9)) - 9/7))
[78810] ['1/7', '5/9', '4/5', '6/5', '5'] -> ((4/5 / (1/7 - (5/9 / 5))) - 6/5)
[78811] ['1/5', '5/6', '8/7', '3/2', '5'] -> ((8/7 / (1/5 * 5/6)) * (5 - 3/2))
[78812] ['5/9', '8/7', '4/3', '7/3', '4'] -> ((4/3 + (7/3 * (8/7 + 4))) / 5/9)
[78813] ['1/8', '2/7', '3/5', '6/5', '3'] -> (3 + ((6/5 + (3/5 / 1/8)) / 2/7))
[78814] ['1/8', '1/7', '1/5', '7/4', '4'] -> (((1/7 / 1/5) + (4 / 7/4)) / 1/8)
[78815] ['1/8', '2/9', '5/6', '8/5', '4'] -> (4 / (1/8 * (8/5 - (2/9 / 5/6))))
[78816] ['2/7', '2/5', '2/5', '7/4', '5'] -> (((5 / (2/7 * 7/4)) - 2/5) / 2/5)
[78817] ['1/3', '1/3', '7/9', '7/6', '2'] -> ((2 + (7/9 / 7/6)) / (1/3 * 1/3))
[78818] ['1/6', '8/9', '8/7', '4/3', '9'] -> (8/9 / (1/6 - (4/3 / (8/7 * 9))))
[78819] ['1/8', '2/7', '3/5', '5/4', '3'] -> (3 + ((3/5 * 5/4) / (1/8 * 2/7)))
[78820] ['1/5', '5/6', '8/7', '8/5', '5'] -> ((5/6 + 5) * ((8/7 / 1/5) - 8/5))
[78821] ['1/9', '3/7', '3/7', '4/5', '7'] -> ((3/7 + (3/7 / 1/9)) * (4/5 * 7))
[78822] ['1/5', '4/9', '9/7', '9/5', '8'] -> ((9/5 * 8) / (4/9 + (1/5 / 9/7)))
[78823] ['1/6', '8/9', '8/7', '7/5', '9'] -> (9 * ((8/9 / (1/6 * 7/5)) - 8/7))
[78824] ['2/5', '3/2', '7/2', '7/2', '4'] -> ((3/2 * 7/2) + ((7/2 + 4) / 2/5))
[78825] ['4/7', '1', '7/4', '9/4', '9/2'] -> (9/2 / ((1 + 9/4) - (7/4 / 4/7)))
[78826] ['1/9', '5/7', '4/5', '8/9', '5'] -> (((8/9 * 5/7) / 1/9) * (5 - 4/5))
[78827] ['1/7', '5/9', '4/5', '4/3', '5'] -> (((4/5 * 5) + (4/3 / 1/7)) / 5/9)
[78828] ['1/5', '5/6', '8/7', '7/4', '5'] -> ((8/7 + (5 / 7/4)) / (1/5 * 5/6))
[78829] ['1/9', '3/7', '3/7', '5/6', '7'] -> ((3/7 + 7) / (3/7 * (5/6 - 1/9)))
[78830] ['5/9', '8/7', '4/3', '4', '9/2'] -> (((9/2 - (4/3 / 8/7)) * 4) / 5/9)
[78831] ['1/9', '7/9', '7/9', '7/9', '6'] -> (6 + ((7/9 + 7/9) / (1/9 * 7/9)))
[78832] ['1/9', '5/7', '4/5', '9/8', '5'] -> ((5 - 4/5) / (9/8 * (1/9 / 5/7)))
[78833] ['1/5', '4/9', '9/7', '7/3', '8'] -> (8 / (9/7 - (4/9 / (1/5 * 7/3))))
[78834] ['1/5', '5/6', '8/7', '9/5', '5'] -> ((((5 / 5/6) - 9/5) * 8/7) / 1/5)
[78835] ['1/8', '2/9', '6/7', '7/8', '4'] -> (((7/8 * 6/7) / 1/8) + (4 / 2/9))
[78836] ['1/3', '1/3', '7/9', '3/2', '2'] -> ((1/3 + 1/3) / (7/9 - (3/2 / 2)))
[78837] ['1/9', '3/7', '3/7', '7/8', '7'] -> (7/8 * (3/7 + ((7 * 3/7) / 1/9)))
[78838] ['2/5', '8/5', '8/5', '9/4', '4'] -> (8/5 * ((4 * (8/5 + 9/4)) - 2/5))
[78839] ['1/9', '7/9', '7/9', '5/6', '6'] -> ((6 + ((7/9 + 7/9) / 1/9)) / 5/6)
[78840] ['1/5', '5/6', '8/7', '9/4', '5'] -> ((5 / (8/7 * (1/5 * 5/6))) - 9/4)
[78841] ['1/9', '5/7', '4/5', '8/7', '5'] -> ((8/7 / (1/9 * 5)) / (4/5 - 5/7))
[78842] ['1/5', '4/9', '9/7', '5/2', '8'] -> (8 / ((1/5 / 9/7) + (4/9 / 5/2)))
[78843] ['4/7', '1', '7/4', '7/3', '7/2'] -> ((1 / 7/2) / (7/3 - (4/7 + 7/4)))
[78844] ['2/5', '8/5', '5/3', '5/3', '4'] -> (8/5 * (((4 * 5/3) / 2/5) - 5/3))
[78845] ['5/9', '8/7', '7/5', '8/5', '4'] -> (8/5 * ((4 / (7/5 - 8/7)) - 5/9))
[78846] ['1/3', '1/3', '7/9', '7/4', '2'] -> (2 / (7/9 - (1/3 * (1/3 + 7/4))))
[78847] ['1/8', '2/9', '6/7', '9/8', '4'] -> (4 / ((9/8 * (2/9 / 6/7)) - 1/8))
