[98496] ['4/7', '3/4', '4/3', '9/4', '5'] -> ((4/3 * 9/4) * ((5 / 4/7) - 3/4))
[98497] ['5/8', '3/4', '8/7', '5/4', '3'] -> (3 / ((5/8 * 5/4) - (3/4 / 8/7)))
[98498] ['2/9', '2/9', '9/7', '4/3', '8'] -> ((9/7 * 8) * (4/3 + (2/9 / 2/9)))
[98499] ['1/2', '8/7', '5/3', '7/4', '9'] -> (9 * (5/3 + (7/4 * (1/2 * 8/7))))
[98500] ['1/8', '2/3', '3/2', '8/5', '4'] -> (4 / ((1/8 * 8/5) * 3/2) - 2/3))
[98501] ['1/8', '2/9', '7/2', '7/2', '6'] -> (6 / (2/9 * (1/8 + (7/2 / 7/2))))
[98502] ['2/9', '5/7', '3/4', '7/9', '4'] -> (((2/9 + 7/9) / (3/4 - 5/7)) - 4)
[98503] ['1/5', '3/7', '7/3', '5/2', '9'] -> ((3/7 * 7/3) + (5/2 * (1/5 + 9)))
[98504] ['5/8', '2/3', '7/9', '6/7', '1'] -> (1 / (7/9 * (5/8 - (2/3 * 6/7))))
[98505] ['1/5', '3/5', '2/3', '7/9', '7'] -> (2/3 + (((7/9 + 7) * 3/5) / 1/5))
[98506] ['1/8', '6/7', '9/8', '7/4', '3'] -> (3 + ((9/8 + (6/7 * 7/4)) / 1/8))
[98507] ['1/9', '6/7', '6/7', '3/2', '7'] -> (3/2 * (7 + (6/7 / (1/9 * 6/7))))
[98508] ['1/3', '4/5', '8/7', '2', '9/2'] -> (((9/2 + (2 / 4/5)) * 8/7) / 1/3)
[98509] ['2/7', '3/8', '9/7', '9/2', '7'] -> (9/2 / (7 * (3/8 / 2/7)) - 9/7))
[98510] ['1/8', '1/4', '1/4', '3/7', '6'] -> (((6 + (1/4 / 1/4)) * 3/7) / 1/8)
[98511] ['1/2', '8/7', '5/3', '5/2', '9'] -> (((9 + (5/2 / 5/3)) * 8/7) / 1/2)
[98512] ['1/5', '3/7', '7/3', '8/3', '9'] -> (3/7 * (((8/3 + 9) / 1/5) - 7/3))
[98513] ['5/8', '2/3', '7/9', '1', '8/7'] -> (1 / ((5/8 / 7/9) - (2/3 * 8/7)))
[98514] ['4/7', '3/4', '4/3', '7/2', '5'] -> ((7/2 * (4/7 + (5 / 3/4))) - 4/3)
[98515] ['5/8', '3/4', '8/7', '4/3', '3'] -> (((3 / (4/3 - 8/7)) - 3/4) / 5/8)
[98516] ['2/7', '3/8', '4/3', '7/5', '7'] -> (7 / ((4/3 / 7/5) - (2/7 + 3/8)))
[98517] ['1/5', '3/5', '2/3', '6/7', '7'] -> ((((6/7 / 2/3) - 3/5) * 7) / 1/5)
[98518] ['1/8', '6/7', '9/8', '5/2', '3'] -> (3 * ((9/8 / (1/8 * 6/7)) - 5/2))
[98519] ['4/7', '9/7', '9/7', '8/3', '4'] -> ((4/7 * 4) / (8/3 - (9/7 + 9/7)))
[98520] ['2/9', '5/7', '3/4', '7/8', '4'] -> (((4 / 2/9) - (3/4 / 7/8)) / 5/7)
[98521] ['1/8', '1/4', '1/4', '3/5', '6'] -> (((6 - (1/4 / 1/4)) * 3/5) / 1/8)
[98522] ['1/9', '6/7', '6/7', '7/4', '7'] -> (7/4 * ((6/7 / 1/9) + (6/7 * 7)))
[98523] ['1/8', '2/3', '8/5', '7/2', '4'] -> (4 / (7/2 - (2/3 / (1/8 * 8/5))))
[98524] ['1/5', '3/7', '5/2', '5/2', '9'] -> ((5/2 + (1/5 * 5/2)) + (9 / 3/7))
[98525] ['1/5', '3/5', '2/3', '7/6', '7'] -> ((1/5 + 7) / (3/5 * (7/6 - 2/3)))
[98526] ['5/8', '2/3', '7/9', '1', '4/3'] -> ((2/3 + 1) / ((5/8 + 7/9) - 4/3))
[98527] ['5/8', '3/4', '8/7', '8/5', '3'] -> (3 / ((8/5 * (5/8 / 8/7)) - 3/4))
[98528] ['1/9', '6/7', '6/7', '9/4', '7'] -> ((7 - (6/7 / 6/7)) / (1/9 * 9/4))
[98529] ['4/7', '3/4', '7/5', '3/2', '5'] -> ((3/4 + (7/5 / 4/7)) * (3/2 * 5))
[98530] ['1/5', '3/7', '5/2', '7/2', '9'] -> ((7/2 - (1/5 * 5/2)) + (9 / 3/7))
