[157593] ['2/7', '5/8', '4/5', '3/2', '4'] -> (((3/2 + (4 / 2/7)) / 5/8) - 4/5)
[157594] ['4/5', '7/8', '7/3', '8/3', '3'] -> (3 / ((8/3 / 4/5) - (7/8 + 7/3)))
[157595] ['2/5', '7/9', '7/8', '7/5', '2'] -> (7/5 / (7/9 * (7/8 - (2/5 * 2))))
[157596] ['2/9', '4/3', '7/5', '8/5', '9'] -> ((8/5 / 2/9) + (9 * (4/3 * 7/5)))
[157597] ['2/5', '5/8', '1', '8/7', '5/3'] -> (1 / (5/8 - (5/3 * (2/5 / 8/7))))
[157598] ['1/7', '1/6', '2/3', '9/4', '7'] -> ((2/3 + (1/7 / 1/6)) * (9/4 * 7))
[157599] ['1/6', '2/7', '3/4', '5/6', '3'] -> (3 / (((5/6 - 3/4) / 2/7) - 1/6))
[157600] ['1/4', '1/4', '7/9', '7/4', '7'] -> ((7 / (1/4 * 7/9)) / (7/4 - 1/4))
[157601] ['5/8', '5/6', '7/5', '7/4', '9'] -> (9 * (5/8 + (7/4 * (5/6 * 7/5))))
[157602] ['5/9', '4/5', '7/6', '5/3', '6'] -> (6 / ((7/6 / (5/3 - 5/9)) - 4/5))
[157603] ['3/8', '3/7', '3/7', '3/4', '7'] -> ((3/7 * 7) / ((3/8 / 3/7) - 3/4))
[157604] ['5/9', '4/7', '5/7', '9/2', '8'] -> ((8 + (9/2 * (5/9 + 5/7))) / 4/7)
[157605] ['4/5', '7/8', '5/2', '5/2', '3'] -> ((5/2 * 3) * (5/2 + (4/5 * 7/8)))
[157606] ['2/7', '4/9', '5/8', '7/6', '6'] -> ((7/6 / (4/9 * 5/8)) * (6 - 2/7))
[157607] ['5/9', '3/4', '7/8', '9/4', '3'] -> (3 / (3/4 * (5/9 - (7/8 / 9/4))))
[157608] ['4/5', '7/8', '5/2', '8/3', '3'] -> (3 / (7/8 - ((4/5 * 5/2) / 8/3)))
[157609] ['2/7', '5/8', '4/5', '7/3', '4'] -> (4 / ((2/7 * 7/3) - (5/8 * 4/5)))
[157610] ['3/8', '3/7', '3/7', '7/8', '7'] -> (((3/7 / 3/7) + (7 / 7/8)) / 3/8)
