[36] ['(9-8i)', '(9-6i)', '(9+4i)', '(9+6i)'] -> (((9-8i) * (9+6i)) - ((9-6i) * (9+4i)))
[46] ['(9-8i)', '(9-5i)', '9', '(9+3i)'] -> (((9-8i) * (9+3i)) - ((9-5i) * 9))
[56] ['(9-8i)', '(9-4i)', '(9-2i)', '(9+2i)'] -> (((9-8i) * (9+2i)) - ((9-4i) * (9-2i)))
[58] ['(9-9i)', '(9-7i)', '(9+3i)', '(9+5i)'] -> (((9-8i) - 9) * ((9-i) - (9-4i)))
[72] ['(9-9i)', '(9-6i)', '(9-i)', '(9+2i)'] -> (((9-9i) * (9+2i)) - ((9-6i) * (9-i)))
[76] ['(9-9i)', '(9-5i)', '(9-3i)', '(9+i)'] -> ((4-5i) - ((4+i) * ((4-5i) - (9-5i))))
[97] ['(9-9i)', '(9-3i)', '(9-3i)', '(9+7i)'] -> ((9-3i) + ((9+7i) * ((9-9i) / (9-3i))))
[137] ['(9-9i)', '9', '(9+3i)', '(9+6i)'] -> ((9+3i) + ((9+6i) * ((9-9i) / 9)))
[133] ['(9-7i)', '(9-5i)', '(9+5i)', '(9+7i)'] -> (((9-7i) * (9+7i)) - ((9-5i) * (9+5i)))
[141] ['(9-7i)', '(9-4i)', '(9+i)', '(9+4i)'] -> (((9-7i) * (9+4i)) - ((9-4i) * (9+i)))
[143] ['(9-7i)', '(9-3i)', '(9-i)', '(9+3i)'] -> (((9-7i) * (9+3i)) - ((9-3i) * (9-i)))
[181] ['(9-5i)', '(9-i)', '(9+i)', '(9+5i)'] -> (((9-5i) * (9+5i)) - ((9-i) * (9+i)))
[205] ['(9-6i)', '(9-3i)', '(9+2i)', '(9+5i)'] -> (((9-6i) * (9+5i)) - ((9-3i) * (9+2i)))
[209] ['(9-6i)', '(9-2i)', '9', '(9+4i)'] -> (((9-6i) * (9+4i)) - ((9-2i) * 9))
[3] ['(8-4i)', '(8-4i)', '8', '(9-8i)'] -> ((8 * (9-8i)) - ((8-4i) * (8-4i)))
[6] ['(8-4i)', '(8-4i)', '(8+i)', '(9+6i)'] -> ((((8-4i) + (8-4i)) * (9+6i)) / (8+i))
[32] ['(8-4i)', '(8-4i)', '(9+3i)', '(9+9i)'] -> ((4 * (9-4i)) - ((4-2i) * (4-2i)))
