[193082] ['-4i', '(3-i)', '(4-4i)', '6'] -> (6 * ((3-i) + ((4-4i) / -4i)))
[193083] ['-4i', '(3-i)', '(4-4i)', '(6+2i)'] -> (((3-i) * (6+2i)) - (-4i - (4-4i)))
[193088] ['-4i', '(3-i)', '(4-4i)', '(7+i)'] -> (((1-4i) + (5+2i)) + ((9+i) + (9+i)))
[193090] ['-4i', '(3-i)', '(4-4i)', '(7+2i)'] -> (((3-i) * (7+2i)) + ((4-4i) / -4i))
[193092] ['-4i', '(3-i)', '(4-4i)', '(8-6i)'] -> ((4-4i) * (((8-6i) / (3-i)) - -4i))
[193108] ['-4i', '(3-i)', '(4-3i)', '(7+2i)'] -> (-4i * ((7+2i) - ((3-i) + (4-3i))))
[193111] ['-4i', '(3-i)', '(4-3i)', '(9-7i)'] -> (-4i * ((9-7i) - ((3-i) * (4-3i))))
[193119] ['-4i', '(3-i)', '(4-2i)', '(6+6i)'] -> ((-4i * (6+6i)) / ((4-2i) - (3-i)))
[193121] ['-4i', '(3-i)', '(4-2i)', '(7-9i)'] -> (-4i * (((3-i) + (4-2i)) - (7-9i)))
[193123] ['-4i', '(3-i)', '(4-2i)', '(7+3i)'] -> (-4i * ((7+3i) - ((3-i) + (4-2i))))
[193130] ['-4i', '(3-i)', '(4-2i)', '(8+8i)'] -> ((-4i * (4-2i)) + ((3-i) * (8+8i)))
[193131] ['-4i', '(3-i)', '(4-2i)', '(9+i)'] -> (((3-i) * (9+i)) - (-4i + (4-2i)))
[193133] ['-4i', '(3-i)', '(4-i)', '(7-8i)'] -> ((4+5i) - ((2-9i) * ((2+4i) - (3+6i))))
[193136] ['-4i', '(3-i)', '(4-i)', '(7+4i)'] -> (((1-7i) + (5+9i)) + ((9-9i) + (9+7i)))
[193151] ['-4i', '(3-i)', '4', '(5-3i)'] -> ((6-3i) / (-i + ((2+7i) / 8)))
[193155] ['-4i', '(3-i)', '4', '(6-6i)'] -> (((2-2i) * (5+3i)) + ((3-4i) + (5+8i)))
[193159] ['-4i', '(3-i)', '4', '(6+2i)'] -> ((-4i + 4) * ((6+2i) - (3-i)))
[193160] ['-4i', '(3-i)', '4', '(6+6i)'] -> (4 + ((3-i) * (-4i + (6+6i))))
[193163] ['-4i', '(3-i)', '4', '(7-7i)'] -> (-4i * (((3-i) + 4) - (7-7i)))
[193166] ['-4i', '(3-i)', '4', '(7+3i)'] -> ((-4i * (3-i)) + (4 * (7+3i)))
[193167] ['-4i', '(3-i)', '4', '(7+5i)'] -> (((5-5i) - (8-2i)) * ((5+2i) - (9-2i)))
[193172] ['-4i', '(3-i)', '4', '(8+4i)'] -> ((-4i - 4) + ((3-i) * (8+4i)))
[193173] ['-4i', '(3-i)', '4', '(9-5i)'] -> (4 * ((9-5i) - (-4i + (3-i))))
