[249245] ['(2-2i)', '(5+5i)', '(6-2i)', '(8+4i)'] -> ((2-2i) * ((5+5i) + ((8+4i) / (6-2i))))
[249251] ['(2-2i)', '(5+5i)', '(6-2i)', '(9+6i)'] -> (((6-2i) * ((9+6i) - (5+5i))) - (2-2i))
[249254] ['(2-2i)', '(5+5i)', '(6-i)', '7'] -> ((2-2i) * (7 + ((5+5i) - (6-i))))
[249255] ['(2-2i)', '(5+5i)', '(6-i)', '(7+5i)'] -> ((2-2i) * ((5+5i) + ((7+5i) / (6-i))))
[249261] ['(2-2i)', '(5+5i)', '(6-i)', '(9+9i)'] -> (((2-2i) * (6-i)) + ((5+5i) + (9+9i)))
[249263] ['(2-2i)', '(5+5i)', '6', '(7+i)'] -> ((2-2i) * ((7+i) + ((5+5i) - 6)))
[249271] ['(2-2i)', '(5+5i)', '(6+i)', '(7+2i)'] -> ((2-2i) * ((7+2i) + ((5+5i) - (6+i))))
[249286] ['(2-2i)', '(5+5i)', '(6+2i)', '(7+3i)'] -> ((2-2i) * ((7+3i) + ((5+5i) - (6+2i))))
[249291] ['(2-2i)', '(5+5i)', '(6+2i)', '(8+5i)'] -> (((2-2i) + (6+2i)) * ((8+5i) - (5+5i)))
[249300] ['(2-2i)', '(5+5i)', '(6+3i)', '(7+4i)'] -> ((2-2i) * ((7+4i) + ((5+5i) - (6+3i))))
[249310] ['(2-2i)', '(5+5i)', '(6+4i)', '(7+5i)'] -> (8 * ((4+i) + ((1-3i) - (2-2i))))
[249313] ['(2-2i)', '(5+5i)', '(6+4i)', '(9+9i)'] -> (((2-2i) * (6+4i)) - ((5+5i) - (9+9i)))
[249318] ['(2-2i)', '(5+5i)', '(6+5i)', '(7+6i)'] -> ((2-2i) * ((7+6i) + ((5+5i) - (6+5i))))
[249320] ['(2-2i)', '(5+5i)', '(6+5i)', '(7+7i)'] -> ((6-3i) * ((4+2i) - ((2-2i) / (1-3i))))
[249326] ['(2-2i)', '(5+5i)', '(6+6i)', '(7+7i)'] -> ((2-2i) * ((7+7i) + ((5+5i) - (6+6i))))
[249329] ['(2-2i)', '(5+5i)', '(6+6i)', '(9+i)'] -> ((6+6i) * ((9+i) - ((2-2i) + (5+5i))))
[249330] ['(2-2i)', '(5+5i)', '(6+7i)', '(7+7i)'] -> (((2-2i) * (6+7i)) + ((5+5i) - (7+7i)))
[249331] ['(2-2i)', '(5+5i)', '(6+7i)', '(7+8i)'] -> ((2-2i) * ((7+8i) + ((5+5i) - (6+7i))))
[249334] ['(2-2i)', '(5+5i)', '(6+7i)', '8'] -> (8 * ((6+7i) + ((2-2i) - (5+5i))))
[249341] ['(2-2i)', '(5+5i)', '(6+8i)', '(7+i)'] -> ((2-2i) * ((5+5i) + ((6+8i) / (7+i))))
[249343] ['(2-2i)', '(5+5i)', '(6+8i)', '(7+9i)'] -> ((2-2i) * ((7+9i) + ((5+5i) - (6+8i))))
[249350] ['(2-2i)', '(5+5i)', '(6+8i)', '(9+9i)'] -> (((2-2i) * (6+8i)) + ((5+5i) - (9+9i)))
[249365] ['(2-2i)', '(5+5i)', '(7-9i)', '(8-8i)'] -> ((2-2i) * ((8-8i) + ((5+5i) - (7-9i))))
[249381] ['(2-2i)', '(5+5i)', '(7-8i)', '(8-7i)'] -> ((2-2i) * ((8-7i) + ((5+5i) - (7-8i))))
