[215031] ['-i', '(3-i)', '(4-8i)', '(6-6i)'] -> (-4i - 4-8i) * (6+6i - 9+9i)
[215034] ['-i', '(3-i)', '(4-8i)', '(6+5i)'] -> (6+5i - -i) * 4-8i / 3-i
[215036] ['-i', '(3-i)', '(4-8i)', '(6+7i)'] -> (-i + 6+7i) * 4-8i / 3-i
[215039] ['-i', '(3-i)', '(4-8i)', '(7+9i)'] -> 4-8i * (-i + 7+9i / 3-i)
[215046] ['-i', '(3-i)', '(4-7i)', '(4+7i)'] -> (3-i - -i) * (4-7i + 4+7i)
[215053] ['-i', '(3-i)', '(4-7i)', '(6+6i)'] -> (-i + 4-7i) * 6+6i / 3-i
[215064] ['-i', '(3-i)', '(4-7i)', '(9+i)'] -> -i - 4-7i + 3-i * 9+i
[215069] ['-i', '(3-i)', '(4-6i)', '(4+6i)'] -> (3-i - -i) * (4-6i + 4+6i)
[215098] ['-i', '(3-i)', '(4-6i)', '9'] -> 3-i * (9 - -i) - 4-6i
[215100] ['-i', '(3-i)', '(4-6i)', '(9+2i)'] -> 3-i * (-i + 9+2i) - 4-6i
[215106] ['-i', '(3-i)', '(4-5i)', '(4+5i)'] -> 3-2i * 5+4i - (7-5i - 8-7i)
[215131] ['-i', '(3-i)', '(4-5i)', '(9+i)'] -> 3-i * 9+i - (-i + 4-5i)
[215142] ['-i', '(3-i)', '(4-4i)', '(6+i)'] -> 3-5i * 4+4i - (4-6i + 4-2i)
[215144] ['-i', '(3-i)', '(4-4i)', '(6+3i)'] -> 4-4i * (6+3i + -i - 3-i)
[215156] ['-i', '(3-i)', '(4-4i)', '(9+9i)'] -> 3-2i + 5+4i + 7-2i + 9
[215158] ['-i', '(3-i)', '(4-3i)', '(4+3i)'] -> -7i - 3+4i * (2+2i - 6-i)
[215168] ['-i', '(3-i)', '(4-3i)', '(6+2i)'] -> (-i + 4-3i) * (6+2i - 3-i)
[215185] ['-i', '(3-i)', '(4-3i)', '(8+8i)'] -> 8+8i * (-i + 4-3i / 3-i)
[215192] ['-i', '(3-i)', '(4-2i)', '(4+2i)'] -> (3-i - -i) * (4-2i + 4+2i)
[215225] ['-i', '(3-i)', '(4-i)', '(4+i)'] -> (3-i - -i) * (4-i + 4+i)
[215235] ['-i', '(3-i)', '(4-i)', '(6+2i)'] -> 3-i * 6+2i - (-i - 4-i)
[215243] ['-i', '(3-i)', '4', '4'] -> (3-i - -i) * (4 + 4)
[215255] ['-i', '(3-i)', '4', '(6+3i)'] -> 4 + 3-i * (-i + 6+3i)
[215266] ['-i', '(3-i)', '4', '(9-2i)'] -> 4 * (9-2i - (-i + 3-i))
[215267] ['-i', '(3-i)', '4', '9'] -> 4 * (9 + -i - 3-i)
[215276] ['-i', '(3-i)', '(4+i)', '5'] -> 3-i + 4+i * (-i + 5)
[215280] ['-i', '(3-i)', '(4+i)', '(6+2i)'] -> -i + 4+i + 3-i * 6+2i
[215290] ['-i', '(3-i)', '(4+i)', '(9-i)'] -> 8-4i - 1-4i * (8-8i - 8-4i)
[215298] ['-i', '(3-i)', '(4+2i)', '(5-i)'] -> 6 * (9+6i - (2-2i + 3+8i))
[215318] ['-i', '(3-i)', '(4+2i)', '(8+2i)'] -> 8+2i + 4+2i * (-i + 3-i)
[215332] ['-i', '(3-i)', '(4+3i)', '(6-i)'] -> 3-2i + 5+4i + 8-4i + 8+2i
[215336] ['-i', '(3-i)', '(4+3i)', '(6+5i)'] -> 1-4i * (8 - 8-8i) - 8+8i
[215349] ['-i', '(3-i)', '(4+3i)', '(8+4i)'] -> 3-2i * 5+4i - (8-3i - 9-5i)
[215355] ['-i', '(3-i)', '(4+3i)', '(9-6i)'] -> 3-i * 4+3i - (-i - 9-6i)
[215356] ['-i', '(3-i)', '(4+3i)', '(9-4i)'] -> -i + 9-4i + 3-i * 4+3i
[215362] ['-i', '(3-i)', '(4+4i)', '(4+6i)'] -> 4+4i * (-i * 4+6i - 3-i)
[215370] ['-i', '(3-i)', '(4+4i)', '(6-5i)'] -> 3-2i * 5+4i - (8-i - 9-3i)
[215373] ['-i', '(3-i)', '(4+4i)', '(6-3i)'] -> 4+4i * (6-3i + -i - 3-i)
[215376] ['-i', '(3-i)', '(4+4i)', '(7-9i)'] -> 4+4i * (-i + 7-9i / 3-i)
[215384] ['-i', '(3-i)', '(4+4i)', '(8-9i)'] -> 2-2i * 3+8i - (6+4i - 8-6i)
[215386] ['-i', '(3-i)', '(4+4i)', '(8-7i)'] -> -i + 8-7i + 3-i * 4+4i
[215388] ['-i', '(3-i)', '(4+4i)', '(8+3i)'] -> 3-i * (8+3i - -i) - 4+4i
[215390] ['-i', '(3-i)', '(4+4i)', '(8+5i)'] -> 9-3i - 1-5i * (1-6i - 1-3i)
[215393] ['-i', '(3-i)', '(4+4i)', '(9-9i)'] -> 4+4i * 9-9i / (3-i - -i)
[215395] ['-i', '(3-i)', '(4+4i)', '(9-5i)'] -> 9-5i + 3-i * (-i + 4+4i)
[215414] ['-i', '(3-i)', '(4+5i)', '(6-4i)'] -> (-i + 4+5i) * (6-4i - 3-i)
[215423] ['-i', '(3-i)', '(4+5i)', '(8-8i)'] -> 8-8i + 3-i * (-i + 4+5i)
[215425] ['-i', '(3-i)', '(4+5i)', '(8+4i)'] -> 6+6i * (7+4i - (2-2i + 3+8i))
[215508] ['-i', '(3-i)', '(4+9i)', '(6+i)'] -> 4+9i + 6+i * (-i + 3-i)
[215511] ['-i', '(3-i)', '(4+9i)', '(7-i)'] -> 3-i * 7-i - (-i - 4+9i)
[215543] ['-i', '(3-i)', '(5-9i)', '(8+4i)'] -> 8+4i * (5-9i / 3-i - -i)
[215544] ['-i', '(3-i)', '(5-9i)', '(8+6i)'] -> 5-9i * 3-i / -i - 8+6i
[215550] ['-i', '(3-i)', '(5-8i)', '(5+4i)'] -> 3-i * 5+4i - (-i - 5-8i)
[215551] ['-i', '(3-i)', '(5-8i)', '(5+7i)'] -> 5-8i * 3-i / -i - 5+7i
[215562] ['-i', '(3-i)', '(5-7i)', '(5+5i)'] -> 5-7i + 3-i * (-i + 5+5i)
[215576] ['-i', '(3-i)', '(5-6i)', '(5+4i)'] -> -i + 5-6i + 3-i * 5+4i
[215603] ['-i', '(3-i)', '(5-5i)', '(6+6i)'] -> 6+6i * (-i + 5-5i / 3-i)
[215625] ['-i', '(3-i)', '(5-4i)', '(6+6i)'] -> 6+6i * (5-4i - (-i + 3-i))
[215641] ['-i', '(3-i)', '(5-4i)', '(9+2i)'] -> 1-6i - 3-6i + 1-5i * 1+5i
[215654] ['-i', '(3-i)', '(5-3i)', '(6+7i)'] -> (-i + 6+7i) * (5-3i - 3-i)
[215661] ['-i', '(3-i)', '(5-3i)', '(9+i)'] -> 3-i * (9+i - -i) - 5-3i
[215662] ['-i', '(3-i)', '(5-3i)', '(9+3i)'] -> 1-4i * (8+2i - 8-6i) - 8+8i
[215669] ['-i', '(3-i)', '(5-2i)', '(6+6i)'] -> 6+6i * (5-2i + -i - 3-i)
[215672] ['-i', '(3-i)', '(5-2i)', '(7+4i)'] -> 7+4i * (-i + 3-i) - 5-2i
[215678] ['-i', '(3-i)', '(5-2i)', '(9+2i)'] -> 2-4i - 4+3i * (5+9i - 9+7i)
[215699] ['-i', '(3-i)', '5', '(6-6i)'] -> 6-6i * (5 - (-i + 3-i))
[215707] ['-i', '(3-i)', '5', '(8-8i)'] -> 8-8i * (5 / 3-i - -i)
[215716] ['-i', '(3-i)', '5', '(9+4i)'] -> 3-i * 5 - (-i - 9+4i)
[215718] ['-i', '(3-i)', '5', '(9+6i)'] -> 4-i * (7-4i - -4i) - 4-7i
[215723] ['-i', '(3-i)', '(5+i)', '(6-5i)'] -> (-i + 6-5i) * (5+i - 3-i)
[215728] ['-i', '(3-i)', '(5+i)', '(7+7i)'] -> 7+7i + 5+i * (-i + 3-i)
[215732] ['-i', '(3-i)', '(5+i)', '(8+3i)'] -> (1-9i - 4-6i) * (3+4i - 7)
[215735] ['-i', '(3-i)', '(5+i)', '(9+5i)'] -> 9+5i + 3-i * (-i + 5+i)
[215737] ['-i', '(3-i)', '(5+2i)', '(5+4i)'] -> 5+4i + 5+2i * (-i + 3-i)
[215739] ['-i', '(3-i)', '(5+2i)', '(6-6i)'] -> 6+2i * (3-2i + 5+5i / 7-i)
[215742] ['-i', '(3-i)', '(5+2i)', '(6+i)'] -> 3-i * 6+i - (-i - 5+2i)
[215749] ['-i', '(3-i)', '(5+2i)', '(7-2i)'] -> 3-i * 5+2i - (-i - 7-2i)
[215750] ['-i', '(3-i)', '(5+2i)', '7'] -> 6+2i * (-7i + 4+6i) - 2+2i
[215759] ['-i', '(3-i)', '(5+2i)', '(8+2i)'] -> 8+2i + 3-i * (-i + 5+2i)
[215765] ['-i', '(3-i)', '(5+3i)', '(6-5i)'] -> 3-i * 5+3i - (-i - 6-5i)
[215766] ['-i', '(3-i)', '(5+3i)', '(6-3i)'] -> -i + 6-3i + 3-i * 5+3i
[215768] ['-i', '(3-i)', '(5+3i)', '(6+2i)'] -> 5+3i + 3-i * (-i + 6+2i)
[215773] ['-i', '(3-i)', '(5+3i)', '(7-i)'] -> 8-4i + 9+5i - (1-4i - 8-5i)
[215785] ['-i', '(3-i)', '(5+4i)', '(6-4i)'] -> 6-4i + 3-i * (-i + 5+4i)
[215786] ['-i', '(3-i)', '(5+4i)', '(6+i)'] -> 6+6i * (3-2i + 5+5i - 6+5i)
[215827] ['-i', '(3-i)', '(5+6i)', '(8+5i)'] -> -i - 5+6i + 3-i * 8+5i
[215841] ['-i', '(3-i)', '(5+7i)', '(8+4i)'] -> 3-i * (8+4i - -i) - 5+7i
[215842] ['-i', '(3-i)', '(5+7i)', '(8+6i)'] -> 3-i * (-i + 8+6i) - 5+7i
[215850] ['-i', '(3-i)', '(5+8i)', '(8+5i)'] -> 3-i * 8+5i - (-i + 5+8i)
[215893] ['-i', '(3-i)', '(6-9i)', '(9+9i)'] -> 6-9i * 3-i / -i - 9+9i
[215921] ['-i', '(3-i)', '(6-7i)', '(8+3i)'] -> 8+3i * (-i + 3-i) - 6-7i
[215922] ['-i', '(3-i)', '(6-7i)', '(8+4i)'] -> (6-7i - -i) * 8+4i / 3-i
[215926] ['-i', '(3-i)', '(6-6i)', '(6+6i)'] -> 3-2i * 5+5i + 7-3i - 8+2i
