[28563] ['-4i', '-2i', '(8-3i)', '(8+6i)'] -> 1-4i + 9+6i + 1-3i * 2+4i
[28569] ['-4i', '-2i', '(8-2i)', '(8+i)'] -> 1-i + 4-2i + 2-i * 7+5i
[28571] ['-4i', '-2i', '(8-2i)', '(8+4i)'] -> 8+4i + 8-2i * -4i / -2i
[28578] ['-4i', '-2i', '(8-i)', '(8+i)'] -> 1-3i * 5+6i - (1-4i - 2+5i)
[28580] ['-4i', '-2i', '(8-i)', '(8+2i)'] -> 8+2i + 8-i * -4i / -2i
[28663] ['-4i', '-2i', '(9-9i)', '(9+7i)'] -> -2i * (9+7i + -4i - 9-9i)
[28665] ['-4i', '-2i', '(9-8i)', '(9+8i)'] -> -2i * (9+8i + -4i - 9-8i)
[28668] ['-4i', '-2i', '(9-7i)', '(9+9i)'] -> -2i * (9+9i + -4i - 9-7i)
[28692] ['-4i', '-i', '-i', '(1-6i)'] -> -4i * (-i / -i - 1-6i)
[28706] ['-4i', '-i', '-i', '5'] -> 1+2i * (1-7i + 3-4i) - 2-3i
[28711] ['-4i', '-i', '-i', '(6+i)'] -> -4i / -i * (-i + 6+i)
[28724] ['-4i', '-i', 'i', '(1-6i)'] -> -4i * (-i * i - 1-6i)
[28734] ['-4i', '-i', 'i', '3'] -> -4i * 3 * (i - -i)
[28768] ['-4i', '-i', '2i', '(2-6i)'] -> -4i * (-i * 2i - 2-6i)
[28769] ['-4i', '-i', '2i', '2'] -> -4i * 2 * (2i - -i)
[28772] ['-4i', '-i', '2i', '(3-i)'] -> 2-i * (1-i + 9+9i) - 4+6i
[28774] ['-4i', '-i', '2i', '(3+i)'] -> (6-4i - 6-i) * (9 - 9-8i)
[28784] ['-4i', '-i', '2i', '(6-2i)'] -> -4i / -i * (2i + 6-2i)
[28785] ['-4i', '-i', '2i', '6'] -> -4i * 6 * (-i + 2i)
[28798] ['-4i', '-i', '3i', '3i'] -> 3i * (-4i + -i - 3i)
[28807] ['-4i', '-i', '3i', '(2-i)'] -> -4i * 3i * (2-i - -i)
[28808] ['-4i', '-i', '3i', '(2+i)'] -> -4i * 3i * (-i + 2+i)
[28812] ['-4i', '-i', '3i', '(3-6i)'] -> -4i * (-i * 3i - 3-6i)
[28820] ['-4i', '-i', '3i', '(4+8i)'] -> 1-4i * (4+3i - 1-3i) - 3-6i
[28828] ['-4i', '-i', '3i', '(6-3i)'] -> 4+9i + 6+i * (1-i + 2-i)
[28837] ['-4i', '-i', '3i', '(8+4i)'] -> (-4i + 8+4i) * -i * 3i
[28841] ['-4i', '-i', '4i', '(1-5i)'] -> -4i + 4i * (-i + 1-5i)
[28843] ['-4i', '-i', '4i', '(1+7i)'] -> 4i + -4i * (-i + 1+7i)
[28863] ['-4i', '-i', '4i', '(8-i)'] -> -4i * 4i - (-i - 8-i)
[28865] ['-4i', '-i', '4i', '(8+i)'] -> -4i * 4i + -i + 8+i
[28870] ['-4i', '-i', '(1-9i)', '(1-4i)'] -> -4i * (1-4i - (-i + 1-9i))
[28874] ['-4i', '-i', '(1-9i)', '(1-2i)'] -> 4-8i - 6-8i + 5-i * 5+i
[28881] ['-4i', '-i', '(1-9i)', '(3+i)'] -> -4i * (-i * 3+i - 1-9i)
[28882] ['-4i', '-i', '(1-9i)', '(3+3i)'] -> 1-9i * (-i - -4i) - 3+3i
[28891] ['-4i', '-i', '(1-9i)', '(5+9i)'] -> -4i / -i * (1-9i + 5+9i)
[28899] ['-4i', '-i', '(1-9i)', '(8+4i)'] -> -4i * (-i - 1-9i) - 8+4i
