[276714] ['(2-i)', '(3-6i)', '3', '(4+9i)'] -> ((2-i) + ((4+9i) * ((3-6i) / 3)))
[276719] ['(2-i)', '(3-6i)', '3', '(5+3i)'] -> ((3-6i) + (3 * ((2-i) + (5+3i))))
[276722] ['(2-i)', '(3-6i)', '3', '(6+2i)'] -> (((3-6i) + 3) / ((2-i) / (6+2i)))
[276723] ['(2-i)', '(3-6i)', '3', '(6+6i)'] -> (((2-i) * (6+6i)) + ((3-6i) + 3))
[276726] ['(2-i)', '(3-6i)', '3', '(7-i)'] -> ((3 * ((2-i) + (7-i))) - (3-6i))
[276729] ['(2-i)', '(3-6i)', '3', '(7+5i)'] -> (3 * ((7+5i) - ((2-i) - (3-6i))))
[276733] ['(2-i)', '(3-6i)', '3', '(8-5i)'] -> ((3 * (8-5i)) - ((2-i) * (3-6i)))
[276737] ['(2-i)', '(3-6i)', '3', '(8+5i)'] -> (((2-i) * (3-6i)) + (3 * (8+5i)))
[276740] ['(2-i)', '(3-6i)', '3', '(9-6i)'] -> (((3-6i) + (9-6i)) * (3 - (2-i)))
[276741] ['(2-i)', '(3-6i)', '3', '(9-5i)'] -> (3 * ((9-5i) + ((2-i) - (3-6i))))
[276744] ['(2-i)', '(3-6i)', '3', '(9+3i)'] -> (((2-i) * (3 + (9+3i))) - (3-6i))
[276749] ['(2-i)', '(3-6i)', '(3+i)', '(3+3i)'] -> ((3+3i) * ((3+i) - ((2-i) - (3-6i))))
[276765] ['(2-i)', '(3-6i)', '(3+i)', '(7-4i)'] -> (((2-i) - (3-6i)) + ((3+i) * (7-4i)))
[276768] ['(2-i)', '(3-6i)', '(3+i)', '(8-5i)'] -> (((8+8i) + (9-7i)) - (-i - (7-2i)))
[276773] ['(2-i)', '(3-6i)', '(3+i)', '(9-6i)'] -> (((3-6i) + (9-6i)) / ((2-i) / (3+i)))
[276775] ['(2-i)', '(3-6i)', '(3+i)', '(9+2i)'] -> (((2-i) * ((3+i) + (9+2i))) - (3-6i))
[276779] ['(2-i)', '(3-6i)', '(3+2i)', '(3+6i)'] -> (((3-6i) - (3+2i)) / ((2-i) / (3+6i)))
[276782] ['(2-i)', '(3-6i)', '(3+2i)', '(5-5i)'] -> (((2-i) - (3-6i)) + ((3+2i) * (5-5i)))
[276793] ['(2-i)', '(3-6i)', '(3+2i)', '(8-8i)'] -> ((6-6i) * ((5+2i) - ((1-6i) + (2+6i))))
[276795] ['(2-i)', '(3-6i)', '(3+2i)', '(8+8i)'] -> (((2-i) * (8+8i)) + ((3-6i) - (3+2i)))
[276797] ['(2-i)', '(3-6i)', '(3+2i)', '(9+i)'] -> (((2-i) * ((3+2i) + (9+i))) - (3-6i))
[276801] ['(2-i)', '(3-6i)', '(3+3i)', '(3+6i)'] -> (((3-6i) * ((3+3i) - (2-i))) - (3+6i))
[276806] ['(2-i)', '(3-6i)', '(3+3i)', '(4+3i)'] -> ((3+3i) * ((3-6i) + ((4+3i) / (2-i))))
[276808] ['(2-i)', '(3-6i)', '(3+3i)', '(5-9i)'] -> ((3+3i) * ((5-9i) + ((2-i) - (3-6i))))
[276812] ['(2-i)', '(3-6i)', '(3+3i)', '(6+9i)'] -> ((3+3i) + ((2-i) * ((3-6i) + (6+9i))))
[276818] ['(2-i)', '(3-6i)', '(3+3i)', '8'] -> (((3-6i) + (3+3i)) / ((2-i) / 8))
[276820] ['(2-i)', '(3-6i)', '(3+3i)', '9'] -> (((2-9i) + (6-i)) + ((7+8i) + (9+2i)))
[276838] ['(2-i)', '(3-6i)', '(3+4i)', '(7-5i)'] -> (((3+2i) * (5-4i)) - ((2-3i) - (3-i)))
[276847] ['(2-i)', '(3-6i)', '(3+4i)', '(9-i)'] -> (((2-i) * ((3+4i) + (9-i))) - (3-6i))
[276848] ['(2-i)', '(3-6i)', '(3+4i)', '(9+9i)'] -> (((1-3i) * ((9+2i) - (3-7i))) - (9-9i))
[276860] ['(2-i)', '(3-6i)', '(3+5i)', '6'] -> (6 * ((3+5i) - ((2-i) - (3-6i))))
[276863] ['(2-i)', '(3-6i)', '(3+5i)', '(7+4i)'] -> (((2-i) * (7+4i)) + ((3-6i) + (3+5i)))
[276868] ['(2-i)', '(3-6i)', '(3+5i)', '(9-2i)'] -> (((2-i) * ((3+5i) + (9-2i))) - (3-6i))
[276870] ['(2-i)', '(3-6i)', '(3+6i)', '(4-5i)'] -> ((3+6i) * ((4-5i) - ((3-6i) / (2-i))))
[276872] ['(2-i)', '(3-6i)', '(3+6i)', '(4+4i)'] -> ((4+4i) * ((3-6i) + ((3+6i) / (2-i))))
