[285258] ['(1-3i)', '(3-i)', '(4+8i)', '(9-5i)'] -> (((9-5i) * ((3-i) - (1-3i))) - (4+8i))
[285263] ['(1-3i)', '(3-i)', '(4+8i)', '(9+5i)'] -> ((((3-i) - (9+5i)) * (4+8i)) / (1-3i))
[285279] ['(1-3i)', '(3-i)', '(4+9i)', '(7+7i)'] -> (((1-3i) * ((4+9i) - (3-i))) - (7+7i))
[285292] ['(1-3i)', '(3-i)', '(5-9i)', '(5+7i)'] -> (((1-3i) * (5+7i)) + ((3-i) - (5-9i)))
[285298] ['(1-3i)', '(3-i)', '(5-9i)', '(8-6i)'] -> (((1-3i) + (3-i)) * ((8-6i) - (5-9i)))
[285301] ['(1-3i)', '(3-i)', '(5-9i)', '(8-i)'] -> (((1-3i) * ((8-i) - (5-9i))) - (3-i))
[285305] ['(1-3i)', '(3-i)', '(5-9i)', '(9+i)'] -> (((1-3i) - (5-9i)) + ((3-i) * (9+i)))
[285310] ['(1-3i)', '(3-i)', '(5-8i)', '(7-8i)'] -> (((3-i) * (5-8i)) - ((1-3i) * (7-8i)))
[285312] ['(1-3i)', '(3-i)', '(5-8i)', '(8-5i)'] -> (((1-3i) + (3-i)) * ((8-5i) - (5-8i)))
[285314] ['(1-3i)', '(3-i)', '(5-8i)', '8'] -> ((-7i - (6-i)) * ((5-4i) - (7-6i)))
[285318] ['(1-3i)', '(3-i)', '(5-7i)', '(6-3i)'] -> ((((3-i) + (5-7i)) * (6-3i)) / (1-3i))
[285325] ['(1-3i)', '(3-i)', '(5-7i)', '(8-4i)'] -> (((1-3i) + (3-i)) * ((8-4i) - (5-7i)))
[285326] ['(1-3i)', '(3-i)', '(5-7i)', '(8+i)'] -> (((1-3i) * ((8+i) - (5-7i))) - (3-i))
[285327] ['(1-3i)', '(3-i)', '(5-7i)', '(8+7i)'] -> (((1-3i) * ((8+7i) - (3-i))) - (5-7i))
[285337] ['(1-3i)', '(3-i)', '(5-6i)', '(8-3i)'] -> (((1-3i) + (3-i)) * ((8-3i) - (5-6i)))
[285341] ['(1-3i)', '(3-i)', '(5-6i)', '(8+2i)'] -> (((1-3i) * ((8+2i) - (5-6i))) - (3-i))
[285346] ['(1-3i)', '(3-i)', '(5-5i)', '(5+9i)'] -> (((1-3i) * (5+9i)) - ((3-i) + (5-5i)))
[285353] ['(1-3i)', '(3-i)', '(5-5i)', '(8-2i)'] -> (((1-3i) + (3-i)) * ((8-2i) - (5-5i)))
[285355] ['(1-3i)', '(3-i)', '(5-5i)', '(8+3i)'] -> (((1-3i) * ((8+3i) - (5-5i))) - (3-i))
[285369] ['(1-3i)', '(3-i)', '(5-4i)', '(7-4i)'] -> (((3-i) * (7-4i)) - ((1-3i) * (5-4i)))
[285374] ['(1-3i)', '(3-i)', '(5-4i)', '(8-i)'] -> (((1-3i) + (3-i)) * ((8-i) - (5-4i)))
[285375] ['(1-3i)', '(3-i)', '(5-4i)', '(8+4i)'] -> (((1-3i) * ((8+4i) - (5-4i))) - (3-i))
[285380] ['(1-3i)', '(3-i)', '(5-3i)', '(5+i)'] -> ((7 - (7+3i)) - (-3i * (1-8i)))
[285382] ['(1-3i)', '(3-i)', '(5-3i)', '(5+9i)'] -> (((1-3i) + (5+9i)) * ((5-3i) - (3-i)))
[285384] ['(1-3i)', '(3-i)', '(5-3i)', '(6-6i)'] -> ((((3-i) + (5-3i)) * (6-6i)) / (1-3i))
