[174123] ['(1-9i)', '(2+3i)', '(3-4i)', '(3-i)'] -> 1-9i * 2+3i - 3-4i * 3-i
[174138] ['(1-9i)', '(2+3i)', '(3-4i)', '(5+8i)'] -> 1-9i + 5+8i + 2+3i * 3-4i
[174195] ['(1-9i)', '(2+3i)', '(3-3i)', '(7-2i)'] -> 3-3i * (7-2i - (1-9i + 2+3i))
[174201] ['(1-9i)', '(2+3i)', '(3-3i)', '(8+6i)'] -> 1-9i + 8+6i + 2+3i * 3-3i
[174243] ['(1-9i)', '(2+3i)', '(3-i)', '(4+2i)'] -> -4i * (2+8i + 7 - 9+2i)
[174286] ['(1-9i)', '(2+3i)', '3', '(5+6i)'] -> 3 * (5+6i + 1-9i + 2+3i)
[174295] ['(1-9i)', '(2+3i)', '3', '(7+2i)'] -> 1-9i + 2+3i + 3 * 7+2i
[174306] ['(1-9i)', '(2+3i)', '3', '(9-2i)'] -> (2-2i + 2-2i) * (9+6i - 6+3i)
[174333] ['(1-9i)', '(2+3i)', '(3+i)', '(8-4i)'] -> 2+3i * (1-9i + 3+i) - 8-4i
[174354] ['(1-9i)', '(2+3i)', '(3+2i)', '(5-2i)'] -> 2+3i * (1-9i + 3+2i) - 5-2i
[174376] ['(1-9i)', '(2+3i)', '(3+3i)', '(5+8i)'] -> (6+7i + -7i * 1+6i) / 2
[174388] ['(1-9i)', '(2+3i)', '(3+4i)', '(3+7i)'] -> 1-9i * 3+4i + 2+3i * 3+7i
[174397] ['(1-9i)', '(2+3i)', '(3+4i)', '(7-4i)'] -> 1-9i - 3+4i + 2+3i * 7-4i
[174402] ['(1-9i)', '(2+3i)', '(3+4i)', '(9-6i)'] -> 3+4i * (1-9i + 2+3i) - 9-6i
[174414] ['(1-9i)', '(2+3i)', '(3+5i)', '(5+6i)'] -> (1-9i + 3+5i) * (5+6i - 2+3i)
[174432] ['(1-9i)', '(2+3i)', '(3+6i)', '(4-6i)'] -> 1-9i * (3+6i - 2+3i) - 4-6i
[174434] ['(1-9i)', '(2+3i)', '(3+6i)', '4'] -> 4 * (3+6i + 1-9i + 2+3i)
[174447] ['(1-9i)', '(2+3i)', '(3+6i)', '(7-6i)'] -> 8+8i * 9+3i / (-4i + 2+8i)
[174452] ['(1-9i)', '(2+3i)', '(3+6i)', '(8-9i)'] -> 1-9i * 2+3i + 3+6i - 8-9i
[174479] ['(1-9i)', '(2+3i)', '(3+7i)', '(8-8i)'] -> 1-9i * 2+3i + 3+7i - 8-8i
[174496] ['(1-9i)', '(2+3i)', '(3+8i)', '(5+4i)'] -> 2+3i * (1-9i + 5+4i) - 3+8i
[174504] ['(1-9i)', '(2+3i)', '(3+8i)', '(8-7i)'] -> 1-9i * 2+3i + 3+8i - 8-7i
[174511] ['(1-9i)', '(2+3i)', '(3+9i)', '(4-3i)'] -> (1-9i + 3+9i) * (2+3i + 4-3i)
[174526] ['(1-9i)', '(2+3i)', '(3+9i)', '(8-6i)'] -> 1-9i * 2+3i + 3+9i - 8-6i
