[291571] ['-3i', '(1-5i)', '(2+3i)', '(7-6i)'] -> (((2+3i) + (7-6i)) - (-3i * (1-5i)))
[291573] ['-3i', '(1-5i)', '(2+3i)', '(7+4i)'] -> (((1-5i) * (2+3i)) - (-3i - (7+4i)))
[291574] ['-3i', '(1-5i)', '(2+3i)', '(8-8i)'] -> ((-3i / (1-5i)) * ((2+3i) * (8-8i)))
[291575] ['-3i', '(1-5i)', '(2+3i)', '(8-4i)'] -> (((1-5i) * ((2+3i) - -3i)) - (8-4i))
[291579] ['-3i', '(1-5i)', '(2+4i)', '(2+9i)'] -> ((-3i + (2+9i)) + ((1-5i) * (2+4i)))
[291580] ['-3i', '(1-5i)', '(2+4i)', '(3-9i)'] -> (-3i * (((1-5i) + (2+4i)) - (3-9i)))
[291581] ['-3i', '(1-5i)', '(2+4i)', '(3-3i)'] -> ((-3i * ((2+4i) - (1-5i))) - (3-3i))
[291585] ['-3i', '(1-5i)', '(2+4i)', '(3+7i)'] -> ((6-6i) * ((5-i) - (-9i + (3+6i))))
[291595] ['-3i', '(1-5i)', '(2+4i)', '(7-7i)'] -> (((2+4i) + (7-7i)) - (-3i * (1-5i)))
[291605] ['-3i', '(1-5i)', '(2+4i)', '(9-7i)'] -> (((9-7i) * (-3i + (2+4i))) - (1-5i))
[291606] ['-3i', '(1-5i)', '(2+5i)', '(3-2i)'] -> ((9 / ((2-3i) / (9-7i))) - (3+9i))
[291610] ['-3i', '(1-5i)', '(2+5i)', '(3+8i)'] -> (-3i * ((3+8i) - ((1-5i) + (2+5i))))
[291613] ['-3i', '(1-5i)', '(2+5i)', '(4-4i)'] -> ((4-4i) * ((2+5i) - (-3i - (1-5i))))
[291616] ['-3i', '(1-5i)', '(2+5i)', '(4+4i)'] -> ((4+4i) * ((2+5i) + (-3i + (1-5i))))
[291619] ['-3i', '(1-5i)', '(2+5i)', '(5-i)'] -> ((-3i + (2+5i)) * ((1-5i) + (5-i)))
[291621] ['-3i', '(1-5i)', '(2+5i)', '(6-3i)'] -> ((-3i * ((2+5i) - (1-5i))) - (6-3i))
[291623] ['-3i', '(1-5i)', '(2+5i)', '(7-8i)'] -> (((2+5i) + (7-8i)) - (-3i * (1-5i)))
[291625] ['-3i', '(1-5i)', '(2+5i)', '(8-3i)'] -> (((1-5i) + (2+5i)) * ((8-3i) - -3i))
[291626] ['-3i', '(1-5i)', '(2+5i)', '(8-i)'] -> (((8-i) * ((1-5i) + (2+5i))) - -3i)
[291627] ['-3i', '(1-5i)', '(2+5i)', '(8+i)'] -> (-3i + ((8+i) * ((1-5i) + (2+5i))))
[291628] ['-3i', '(1-5i)', '(2+5i)', '(8+3i)'] -> ((-3i + (8+3i)) * ((1-5i) + (2+5i)))
[291632] ['-3i', '(1-5i)', '(2+6i)', '(2+7i)'] -> ((2+6i) + ((1-5i) * (-3i + (2+7i))))
[291634] ['-3i', '(1-5i)', '(2+6i)', '(3-7i)'] -> (-3i * (((1-5i) + (2+6i)) - (3-7i)))
[291636] ['-3i', '(1-5i)', '(2+6i)', '(3+9i)'] -> (-3i * ((3+9i) - ((1-5i) + (2+6i))))
[291645] ['-3i', '(1-5i)', '(2+6i)', '(6+6i)'] -> (((2+6i) * (6+6i)) / (-3i - (1-5i)))
[291648] ['-3i', '(1-5i)', '(2+6i)', '(7-9i)'] -> ((7+9i) * ((1-2i) + ((3-2i) / (1-8i))))
[291651] ['-3i', '(1-5i)', '(2+6i)', '(7+i)'] -> (((3-2i) * (8 - (1-2i))) - (1-8i))
[291652] ['-3i', '(1-5i)', '(2+6i)', '(7+7i)'] -> ((7+7i) + ((1-5i) * (-3i + (2+6i))))
[291653] ['-3i', '(1-5i)', '(2+6i)', '(8-7i)'] -> ((-3i - (8-7i)) + ((1-5i) * (2+6i)))
[291655] ['-3i', '(1-5i)', '(2+6i)', '(8-i)'] -> (((1-5i) * (2+6i)) - (-3i + (8-i)))
[291657] ['-3i', '(1-5i)', '(2+6i)', '(9-3i)'] -> ((-3i * ((2+6i) - (1-5i))) - (9-3i))
[291660] ['-3i', '(1-5i)', '(2+7i)', '(3-6i)'] -> (-3i * (((1-5i) + (2+7i)) - (3-6i)))
[291663] ['-3i', '(1-5i)', '(2+7i)', '(4+i)'] -> ((-3i * (2+7i)) - ((1-5i) - (4+i)))
[291667] ['-3i', '(1-5i)', '(2+7i)', '(6-3i)'] -> (-3i + ((6-3i) * ((1-5i) + (2+7i))))
[291677] ['-3i', '(1-5i)', '(2+8i)', '(3+9i)'] -> (((1-5i) * (3+9i)) - (-3i * (2+8i)))
[291678] ['-3i', '(1-5i)', '(2+8i)', '(4-7i)'] -> (((1-5i) + (2+8i)) * ((4-7i) - -3i))
[291679] ['-3i', '(1-5i)', '(2+8i)', '(4-i)'] -> ((-3i + (4-i)) * ((1-5i) + (2+8i)))
[291693] ['-3i', '(1-5i)', '(2+8i)', '8'] -> (((3+4i) + (5-8i)) / ((2-i) / 6))
[291699] ['-3i', '(1-5i)', '(2+9i)', '(3-4i)'] -> ((-7i - (8-7i)) * ((5+5i) - (8+5i)))
[291709] ['-3i', '(1-5i)', '(2+9i)', '(7-9i)'] -> (-3i * ((2+9i) - ((7-9i) / (1-5i))))
[291714] ['-3i', '(1-5i)', '(2+9i)', '(8-4i)'] -> (((1-5i) * (-3i + (2+9i))) - (8-4i))
[291722] ['-3i', '(1-5i)', '(3-9i)', '(3+3i)'] -> ((3+3i) * ((1-5i) + ((3-9i) / -3i)))
[291724] ['-3i', '(1-5i)', '(3-9i)', '(4-6i)'] -> (-3i * ((4-6i) - ((1-5i) + (3-9i))))
[291725] ['-3i', '(1-5i)', '(3-9i)', '(4+6i)'] -> ((4+6i) * (-3i + ((3-9i) / (1-5i))))
[291727] ['-3i', '(1-5i)', '(3-9i)', '(6+6i)'] -> (((3-9i) + (6+6i)) - (-3i * (1-5i)))
[291729] ['-3i', '(1-5i)', '(3-9i)', '(7-4i)'] -> (((7-4i) / (-3i / (3-9i))) - (1-5i))
[291733] ['-3i', '(1-5i)', '(3-9i)', '(8-6i)'] -> ((-3i * (8-6i)) - ((1-5i) * (3-9i)))
[291738] ['-3i', '(1-5i)', '(3-9i)', '(9+9i)'] -> (((9+9i) * ((1-5i) - -3i)) - (3-9i))
[291741] ['-3i', '(1-5i)', '(3-8i)', '(4-5i)'] -> (-3i * ((4-5i) - ((1-5i) + (3-8i))))
[291750] ['-3i', '(1-5i)', '(3-8i)', '(6+5i)'] -> (((3-8i) + (6+5i)) - (-3i * (1-5i)))
[291761] ['-3i', '(1-5i)', '(3-7i)', '3'] -> (-3i * ((3-7i) - ((1-5i) * 3)))
[291767] ['-3i', '(1-5i)', '(3-7i)', '(4-4i)'] -> (-3i * ((4-4i) - ((1-5i) + (3-7i))))
[291769] ['-3i', '(1-5i)', '(3-7i)', '(6+4i)'] -> (((3-7i) + (6+4i)) - (-3i * (1-5i)))
[291772] ['-3i', '(1-5i)', '(3-7i)', '(6+9i)'] -> ((7+6i) + ((2-i) * ((3+4i) + (5-3i))))
[291783] ['-3i', '(1-5i)', '(3-6i)', '(3-2i)'] -> (((3-6i) * ((3-2i) - (1-5i))) - -3i)
[291784] ['-3i', '(1-5i)', '(3-6i)', '(3+4i)'] -> ((-3i * ((3+4i) - (1-5i))) - (3-6i))
[291785] ['-3i', '(1-5i)', '(3-6i)', '(3+9i)'] -> (((1-5i) + (3+9i)) * ((3-6i) - -3i))
[291787] ['-3i', '(1-5i)', '(3-6i)', '(4-3i)'] -> (-3i * ((4-3i) - ((1-5i) + (3-6i))))
[291792] ['-3i', '(1-5i)', '(3-6i)', '(5-4i)'] -> (((1-5i) + (5-4i)) - (-3i * (3-6i)))
[291794] ['-3i', '(1-5i)', '(3-6i)', '(6-6i)'] -> ((6-6i) * ((3-6i) - (-3i + (1-5i))))
[291796] ['-3i', '(1-5i)', '(3-6i)', '(6+3i)'] -> (((3-6i) + (6+3i)) - (-3i * (1-5i)))
[291797] ['-3i', '(1-5i)', '(3-6i)', '(7-i)'] -> ((-3i * (7-i)) - ((1-5i) * (3-6i)))
[291801] ['-3i', '(1-5i)', '(3-6i)', '8'] -> (((3-6i) * 8) / ((1-5i) - -3i))
[291803] ['-3i', '(1-5i)', '(3-6i)', '(9-7i)'] -> (((9-7i) / (-3i / (3-6i))) - (1-5i))
[291808] ['-3i', '(1-5i)', '(3-5i)', '(3+6i)'] -> ((-3i * (1-5i)) + ((3-5i) * (3+6i)))
[291811] ['-3i', '(1-5i)', '(3-5i)', '(4-2i)'] -> (((2-i) * (5 + (5+7i))) - (3+4i))
[291817] ['-3i', '(1-5i)', '(3-5i)', '(6+2i)'] -> (((3-5i) + (6+2i)) - (-3i * (1-5i)))
[291822] ['-3i', '(1-5i)', '(3-5i)', '(8-4i)'] -> (((1-5i) + (8-4i)) - (-3i * (3-5i)))
[291829] ['-3i', '(1-5i)', '(3-4i)', '(4-i)'] -> (-3i * ((4-i) - ((1-5i) + (3-4i))))
[291838] ['-3i', '(1-5i)', '(3-4i)', '(6+i)'] -> (((3-4i) + (6+i)) - (-3i * (1-5i)))
[291839] ['-3i', '(1-5i)', '(3-4i)', '(6+6i)'] -> ((6+6i) * ((3-4i) + (-3i - (1-5i))))
[291847] ['-3i', '(1-5i)', '(3-4i)', '(8+i)'] -> (((8+i) * ((3-4i) - -3i)) - (1-5i))
[291848] ['-3i', '(1-5i)', '(3-4i)', '(9-6i)'] -> (((9-6i) * ((3-4i) - (1-5i))) - -3i)
[291852] ['-3i', '(1-5i)', '(3-3i)', '(3-i)'] -> ((3-3i) * ((1-5i) - (-3i * (3-i))))
[291853] ['-3i', '(1-5i)', '(3-3i)', '(3+6i)'] -> ((3-3i) * ((3+6i) - (-3i - (1-5i))))
[291856] ['-3i', '(1-5i)', '(3-3i)', '4'] -> (-3i * (4 - ((1-5i) + (3-3i))))
[291857] ['-3i', '(1-5i)', '(3-3i)', '(5-4i)'] -> (((1-8i) - (5-4i)) / ((1-2i) / (3+9i)))
[291859] ['-3i', '(1-5i)', '(3-3i)', '(5+2i)'] -> ((3-3i) * ((5+2i) + (-3i - (1-5i))))
[291861] ['-3i', '(1-5i)', '(3-3i)', '(6-3i)'] -> ((-3i + (6-3i)) * ((3-3i) - (1-5i)))
[291863] ['-3i', '(1-5i)', '(3-3i)', '6'] -> (((3-3i) + 6) - (-3i * (1-5i)))
[291866] ['-3i', '(1-5i)', '(3-3i)', '(6+4i)'] -> ((-3i * (6+4i)) - ((1-5i) * (3-3i)))
[291867] ['-3i', '(1-5i)', '(3-3i)', '(6+7i)'] -> (((4-9i) - (4+3i)) / ((2-3i) / (6+4i)))
