[101209] ['-7i', '4i', '5i', '(3-6i)'] -> -7i - 5i + 4i * 3-6i
[101212] ['-7i', '4i', '5i', '3'] -> (-7i + 5i) * 4i * 3
[101214] ['-7i', '4i', '5i', '(3+6i)'] -> 5i - (-7i + 4i * 3+6i)
[101215] ['-7i', '4i', '5i', '(4-7i)'] -> 4-7i - (-7i + 4i * 5i)
[101217] ['-7i', '4i', '5i', '(4-5i)'] -> 4-7i + 5+5i + 6+5i + 9-3i
[101221] ['-7i', '4i', '5i', '(4+5i)'] -> -7i * 4i + 5i - 4+5i
[101222] ['-7i', '4i', '5i', '(4+7i)'] -> -7i + 4+7i - 4i * 5i
[101232] ['-7i', '4i', '5i', '7'] -> 4i * (-7i / 7 - 5i)
[101238] ['-7i', '4i', '5i', '8'] -> (5i - -7i) / (4i / 8)
[101245] ['-7i', '4i', '5i', '9'] -> 9 + 5i * (-7i + 4i)
[101253] ['-7i', '4i', '6i', '(2+8i)'] -> 6i + 2+8i * (-7i + 4i)
[101258] ['-7i', '4i', '6i', '(4-6i)'] -> -7i * 4i - (6i + 4-6i)
[101263] ['-7i', '4i', '6i', '(4+6i)'] -> -7i * 4i + 6i - 4+6i
[101305] ['-7i', '4i', '(1-9i)', '(1-8i)'] -> (-4i + 8+4i) * (1+4i + 2-4i)
[101307] ['-7i', '4i', '(1-9i)', '(1-i)'] -> (-7i + 4i) * (1-i - 1-9i)
[101310] ['-7i', '4i', '(1-9i)', '(1+4i)'] -> 9-4i - (1+4i + -4i * 2-4i)
[101323] ['-7i', '4i', '(1-9i)', '(3+9i)'] -> 3-3i - 4-3i * (4-7i - 7-4i)
[101329] ['-7i', '4i', '(1-9i)', '(5-9i)'] -> -7i * 4i + 1-9i - 5-9i
[101353] ['-7i', '4i', '(1-8i)', '(1-7i)'] -> 4i * (1-7i + -7i - 1-8i)
[101357] ['-7i', '4i', '(1-8i)', '1'] -> 1+4i * (-4i + 2-2i) - 2+2i
[101360] ['-7i', '4i', '(1-8i)', '(1+5i)'] -> -4i * (1+4i + 2+6i / 2-2i)
[101368] ['-7i', '4i', '(1-8i)', '(3-3i)'] -> 4i * 3-3i * (1-8i - -7i)
[101373] ['-7i', '4i', '(1-8i)', '(3+8i)'] -> -7i * 4i - (1-8i + 3+8i)
