[50113] ['(3-i)', '(6-6i)', '(6-4i)', '6'] -> (((6-4i) * 6) - ((3-i) * (6-6i)))
[50119] ['(3-i)', '(6-6i)', '(6-4i)', '(6+4i)'] -> (((6+4i) * ((6-4i) - (3-i))) - (6-6i))
[50122] ['(3-i)', '(6-6i)', '(6-4i)', '(7-7i)'] -> ((4-4i) - ((4-4i) * ((4-4i) - (6-i))))
[50125] ['(3-i)', '(6-6i)', '(6-4i)', '(7+3i)'] -> (((3-i) * (7+3i)) + ((6-6i) - (6-4i)))
[50138] ['(3-i)', '(6-6i)', '(6-4i)', '(9+3i)'] -> (((6-6i) + ((6-4i) * (9+3i))) / (3-i))
[50145] ['(3-i)', '(6-6i)', '(6-3i)', '(7-6i)'] -> ((6-6i) * (((3-i) + (6-3i)) - (7-6i)))
[50151] ['(3-i)', '(6-6i)', '(6-3i)', '(8+4i)'] -> ((6-6i) + (((8+4i) * (6-3i)) / (3-i)))
[50161] ['(3-i)', '(6-6i)', '(6-2i)', '6'] -> ((3+3i) * ((2-5i) + ((8+4i) / 4)))
[50162] ['(3-i)', '(6-6i)', '(6-2i)', '(6+3i)'] -> ((3-i) * ((6+3i) + ((6-6i) / (6-2i))))
[50164] ['(3-i)', '(6-6i)', '(6-2i)', '(6+6i)'] -> (((4-4i) * (8 - (4-3i))) - (4-4i))
[50165] ['(3-i)', '(6-6i)', '(6-2i)', '(7-5i)'] -> ((6-6i) * (((3-i) + (6-2i)) - (7-5i)))
[50174] ['(3-i)', '(6-6i)', '(6-2i)', '(8+4i)'] -> (((6-6i) * (8+4i)) / ((6-2i) - (3-i)))
[50179] ['(3-i)', '(6-6i)', '(6-2i)', '(9+3i)'] -> ((6-6i) + (((9+3i) * (6-2i)) / (3-i)))
[50183] ['(3-i)', '(6-6i)', '(6-2i)', '(9+9i)'] -> (((3-i) + (6-6i)) + ((6-2i) + (9+9i)))
[50187] ['(3-i)', '(6-6i)', '(6-i)', '(6+6i)'] -> (((6-9i) - (6-5i)) * ((6+2i) - (6-4i)))
[50190] ['(3-i)', '(6-6i)', '(6-i)', '(7-4i)'] -> ((6-6i) * (((3-i) + (6-i)) - (7-4i)))
[50206] ['(3-i)', '(6-6i)', '(6-i)', '(9+8i)'] -> ((4-4i) * (((4-4i) + (4-i)) - (5-8i)))
[50209] ['(3-i)', '(6-6i)', '6', '(6+2i)'] -> (4 * ((9+6i) + ((3-9i) - (6-3i))))
[50211] ['(3-i)', '(6-6i)', '6', '(6+3i)'] -> (6 + (((6+3i) * (6-6i)) / (3-i)))
