[426315] ['(1-2i)', '(4-i)', '(4+9i)', '(7-6i)'] -> ((3-3i) * (9 + ((1-5i) - (6-9i))))
[426323] ['(1-2i)', '(4-i)', '(5-9i)', '7'] -> (((1-2i) - (5-9i)) + ((4-i) * 7))
[426325] ['(1-2i)', '(4-i)', '(5-9i)', '8'] -> (8 * ((5-9i) - ((1-2i) * (4-i))))
[426331] ['(1-2i)', '(4-i)', '(5-8i)', '(6+6i)'] -> (((1-2i) + (5-8i)) / ((4-i) / (6+6i)))
[426341] ['(1-2i)', '(4-i)', '(5-7i)', '(8-5i)'] -> (((8-5i) * ((4-i) - (1-2i))) - (5-7i))
[426354] ['(1-2i)', '(4-i)', '(5-6i)', '(7+9i)'] -> (((1-2i) * (7+9i)) + ((4-i) - (5-6i)))
[426361] ['(1-2i)', '(4-i)', '(5-5i)', '(5+i)'] -> ((3-3i) * ((9+6i) + ((1-5i) - (6-3i))))
[426368] ['(1-2i)', '(4-i)', '(5-5i)', '(7-9i)'] -> (((5-5i) + ((4-i) * (7-9i))) / (1-2i))
[426373] ['(1-2i)', '(4-i)', '(5-4i)', '(6+i)'] -> (((1-2i) + (5-4i)) * ((6+i) - (4-i)))
[426386] ['(1-2i)', '(4-i)', '(5-3i)', '(6+3i)'] -> (((4-i) * ((1-2i) + (6+3i))) - (5-3i))
[426389] ['(1-2i)', '(4-i)', '(5-3i)', '(8-i)'] -> (((4-i) * ((8-i) - (1-2i))) - (5-3i))
[426402] ['(1-2i)', '(4-i)', '(5-i)', '(6+6i)'] -> ((6+6i) * ((5-i) + ((1-2i) - (4-i))))
[426403] ['(1-2i)', '(4-i)', '(5-i)', '(6+7i)'] -> (((4-i) * (5-i)) - ((1-2i) - (6+7i)))
[426405] ['(1-2i)', '(4-i)', '(5-i)', '(7-i)'] -> (((4-i) * (7-i)) - ((1-2i) * (5-i)))
[426411] ['(1-2i)', '(4-i)', '5', '(5+3i)'] -> (((4-i) * 5) - ((1-2i) - (5+3i)))
[426412] ['(1-2i)', '(4-i)', '5', '(5+9i)'] -> (((1-2i) * (5+9i)) - ((4-i) - 5))
[426432] ['(1-2i)', '(4-i)', '(5+2i)', '(7-5i)'] -> (((5+2i) * ((1-2i) + (4-i))) - (7-5i))
[426434] ['(1-2i)', '(4-i)', '(5+2i)', '(8-i)'] -> (((1-2i) + (5+2i)) * ((8-i) - (4-i)))
[426439] ['(1-2i)', '(4-i)', '(5+3i)', '(5+9i)'] -> (((1-2i) * (5+9i)) + ((5+3i) / (4-i)))
[426440] ['(1-2i)', '(4-i)', '(5+3i)', '(6-6i)'] -> ((6-6i) * ((5+3i) + ((1-2i) - (4-i))))
[426446] ['(1-2i)', '(4-i)', '(5+3i)', '(7+2i)'] -> (((4-i) * (7+2i)) - ((1-2i) + (5+3i)))
[426448] ['(1-2i)', '(4-i)', '(5+3i)', '(9-2i)'] -> (((9-2i) * ((4-i) - (1-2i))) - (5+3i))
[426450] ['(1-2i)', '(4-i)', '(5+3i)', '(9+8i)'] -> (((1-2i) * (5+3i)) + ((4-i) + (9+8i)))
[426457] ['(1-2i)', '(4-i)', '(5+4i)', '(7+7i)'] -> (((1-2i) * (5+4i)) + ((4-i) + (7+7i)))
[426471] ['(1-2i)', '(4-i)', '(5+5i)', '(5+6i)'] -> (-8i * ((4+6i) - ((1+6i) + (3-3i))))
[426482] ['(1-2i)', '(4-i)', '(5+5i)', '(7+8i)'] -> (((1-2i) * (7+8i)) - ((4-i) - (5+5i)))
[426494] ['(1-2i)', '(4-i)', '(5+7i)', '(6+i)'] -> ((5+7i) * ((1-2i) + ((4-i) / (6+i))))
