[317230] ['-6i', '-3i', '(3+2i)', '(6-5i)'] -> (-6i * ((6-5i) - (-3i * (3+2i))))
[317231] ['-6i', '-3i', '(3+2i)', '(6-3i)'] -> ((-6i - -3i) + ((3+2i) * (6-3i)))
[317232] ['-6i', '-3i', '(3+2i)', '(6+3i)'] -> (-3i + ((3+2i) * (-6i + (6+3i))))
[317233] ['-6i', '-3i', '(3+2i)', '(6+9i)'] -> (-6i * ((3+2i) + ((6+9i) / -3i)))
[317243] ['-6i', '-3i', '(3+2i)', '(9-2i)'] -> ((-6i / -3i) * ((3+2i) + (9-2i)))
[317244] ['-6i', '-3i', '(3+2i)', '(9+2i)'] -> (((4-2i) * (6+3i)) - ((1-6i) + (5+6i)))
[317247] ['-6i', '-3i', '(3+3i)', '(3+4i)'] -> (-6i * ((3+4i) - (-3i + (3+3i))))
[317248] ['-6i', '-3i', '(3+3i)', '(3+5i)'] -> (-3i * ((3+5i) - (-6i + (3+3i))))
[317249] ['-6i', '-3i', '(3+3i)', '(3+7i)'] -> ((-3i * (3+7i)) - (-6i - (3+3i)))
[317250] ['-6i', '-3i', '(3+3i)', '(3+9i)'] -> (-6i * ((3+3i) + ((3+9i) / -3i)))
[317251] ['-6i', '-3i', '(3+3i)', '(4-7i)'] -> ((3+3i) * ((4-7i) - (-6i - -3i)))
[317254] ['-6i', '-3i', '(3+3i)', '(4-i)'] -> ((3+3i) * ((4-i) + (-6i - -3i)))
[317256] ['-6i', '-3i', '(3+3i)', '(4+i)'] -> (((8+9i) * ((7-i) - (6+i))) - (2-7i))
[317257] ['-6i', '-3i', '(3+3i)', '(4+5i)'] -> ((3+3i) * ((4+5i) + (-6i + -3i)))
[317258] ['-6i', '-3i', '(3+3i)', '(4+7i)'] -> ((-6i + (3+3i)) * (-3i + (4+7i)))
[317261] ['-6i', '-3i', '(3+3i)', '5'] -> (-6i + ((3+3i) * (-3i + 5)))
[317265] ['-6i', '-3i', '(3+3i)', '(6-4i)'] -> ((3+3i) * ((6-4i) - (-6i / -3i)))
