[246558] ['-9i', '(2-2i)', '(8+8i)', '(9-9i)'] -> 8+8i * (2-2i - -9i / 9-9i)
[246617] ['-9i', '(2-i)', '2', '(3+6i)'] -> 2 * (-9i + 2-i * 3+6i)
[246625] ['-9i', '(2-i)', '2', '(7+8i)'] -> -9i + 2 + 2-i * 7+8i
[246642] ['-9i', '(2-i)', '(2+i)', '(6-9i)'] -> (2-i + 2+i) * (6-9i - -9i)
[246645] ['-9i', '(2-i)', '(2+i)', '(6+9i)'] -> (-9i + 6+9i) * (2-i + 2+i)
[246657] ['-9i', '(2-i)', '(2+i)', '(9+5i)'] -> 2-i + 2+i * (-9i + 9+5i)
[246664] ['-9i', '(2-i)', '(2+2i)', '3'] -> -9i * (2+2i - 2-i) - 3
[246665] ['-9i', '(2-i)', '(2+2i)', '(3+8i)'] -> 3+8i * (2-i - 2+2i) - -9i
[246666] ['-9i', '(2-i)', '(2+2i)', '(4-9i)'] -> 2+2i * 4-9i - (-9i + 2-i)
[246671] ['-9i', '(2-i)', '(2+2i)', '(4+4i)'] -> 2+2i * (4+4i + -9i + 2-i)
[246676] ['-9i', '(2-i)', '(2+2i)', '(6-9i)'] -> (-9i + 6-9i) / (2-i / 2+2i)
[246685] ['-9i', '(2-i)', '(2+2i)', '(8-3i)'] -> (-7i - 8-7i) * (3 - 6)
[246687] ['-9i', '(2-i)', '(2+2i)', '8'] -> -9i * 8 / (2-i - 2+2i)
[246688] ['-9i', '(2-i)', '(2+2i)', '(8+2i)'] -> 2+2i * (8+2i + -9i - 2-i)
[246707] ['-9i', '(2-i)', '(2+3i)', '(6+6i)'] -> (-9i + 2+3i) / (2-i / 6+6i)
[246732] ['-9i', '(2-i)', '(2+4i)', '6'] -> 6 + 2+4i * -9i / 2-i
[246742] ['-9i', '(2-i)', '(2+4i)', '(9+6i)'] -> 2+4i * (-9i + 9+6i / 2-i)
[246748] ['-9i', '(2-i)', '(2+5i)', '(3-6i)'] -> (3-6i + -9i * 2+5i) / 2-i
[246749] ['-9i', '(2-i)', '(2+5i)', '(3+6i)'] -> (-9i + 3+6i) * (2-i + 2+5i)
[246774] ['-9i', '(2-i)', '(2+5i)', '(8+6i)'] -> -9i + 2+5i + 2-i * 8+6i
[246783] ['-9i', '(2-i)', '(2+6i)', '(3+3i)'] -> (5+i - 5+9i) / (2-2i / 6+6i)
[246797] ['-9i', '(2-i)', '(2+6i)', '(6+6i)'] -> (-9i * 2+6i - 6+6i) / 2-i
[246815] ['-9i', '(2-i)', '(2+7i)', '3'] -> -9i / 3 * (2+7i - 2-i)
[246820] ['-9i', '(2-i)', '(2+7i)', '(4+7i)'] -> 8-8i * (5+i - 6-8i / 2-2i)
[246841] ['-9i', '(2-i)', '(2+7i)', '(8+5i)'] -> (-9i + 2+7i) * (8+5i - 2-i)
[246844] ['-9i', '(2-i)', '(2+7i)', '(9-i)'] -> 2-i * (9-i - -9i) - 2+7i
[246894] ['-9i', '(2-i)', '(3-9i)', '(3+2i)'] -> -9i * (3+2i - 2-i) - 3-9i
[246895] ['-9i', '(2-i)', '(3-9i)', '(4-5i)'] -> (4-5i - -9i) / (2-i / 3-9i)
[246899] ['-9i', '(2-i)', '(3-9i)', '(5+5i)'] -> 5+5i * -9i / 2-i - 3-9i
[246903] ['-9i', '(2-i)', '(3-9i)', '(6+i)'] -> (2-i + 6+i) * (3-9i - -9i)
[246909] ['-9i', '(2-i)', '(3-9i)', '(8+8i)'] -> -9i * 2-i / (3-9i / 8+8i)
[246913] ['-9i', '(2-i)', '(3-8i)', '(3+6i)'] -> -9i + 3+6i / (2-i / 3-8i)
[246963] ['-9i', '(2-i)', '(3-6i)', '(4+8i)'] -> 4+8i * (3-6i - -9i / 2-i)
[246968] ['-9i', '(2-i)', '(3-6i)', '(6+3i)'] -> 6+3i * (2-i + -9i / 3-6i)
[246974] ['-9i', '(2-i)', '(3-6i)', '(9+3i)'] -> 2-i * 9+3i - (-9i - 3-6i)
[246975] ['-9i', '(2-i)', '(3-6i)', '(9+9i)'] -> 9+9i * (2-i - 3-6i / -9i)
[246993] ['-9i', '(2-i)', '(3-4i)', '(3+9i)'] -> -9i * (2-i - 3-4i) - 3+9i
[246998] ['-9i', '(2-i)', '(3-4i)', '(6+6i)'] -> 6+6i * (2-i * 3-4i - -9i)
[247016] ['-9i', '(2-i)', '(3-3i)', '(6-6i)'] -> 3-3i * (6-6i - (-9i + 2-i))
[247019] ['-9i', '(2-i)', '(3-3i)', '8'] -> 8 * (2-i * 3-3i - -9i)
[247032] ['-9i', '(2-i)', '(3-2i)', '(6+6i)'] -> (-9i + 2-i) / (3-2i / 6+6i)
[247056] ['-9i', '(2-i)', '(3-i)', '(7+5i)'] -> -9i - 2-i + 3-i * 7+5i
[247062] ['-9i', '(2-i)', '3', '(3+6i)'] -> 3+6i * -9i / 2-i - 3
[247063] ['-9i', '(2-i)', '3', '(4+4i)'] -> (-9i + 3) / (2-i / 4+4i)
