[369552] ['-8i', '-i', '(9-7i)', '(9-3i)'] -> (-8i * ((9-3i) + (-i - (9-7i))))
[369557] ['-8i', '-i', '(9-6i)', '(9-4i)'] -> (-8i * ((9-4i) - (-i + (9-6i))))
[369559] ['-8i', '-i', '(9-6i)', '(9-2i)'] -> (-8i * ((9-2i) + (-i - (9-6i))))
[369565] ['-8i', '-i', '(9-5i)', '(9-3i)'] -> (-8i * ((9-3i) - (-i + (9-5i))))
[369566] ['-8i', '-i', '(9-5i)', '(9-i)'] -> (-8i * ((9-i) + (-i - (9-5i))))
[369569] ['-8i', '-i', '(9-4i)', '(9-2i)'] -> (((3+i) * (6-3i)) - (-6i / (1+i)))
[369571] ['-8i', '-i', '(9-4i)', '9'] -> (-8i * (9 + (-i - (9-4i))))
[369576] ['-8i', '-i', '(9-3i)', '(9-i)'] -> (-8i * ((9-i) - (-i + (9-3i))))
[369577] ['-8i', '-i', '(9-3i)', '(9+i)'] -> (-8i * ((9+i) + (-i - (9-3i))))
[369578] ['-8i', '-i', '(9-3i)', '(9+3i)'] -> ((9+3i) / (-i + ((9-3i) / -8i)))
[369580] ['-8i', '-i', '(9-2i)', '9'] -> (-8i * (9 - (-i + (9-2i))))
[369582] ['-8i', '-i', '(9-2i)', '(9+2i)'] -> (-8i * ((9+2i) + (-i - (9-2i))))
[369585] ['-8i', '-i', '(9-i)', '(9+i)'] -> (-8i * ((9+i) - (-i + (9-i))))
[369587] ['-8i', '-i', '(9-i)', '(9+3i)'] -> ((((3+i) * (9+3i)) - -6i) / (1+i))
[369589] ['-8i', '-i', '9', '(9+2i)'] -> (-8i * ((9+2i) - (-i + 9)))
[369591] ['-8i', '-i', '9', '(9+4i)'] -> ((-3i - (3-6i)) * ((4-3i) - (8+i)))
[369595] ['-8i', '-i', '(9+i)', '(9+3i)'] -> (((3+2i) * (6-8i)) - ((2-6i) + (8-6i)))
[369598] ['-8i', '-i', '(9+i)', '(9+5i)'] -> ((8-2i) - ((3+2i) * ((2-6i) - (6-8i))))
[369600] ['-8i', '-i', '(9+2i)', '(9+4i)'] -> (((1-2i) * (7+5i)) - ((2-4i) - (9+5i)))
[369602] ['-8i', '-i', '(9+2i)', '(9+6i)'] -> (-8i * ((9+6i) + (-i - (9+2i))))
[369605] ['-8i', '-i', '(9+3i)', '(9+5i)'] -> (-8i * ((9+5i) - (-i + (9+3i))))
[369606] ['-8i', '-i', '(9+3i)', '(9+7i)'] -> (-8i * ((9+7i) + (-i - (9+3i))))
[369608] ['-8i', '-i', '(9+4i)', '(9+6i)'] -> (-8i * ((9+6i) - (-i + (9+4i))))
[369609] ['-8i', '-i', '(9+4i)', '(9+8i)'] -> (-8i * ((9+8i) + (-i - (9+4i))))
[369610] ['-8i', '-i', '(9+5i)', '(9+7i)'] -> (-8i * ((9+7i) - (-i + (9+5i))))
[369612] ['-8i', '-i', '(9+5i)', '(9+9i)'] -> (-8i * ((9+9i) + (-i - (9+5i))))
[369614] ['-8i', '-i', '(9+6i)', '(9+8i)'] -> ((3-6i) + (-3i * ((4-2i) - (6-9i))))
[369616] ['-8i', 'i', 'i', 'i'] -> (-8i * (i + (i + i)))
[369618] ['-8i', 'i', 'i', '5i'] -> (-8i * (5i - (i + i)))
[369620] ['-8i', 'i', 'i', '(1-3i)'] -> (-8i * ((i / i) - (1-3i)))
[369630] ['-8i', 'i', 'i', '(3-i)'] -> (((3+3i) * (4-6i)) - (-6i * (1+i)))
[369638] ['-8i', 'i', 'i', '4'] -> (-8i * ((i * 4) - i))
[369657] ['-8i', 'i', 'i', '8'] -> (8 + (-8i * (i + i)))
[369664] ['-8i', 'i', '2i', '2i'] -> (-8i * (2i - (i - 2i)))
[369665] ['-8i', 'i', '2i', '4i'] -> (-8i * (4i + (i - 2i)))
[369669] ['-8i', 'i', '2i', '(2-3i)'] -> (-8i * ((2i / i) - (2-3i)))
[369670] ['-8i', 'i', '2i', '2'] -> (-8i * ((2i * 2) - i))
[369673] ['-8i', 'i', '2i', '(3-2i)'] -> ((-8i * i) * (2i + (3-2i)))
[369678] ['-8i', 'i', '2i', '5'] -> (4 * ((8+i) - ((3-6i) / -3i)))
[369682] ['-8i', 'i', '2i', '(6+i)'] -> ((-8i / 2i) * (i - (6+i)))
[369691] ['-8i', 'i', '2i', '(8-i)'] -> ((-8i * 2i) + (i + (8-i)))
[369693] ['-8i', 'i', '2i', '(8+i)'] -> (-6i - ((3+5i) * ((1+i) - (4-2i))))
[369704] ['-8i', 'i', '3i', '5i'] -> (-8i * (5i + (i - 3i)))
[369705] ['-8i', 'i', '3i', '6i'] -> (6i * (3i + (-8i + i)))
[369706] ['-8i', 'i', '3i', '7i'] -> (-8i * (7i - (i + 3i)))
[369714] ['-8i', 'i', '3i', '(2-6i)'] -> (-8i + ((2-6i) * (i + 3i)))
[369720] ['-8i', 'i', '3i', '(3-8i)'] -> ((-8i - i) + (3i * (3-8i)))
[369725] ['-8i', 'i', '3i', '(3+8i)'] -> ((i - -8i) - (3i * (3+8i)))
[369729] ['-8i', 'i', '3i', '4'] -> (-8i / (i + (4 / 3i)))
