[455858] ['-2i', '1', '(1+4i)', '(6-6i)'] -> ((6-6i) * ((1+4i) + (-2i + 1)))
[455864] ['-2i', '1', '(1+5i)', '(2-7i)'] -> (-2i * ((1 + (1+5i)) - (2-7i)))
[455865] ['-2i', '1', '(1+5i)', '(2-4i)'] -> (-2i + ((2-4i) * (1 + (1+5i))))
[455871] ['-2i', '1', '(1+5i)', '(7-9i)'] -> (((7-9i) * (1 - -2i)) - (1+5i))
[455874] ['-2i', '1', '(1+6i)', '(2-6i)'] -> (-2i * ((1 + (1+6i)) - (2-6i)))
[455875] ['-2i', '1', '(1+6i)', '2'] -> ((-2i * 2) * ((1+6i) - 1))
[455881] ['-2i', '1', '(1+6i)', '(7+8i)'] -> ((1+6i) + ((7+8i) * (-2i + 1)))
[455883] ['-2i', '1', '(1+6i)', '8'] -> (((1 - (1+6i)) * 8) / -2i)
[455888] ['-2i', '1', '(1+7i)', '(2-5i)'] -> (-2i * ((1 + (1+7i)) - (2-5i)))
[455894] ['-2i', '1', '(1+7i)', '(9-5i)'] -> ((9-5i) + ((1+7i) * (-2i + 1)))
[455895] ['-2i', '1', '(1+7i)', '(9+2i)'] -> ((-2i * (1+7i)) + (1 + (9+2i)))
[455898] ['-2i', '1', '(1+8i)', '(2-4i)'] -> (-2i * ((1 + (1+8i)) - (2-4i)))
[455903] ['-2i', '1', '(1+8i)', '6'] -> (((1 - (1+8i)) * 6) / -2i)
[455905] ['-2i', '1', '(1+8i)', '(7-6i)'] -> ((7-6i) + ((1+8i) * (-2i + 1)))
[455907] ['-2i', '1', '(1+8i)', '(7+2i)'] -> ((-2i * (1+8i)) + (1 + (7+2i)))
[455910] ['-2i', '1', '(1+8i)', '(8+4i)'] -> ((8+4i) + (-2i * (1 + (1+8i))))
[455912] ['-2i', '1', '(1+8i)', '(9+2i)'] -> ((-2i * (1+8i)) - (1 - (9+2i)))
[455913] ['-2i', '1', '(1+9i)', '(2-3i)'] -> (-2i * ((1 + (1+9i)) - (2-3i)))
[455917] ['-2i', '1', '(1+9i)', '(5-7i)'] -> ((5-7i) + ((1+9i) * (-2i + 1)))
[455918] ['-2i', '1', '(1+9i)', '(5+2i)'] -> ((-2i * (1+9i)) + (1 + (5+2i)))
[455922] ['-2i', '1', '(1+9i)', '(6+4i)'] -> ((6+4i) + (-2i * (1 + (1+9i))))
[455925] ['-2i', '1', '(1+9i)', '(7+2i)'] -> ((-2i * (1+9i)) - (1 - (7+2i)))
[455931] ['-2i', '1', '(2-9i)', '(3+3i)'] -> (-2i * ((3+3i) - (1 + (2-9i))))
[455933] ['-2i', '1', '(2-9i)', '(5-4i)'] -> ((1 + (5-4i)) - (-2i * (2-9i)))
[455937] ['-2i', '1', '(2-9i)', '(6-6i)'] -> (-6i * ((9+5i) - ((4+8i) + (5-7i))))
[455940] ['-2i', '1', '(2-9i)', '(7-4i)'] -> ((7-4i) - (1 + (-2i * (2-9i))))
[455949] ['-2i', '1', '(2-8i)', '(3+4i)'] -> (-2i * ((3+4i) - (1 + (2-8i))))
[455955] ['-2i', '1', '(2-8i)', '(7-4i)'] -> ((1 + (7-4i)) - (-2i * (2-8i)))
[455958] ['-2i', '1', '(2-8i)', '(8-6i)'] -> ((8-6i) - (-2i * (1 + (2-8i))))
[455960] ['-2i', '1', '(2-8i)', '(9-4i)'] -> ((9-4i) - (1 + (-2i * (2-8i))))
[455963] ['-2i', '1', '(2-7i)', '(3+5i)'] -> (-2i * ((3+5i) - (1 + (2-7i))))
[455975] ['-2i', '1', '(2-7i)', '(8+9i)'] -> (((8+9i) * (-2i + 1)) - (2-7i))
[455977] ['-2i', '1', '(2-7i)', '(9-4i)'] -> ((1 + (9-4i)) - (-2i * (2-7i)))
[455982] ['-2i', '1', '(2-6i)', '(3+6i)'] -> (-2i * ((3+6i) - (1 + (2-6i))))
[455984] ['-2i', '1', '(2-6i)', '(6-6i)'] -> (((2-6i) * (6-6i)) / (-2i - 1))
[455992] ['-2i', '1', '(2-5i)', '(3+4i)'] -> (((2-5i) * ((3+4i) - 1)) - -2i)
[455993] ['-2i', '1', '(2-5i)', '(3+7i)'] -> (-2i * ((3+7i) - (1 + (2-5i))))
[455996] ['-2i', '1', '(2-5i)', '(4+4i)'] -> ((4+4i) * ((2-5i) - (-2i - 1)))
[456003] ['-2i', '1', '(2-4i)', '(3+8i)'] -> (-2i * ((3+8i) - (1 + (2-4i))))
[456005] ['-2i', '1', '(2-4i)', '(5+6i)'] -> ((1 + (5+6i)) * ((2-4i) - -2i))
[456015] ['-2i', '1', '(2-3i)', '(3+7i)'] -> (((3+7i) * ((2-3i) - 1)) - -2i)
[456016] ['-2i', '1', '(2-3i)', '(3+9i)'] -> (-2i * ((3+9i) - (1 + (2-3i))))
[456021] ['-2i', '1', '(2-3i)', '(4+2i)'] -> ((1 + (2-3i)) * ((4+2i) - -2i))
[456022] ['-2i', '1', '(2-3i)', '(4+5i)'] -> (((2-3i) * (4+5i)) - (-2i - 1))
[456023] ['-2i', '1', '(2-3i)', '(4+6i)'] -> ((-2i + (4+6i)) * (1 + (2-3i)))
[456025] ['-2i', '1', '(2-3i)', '(8-8i)'] -> (((1 + (2-3i)) * (8-8i)) / -2i)
[456030] ['-2i', '1', '(2-2i)', '(4-3i)'] -> ((-2i * (2-2i)) * (1 - (4-3i)))
[456032] ['-2i', '1', '(2-2i)', '(5+4i)'] -> ((2-2i) * ((5+4i) - (-2i - 1)))
[456033] ['-2i', '1', '(2-2i)', '(5+8i)'] -> ((2-2i) * ((5+8i) + (-2i + 1)))
[456036] ['-2i', '1', '(2-2i)', '(7+4i)'] -> ((2-2i) * ((7+4i) - (-2i + 1)))
[456038] ['-2i', '1', '(2-2i)', '(7+8i)'] -> ((2-2i) * ((7+8i) + (-2i - 1)))
[456041] ['-2i', '1', '(2-2i)', '8'] -> (8 * ((2-2i) - (-2i - 1)))
[456048] ['-2i', '1', '(2-i)', '(4+4i)'] -> ((4+4i) * ((2-i) + (-2i + 1)))
[456049] ['-2i', '1', '(2-i)', '(4+9i)'] -> ((2-i) + ((4+9i) * (-2i + 1)))
[456050] ['-2i', '1', '(2-i)', '(6-6i)'] -> ((-2i * (6-6i)) * (1 - (2-i)))
[456053] ['-2i', '1', '(2-i)', '(7+3i)'] -> (-2i + ((7+3i) * (1 + (2-i))))
[456058] ['-2i', '1', '(2-i)', '(9+4i)'] -> (((2-i) * (1 + (9+4i))) - -2i)
[456060] ['-2i', '1', '2', '(5-6i)'] -> ((1 + (5-6i)) * (2 - -2i))
[456061] ['-2i', '1', '2', '(5+6i)'] -> ((-2i + 2) * (1 + (5+6i)))
[456066] ['-2i', '1', '2', '(7+6i)'] -> ((-2i + 2) * ((7+6i) - 1))
[456067] ['-2i', '1', '2', '(8-2i)'] -> ((1 + 2) * ((8-2i) - -2i))
[456068] ['-2i', '1', '2', '(8+2i)'] -> ((-2i + (8+2i)) * (1 + 2))
[456070] ['-2i', '1', '(2+i)', '(2+5i)'] -> (-2i * (1 + ((2+i) * (2+5i))))
[456074] ['-2i', '1', '(2+i)', '(4-4i)'] -> (-8i * (((2+8i) + (5-i)) - (7+4i)))
[456077] ['-2i', '1', '(2+i)', '(6+6i)'] -> ((-2i * (6+6i)) * ((2+i) - 1))
[456078] ['-2i', '1', '(2+i)', '(7-3i)'] -> (((7-3i) * (1 + (2+i))) - -2i)
[456082] ['-2i', '1', '(2+i)', '(9-4i)'] -> (-2i + ((2+i) * (1 + (9-4i))))
[456084] ['-2i', '1', '(2+2i)', '(2+3i)'] -> ((-2i * (2+2i)) * (1 + (2+3i)))
[456086] ['-2i', '1', '(2+2i)', '(4+3i)'] -> ((-2i * (2+2i)) * ((4+3i) - 1))
[456087] ['-2i', '1', '(2+2i)', '(5-8i)'] -> ((2+2i) * ((5-8i) - (-2i - 1)))
[456088] ['-2i', '1', '(2+2i)', '(5-4i)'] -> ((2+2i) * ((5-4i) + (-2i + 1)))
[456091] ['-2i', '1', '(2+2i)', '(7-8i)'] -> ((2+2i) * ((7-8i) - (-2i + 1)))
[456092] ['-2i', '1', '(2+2i)', '(7-4i)'] -> ((2+2i) * ((7-4i) + (-2i - 1)))
[456094] ['-2i', '1', '(2+2i)', '8'] -> (8 * ((2+2i) + (-2i + 1)))
[456098] ['-2i', '1', '(2+3i)', '(3-9i)'] -> (-2i * ((1 + (2+3i)) - (3-9i)))
[456100] ['-2i', '1', '(2+3i)', '(4-6i)'] -> ((1 + (2+3i)) * ((4-6i) - -2i))
[456101] ['-2i', '1', '(2+3i)', '(4-5i)'] -> ((-2i + 1) + ((2+3i) * (4-5i)))
[456102] ['-2i', '1', '(2+3i)', '(4-2i)'] -> ((-2i + (4-2i)) * (1 + (2+3i)))
[456109] ['-2i', '1', '(2+4i)', '(3-8i)'] -> (-2i * ((1 + (2+4i)) - (3-8i)))
[456111] ['-2i', '1', '(2+4i)', '(3-5i)'] -> (((2+4i) * ((3-5i) - 1)) - -2i)
[456115] ['-2i', '1', '(2+4i)', '(5-6i)'] -> ((-2i + (2+4i)) * (1 + (5-6i)))
[456118] ['-2i', '1', '(2+4i)', '(6+8i)'] -> ((2+4i) + ((6+8i) * (-2i + 1)))
[456119] ['-2i', '1', '(2+4i)', '(7-6i)'] -> ((-2i + (2+4i)) * ((7-6i) - 1))
[456123] ['-2i', '1', '(2+5i)', '(3-7i)'] -> (-2i * ((1 + (2+5i)) - (3-7i)))
