[498193] ['-2i', '(4+6i)', '(6+2i)', '(9-i)'] -> ((-2i + (4+6i)) * ((9-i) - (6+2i)))
[498194] ['-2i', '(4+6i)', '(6+3i)', '(6+5i)'] -> ((-2i * (4+6i)) + ((6+3i) + (6+5i)))
[498195] ['-2i', '(4+6i)', '(6+3i)', '9'] -> ((-2i + (4+6i)) * (9 - (6+3i)))
[498196] ['-2i', '(4+6i)', '(6+4i)', '(6+8i)'] -> ((-2i + (6+8i)) * ((6+4i) - (4+6i)))
[498197] ['-2i', '(4+6i)', '(6+4i)', '(9+i)'] -> ((-2i + (4+6i)) * ((9+i) - (6+4i)))
[498198] ['-2i', '(4+6i)', '(6+5i)', '(9-9i)'] -> ((-2i * ((6+5i) - (9-9i))) - (4+6i))
[498199] ['-2i', '(4+6i)', '(6+5i)', '(9+2i)'] -> ((-2i + (4+6i)) * ((9+2i) - (6+5i)))
[498200] ['-2i', '(4+6i)', '(6+6i)', '(6+6i)'] -> ((6+6i) * ((6+6i) + (-2i - (4+6i))))
[498201] ['-2i', '(4+6i)', '(6+6i)', '(6+7i)'] -> ((-2i * (6+7i)) + ((4+6i) + (6+6i)))
[498202] ['-2i', '(4+6i)', '(6+6i)', '(7-9i)'] -> ((-2i * ((4+6i) - (7-9i))) - (6+6i))
[498203] ['-2i', '(4+6i)', '(6+6i)', '(8+6i)'] -> ((-2i * (6+6i)) + ((4+6i) + (8+6i)))
[498204] ['-2i', '(4+6i)', '(6+6i)', '(9-8i)'] -> ((-2i * ((6+6i) - (9-8i))) - (4+6i))
[498205] ['-2i', '(4+6i)', '(6+6i)', '(9+3i)'] -> ((-2i + (4+6i)) * ((9+3i) - (6+6i)))
[498206] ['-2i', '(4+6i)', '(6+7i)', '(9-7i)'] -> ((-2i * ((6+7i) - (9-7i))) - (4+6i))
[498207] ['-2i', '(4+6i)', '(6+7i)', '(9+4i)'] -> ((-2i + (4+6i)) * ((9+4i) - (6+7i)))
[498208] ['-2i', '(4+6i)', '(6+8i)', '(7+7i)'] -> ((-2i * (7+7i)) + ((4+6i) + (6+8i)))
[498209] ['-2i', '(4+6i)', '(6+8i)', '(8-9i)'] -> ((-2i * ((4+6i) - (8-9i))) - (6+8i))
[498210] ['-2i', '(4+6i)', '(6+8i)', '(9-6i)'] -> ((-2i * ((6+8i) - (9-6i))) - (4+6i))
[498211] ['-2i', '(4+6i)', '(6+8i)', '(9+5i)'] -> ((-2i + (4+6i)) * ((9+5i) - (6+8i)))
[498212] ['-2i', '(4+6i)', '(6+9i)', '(9-5i)'] -> ((-2i * ((6+9i) - (9-5i))) - (4+6i))
