[281727] ['-3i', '(1-9i)', '(4+9i)', '(5-8i)'] -> -3i * (1-9i + 4+9i - 5-8i)
[281731] ['-3i', '(1-9i)', '(4+9i)', '(5+8i)'] -> -3i * (5+8i - (1-9i + 4+9i))
[281732] ['-3i', '(1-9i)', '(4+9i)', '(6-9i)'] -> 1-9i - 4+9i - -3i * 6-9i
[281733] ['-3i', '(1-9i)', '(4+9i)', '(6+7i)'] -> -3i * 6+7i - (1-9i - 4+9i)
[281752] ['-3i', '(1-9i)', '(5-9i)', '(6-6i)'] -> 1-9i + 5-9i - -3i * 6-6i
[281756] ['-3i', '(1-9i)', '(5-9i)', '(6+3i)'] -> (-3i + 6+3i) * (5-9i - 1-9i)
[281758] ['-3i', '(1-9i)', '(5-9i)', '(7-2i)'] -> -3i * (5-9i / 7-2i - 1-9i)
[281762] ['-3i', '(1-9i)', '(5-9i)', '(8-6i)'] -> 5-9i - 8-6i - -3i * 1-9i
[281772] ['-3i', '(1-9i)', '(5-8i)', '(6-9i)'] -> -3i * (6-9i - (1-9i + 5-8i))
[281781] ['-3i', '(1-9i)', '(5-8i)', '(8-5i)'] -> 8 * (8+3i + 2-9i - 7-6i)
[281790] ['-3i', '(1-9i)', '(5-7i)', '(6-8i)'] -> -3i * (6-8i - (1-9i + 5-7i))
[281792] ['-3i', '(1-9i)', '(5-7i)', '(6-i)'] -> -3i * (5-7i / 6-i - 1-9i)
[281804] ['-3i', '(1-9i)', '(5-7i)', '(8-4i)'] -> 5-7i - 8-4i - -3i * 1-9i
[281809] ['-3i', '(1-9i)', '(5-6i)', '(5-6i)'] -> 1-9i + 5-6i - -3i * 5-6i
[281811] ['-3i', '(1-9i)', '(5-6i)', '(6-7i)'] -> -3i * (6-7i - (1-9i + 5-6i))
[281813] ['-3i', '(1-9i)', '(5-6i)', '6'] -> 6 * (5-6i + -3i - 1-9i)
[281820] ['-3i', '(1-9i)', '(5-6i)', '(8-3i)'] -> 5-6i - 8-3i - -3i * 1-9i
[281822] ['-3i', '(1-9i)', '(5-6i)', '(9-3i)'] -> 6-9i * 8+8i / (2-3i + 3+2i)
[281826] ['-3i', '(1-9i)', '(5-5i)', '5'] -> -3i * (5-5i / 5 - 1-9i)
[281829] ['-3i', '(1-9i)', '(5-5i)', '(6-6i)'] -> -3i * (6-6i - (1-9i + 5-5i))
[281834] ['-3i', '(1-9i)', '(5-5i)', '(8-6i)'] -> 1-9i + 8-6i - -3i * 5-5i
[281835] ['-3i', '(1-9i)', '(5-5i)', '(8-2i)'] -> 5-5i - 8-2i - -3i * 1-9i
[281841] ['-3i', '(1-9i)', '(5-5i)', '(9+9i)'] -> 6+6i - 3-i * (-9i - 6-9i)
[281843] ['-3i', '(1-9i)', '(5-4i)', '(6-5i)'] -> -3i * (6-5i - (1-9i + 5-4i))
[281848] ['-3i', '(1-9i)', '(5-4i)', '(8-i)'] -> 5-4i - 8-i - -3i * 1-9i
[281853] ['-3i', '(1-9i)', '(5-4i)', '(8+8i)'] -> -3i / 1-9i * 5-4i * 8+8i
