[339315] ['-3i', '(2-3i)', '(5+2i)', '(7+7i)'] -> -3i * (7+7i - (2-3i + 5+2i))
[339321] ['-3i', '(2-3i)', '(5+3i)', '(5+6i)'] -> -6i * (2-5i - 3-9i) - 6i
[339325] ['-3i', '(2-3i)', '(5+3i)', '(7-8i)'] -> -3i * (2-3i + 5+3i - 7-8i)
[339327] ['-3i', '(2-3i)', '(5+3i)', '(7-3i)'] -> 6 * (7-5i - (1-8i + 2+3i))
[339329] ['-3i', '(2-3i)', '(5+3i)', '(7+8i)'] -> -3i * (7+8i - (2-3i + 5+3i))
[339339] ['-3i', '(2-3i)', '(5+4i)', '(7-7i)'] -> -3i * (2-3i + 5+4i - 7-7i)
[339341] ['-3i', '(2-3i)', '(5+4i)', '(7-4i)'] -> (2-3i - -3i) * (5+4i + 7-4i)
[339342] ['-3i', '(2-3i)', '(5+4i)', '(7-i)'] -> 2-3i * (5+4i - -3i) - 7-i
[339343] ['-3i', '(2-3i)', '(5+4i)', '(7+9i)'] -> -3i * (7+9i - (2-3i + 5+4i))
[339350] ['-3i', '(2-3i)', '(5+4i)', '(9+6i)'] -> 2-3i * 9+6i - -3i * 5+4i
[339357] ['-3i', '(2-3i)', '(5+5i)', '(7-6i)'] -> -3i * (2-3i + 5+5i - 7-6i)
[339358] ['-3i', '(2-3i)', '(5+5i)', '(7-5i)'] -> (2-3i - -3i) * (5+5i + 7-5i)
[339365] ['-3i', '(2-3i)', '(5+6i)', '(5+9i)'] -> 5+9i + 2-3i * (-3i + 5+6i)
[339369] ['-3i', '(2-3i)', '(5+6i)', '(7-6i)'] -> (2-3i - -3i) * (5+6i + 7-6i)
[339370] ['-3i', '(2-3i)', '(5+6i)', '(7-5i)'] -> -3i * (2-3i + 5+6i - 7-5i)
[339382] ['-3i', '(2-3i)', '(5+7i)', '(6-9i)'] -> -3i * (5+7i - 2-3i) - 6-9i
[339383] ['-3i', '(2-3i)', '(5+7i)', '(7-7i)'] -> (2-3i - -3i) * (5+7i + 7-7i)
[339387] ['-3i', '(2-3i)', '(5+7i)', '(7+2i)'] -> (2-6i - 5-3i) * (2 - 6-4i)
[339408] ['-3i', '(2-3i)', '(5+8i)', '(7-8i)'] -> (2-3i - -3i) * (5+8i + 7-8i)
[339409] ['-3i', '(2-3i)', '(5+8i)', '(7-3i)'] -> -3i * (2-3i + 5+8i - 7-3i)
[339413] ['-3i', '(2-3i)', '(5+8i)', '(9-9i)'] -> 2+3i * (8 - 6+7i) - 1-8i
[339421] ['-3i', '(2-3i)', '(5+9i)', '(7-9i)'] -> (2-3i - -3i) * (5+9i + 7-9i)
[339422] ['-3i', '(2-3i)', '(5+9i)', '(7-2i)'] -> -3i * (2-3i + 5+9i - 7-2i)
[339432] ['-3i', '(2-3i)', '(6-9i)', '(6+6i)'] -> 2-6i + 8+4i / (2 / 5-i)
[339435] ['-3i', '(2-3i)', '(6-9i)', '(6+9i)'] -> (2-3i - -3i) * (6-9i + 6+9i)
[339444] ['-3i', '(2-3i)', '(6-9i)', '(8-4i)'] -> (2-6i - 2) * (5+4i - 5)
[339445] ['-3i', '(2-3i)', '(6-9i)', '(8-3i)'] -> (8-3i - -3i) / (2-3i / 6-9i)
[339447] ['-3i', '(2-3i)', '(6-9i)', '(8-i)'] -> 8-i / (2-3i / 6-9i) - -3i
[339448] ['-3i', '(2-3i)', '(6-9i)', '(8+i)'] -> -3i + 8+i / (2-3i / 6-9i)
[339450] ['-3i', '(2-3i)', '(6-9i)', '(8+3i)'] -> (-3i + 8+3i) / (2-3i / 6-9i)
[339454] ['-3i', '(2-3i)', '(6-9i)', '(9+3i)'] -> (2-6i + 6+6i) * (5 - 2)
[339459] ['-3i', '(2-3i)', '(6-8i)', '(6+8i)'] -> (2-3i - -3i) * (6-8i + 6+8i)
[339464] ['-3i', '(2-3i)', '(6-8i)', '(8-3i)'] -> -3i * (8-3i - (2-3i + 6-8i))
[339471] ['-3i', '(2-3i)', '(6-8i)', '(9+2i)'] -> 6-8i + 9+2i - -3i * 2-3i
[339473] ['-3i', '(2-3i)', '(6-7i)', '(6+7i)'] -> 6i - 5+3i * (-6i - 3-9i)
[339477] ['-3i', '(2-3i)', '(6-7i)', '(8-2i)'] -> -3i * (8-2i - (2-3i + 6-7i))
[339480] ['-3i', '(2-3i)', '(6-7i)', '(9-9i)'] -> (6-7i - 2-3i) / (-3i / 9-9i)
[339481] ['-3i', '(2-3i)', '(6-7i)', '(9+i)'] -> 6-7i + 9+i - -3i * 2-3i
[339484] ['-3i', '(2-3i)', '(6-6i)', '6'] -> -9i + 7+3i + 8+7i + 9-i
[339486] ['-3i', '(2-3i)', '(6-6i)', '(6+3i)'] -> 2-3i * (6+3i - -3i) - 6-6i
[339487] ['-3i', '(2-3i)', '(6-6i)', '(6+6i)'] -> (2-3i - -3i) * (6-6i + 6+6i)
[339488] ['-3i', '(2-3i)', '(6-6i)', '(6+9i)'] -> 2-3i * (-3i + 6+9i) - 6-6i
[339493] ['-3i', '(2-3i)', '(6-6i)', '(8-9i)'] -> (8-9i - 2-3i) / (-3i / 6-6i)
[339497] ['-3i', '(2-3i)', '(6-6i)', '(8-i)'] -> -3i * (8-i - (2-3i + 6-6i))
[339498] ['-3i', '(2-3i)', '(6-6i)', '8'] -> 2-6i + 2 * (5+2i + 6+i)
[339504] ['-3i', '(2-3i)', '(6-5i)', '(6+5i)'] -> (2-3i - -3i) * (6-5i + 6+5i)
