[8715] ['(3-9i)', '(3-4i)', '(5+5i)', '(7-i)'] -> (((3-9i) / (3-4i)) * ((5+5i) + (7-i)))
[8721] ['(3-9i)', '(3-4i)', '(5+5i)', '(8+4i)'] -> (((3-4i) * (5+5i)) - ((3-9i) + (8+4i)))
[8741] ['(3-9i)', '(3-4i)', '(5+6i)', '(7-2i)'] -> (((3-9i) / (3-4i)) * ((5+6i) + (7-2i)))
[8757] ['(3-9i)', '(3-4i)', '(5+7i)', '(7-3i)'] -> (4 * ((5-2i) - ((4-8i) - (5-6i))))
[8777] ['(3-9i)', '(3-4i)', '(5+8i)', '(7-4i)'] -> (((3-2i) * (8+5i)) - ((3-7i) + (7+6i)))
[8792] ['(3-9i)', '(3-4i)', '(5+9i)', '(6-4i)'] -> ((4+4i) * ((3-6i) - ((1-7i) - (1-4i))))
[8796] ['(3-9i)', '(3-4i)', '(5+9i)', '(7-5i)'] -> (((3-9i) / (3-4i)) * ((5+9i) + (7-5i)))
[8834] ['(3-9i)', '(3-4i)', '(6-8i)', '(9+9i)'] -> ((((3-9i) + (9+9i)) * (6-8i)) / (3-4i))
[8836] ['(3-9i)', '(3-4i)', '(6-7i)', '(6+3i)'] -> (((6+3i) * ((6-7i) - (3-4i))) - (3-9i))
[8864] ['(3-9i)', '(3-4i)', '(6-6i)', '(8+6i)'] -> (((9+7i) * ((9-4i) - (7-2i))) - (8-4i))
[8875] ['(3-9i)', '(3-4i)', '(6-5i)', '(6+9i)'] -> ((3-3i) * ((4+7i) + ((1-7i) - (1-4i))))
[8887] ['(3-9i)', '(3-4i)', '(6-5i)', '9'] -> ((9 * ((6-5i) - (3-4i))) - (3-9i))
[8894] ['(3-9i)', '(3-4i)', '(6-4i)', '(6+8i)'] -> (((3-9i) / (3-4i)) * ((6-4i) + (6+8i)))
[8904] ['(3-9i)', '(3-4i)', '(6-4i)', '(9-3i)'] -> (((2-i) * (9+i)) - ((2-5i) - (7+2i)))
[8910] ['(3-9i)', '(3-4i)', '(6-3i)', '(6+7i)'] -> (((3-9i) / (3-4i)) * ((6-3i) + (6+7i)))
[8921] ['(3-9i)', '(3-4i)', '(6-3i)', '8'] -> ((((3-9i) + (6-3i)) * 8) / (3-4i))
[8927] ['(3-9i)', '(3-4i)', '(6-3i)', '(9+6i)'] -> (((3-4i) * ((6-3i) - (3-9i))) - (9+6i))
[8929] ['(3-9i)', '(3-4i)', '(6-2i)', '(6+6i)'] -> (((3-9i) / (3-4i)) * ((6-2i) + (6+6i)))
[8937] ['(3-9i)', '(3-4i)', '(6-i)', '(6+5i)'] -> (((3-9i) / (3-4i)) * ((6-i) + (6+5i)))
[8948] ['(3-9i)', '(3-4i)', '6', '(6+4i)'] -> (((3-9i) / (3-4i)) * (6 + (6+4i)))
[8958] ['(3-9i)', '(3-4i)', '6', '(9-7i)'] -> ((((3-9i) + (9-7i)) * 6) / (3-4i))
[8961] ['(3-9i)', '(3-4i)', '6', '(9+3i)'] -> (8 * ((2-5i) + ((7+9i) / (2-i))))
[8966] ['(3-9i)', '(3-4i)', '(6+i)', '(6+3i)'] -> (((3-9i) / (3-4i)) * ((6+i) + (6+3i)))
[8984] ['(3-9i)', '(3-4i)', '(6+2i)', '(6+2i)'] -> ((((8-8i) - (2-5i)) * 8) / (2-i))
[9012] ['(3-9i)', '(3-4i)', '(6+4i)', '(7-3i)'] -> (((3-4i) * (6+4i)) - ((3-9i) + (7-3i)))
[9059] ['(3-9i)', '(3-4i)', '(6+7i)', '(9-9i)'] -> ((9-9i) + ((6+7i) * ((3-9i) / (3-4i))))
[9113] ['(3-9i)', '(3-4i)', '(7-8i)', '(8-5i)'] -> (((3-4i) * ((8-5i) - (3-9i))) - (7-8i))
[9156] ['(3-9i)', '(3-4i)', '(7-6i)', '(8+8i)'] -> ((3+3i) * ((3-4i) + ((3+3i) / (3+3i))))
[9187] ['(3-9i)', '(3-4i)', '(7-4i)', '(8-i)'] -> (((3-4i) * ((7-4i) - (3-9i))) - (8-i))
[9241] ['(3-9i)', '(3-4i)', '(7-i)', '(9-3i)'] -> ((7-9i) - ((1-i) * ((2-8i) - (6+5i))))
[9309] ['(3-9i)', '(3-4i)', '(7+4i)', '(9-3i)'] -> ((9-3i) + ((7+4i) * ((3-9i) / (3-4i))))
[9357] ['(3-9i)', '(3-4i)', '(8-9i)', '(9+3i)'] -> ((3-9i) + (((9+3i) * (8-9i)) / (3-4i)))
[9381] ['(3-9i)', '(3-4i)', '(8-4i)', '(9+3i)'] -> ((((3-9i) + (9+3i)) * (8-4i)) / (3-4i))
[9404] ['(3-9i)', '(3-4i)', '(8+i)', '(9+3i)'] -> ((9+3i) + ((8+i) * ((3-9i) / (3-4i))))
[9478] ['(3-9i)', '(3-4i)', '(9-2i)', '(9+9i)'] -> ((9+9i) + ((9-2i) * ((3-9i) / (3-4i))))
[9490] ['(3-9i)', '(3-4i)', '(9+4i)', '(9+9i)'] -> (((3-9i) + (3-4i)) + ((9+4i) + (9+9i)))
[9492] ['(3-9i)', '(3-4i)', '(9+5i)', '(9+8i)'] -> (((3-9i) + (3-4i)) + ((9+5i) + (9+8i)))
[9494] ['(3-9i)', '(3-4i)', '(9+6i)', '(9+7i)'] -> (((3-9i) + (3-4i)) + ((9+6i) + (9+7i)))
[9505] ['(3-9i)', '(3-3i)', '(3-3i)', '(3+5i)'] -> (((3-9i) - (3-3i)) + ((3-3i) * (3+5i)))
[9506] ['(3-9i)', '(3-3i)', '(3-3i)', '(3+6i)'] -> (((3-3i) * ((3-3i) + (3+6i))) - (3-9i))
[9508] ['(3-9i)', '(3-3i)', '(3-3i)', '(4-4i)'] -> ((4-4i) * ((3-3i) - ((3-9i) - (3-3i))))
[9509] ['(3-9i)', '(3-3i)', '(3-3i)', '(4-2i)'] -> ((3-3i) * ((4-2i) - ((3-9i) - (3-3i))))
[9511] ['(3-9i)', '(3-3i)', '(3-3i)', '(5-7i)'] -> (((4-5i) + (4+5i)) * ((8-2i) - (5-2i)))
[9515] ['(3-9i)', '(3-3i)', '(3-3i)', '(5+3i)'] -> (((3-3i) * (5+3i)) - ((3-9i) - (3-3i)))
[9519] ['(3-9i)', '(3-3i)', '(3-3i)', '(6+3i)'] -> ((3-3i) * ((6+3i) - ((3-9i) / (3-3i))))
[9526] ['(3-9i)', '(3-3i)', '(3-3i)', '(7-5i)'] -> ((((6-i) + (6+7i)) * (4-4i)) / (3-i))
[9528] ['(3-9i)', '(3-3i)', '(3-3i)', '(7+3i)'] -> (((3-3i) * (7+3i)) - ((3-9i) + (3-3i)))
[9532] ['(3-9i)', '(3-3i)', '(3-3i)', '(8-5i)'] -> (((3-3i) * ((8-5i) - (3-9i))) - (3-3i))
[9538] ['(3-9i)', '(3-3i)', '(3-3i)', '9'] -> (((3-3i) * (9 - (3-3i))) - (3-9i))
[9544] ['(3-9i)', '(3-3i)', '(3-2i)', '(3+5i)'] -> (((3-3i) * ((3-2i) + (3+5i))) - (3-9i))
[9549] ['(3-9i)', '(3-3i)', '(3-2i)', '(4-3i)'] -> ((3-3i) * ((4-3i) - ((3-9i) - (3-2i))))
[9567] ['(3-9i)', '(3-3i)', '(3-2i)', '(8-3i)'] -> (((3-3i) * (8-3i)) - ((3-9i) * (3-2i)))
[9569] ['(3-9i)', '(3-3i)', '(3-2i)', '(8+5i)'] -> ((3-2i) + ((8+5i) * ((3-9i) / (3-3i))))
[9573] ['(3-9i)', '(3-3i)', '(3-2i)', '(9+i)'] -> (((3-3i) * ((9+i) - (3-2i))) - (3-9i))
[9575] ['(3-9i)', '(3-3i)', '(3-i)', '(3+4i)'] -> (((3-3i) * ((3-i) + (3+4i))) - (3-9i))
[9578] ['(3-9i)', '(3-3i)', '(3-i)', '(4-4i)'] -> ((3-3i) * ((4-4i) - ((3-9i) - (3-i))))
[9589] ['(3-9i)', '(3-3i)', '(3-i)', '(6+3i)'] -> (((3-i) * ((3-3i) + (6+3i))) - (3-9i))
