[405754] ['(1-2i)', '(3-i)', '(6+6i)', '(7+7i)'] -> 1-2i * 7+7i - (3-i - 6+6i)
[405760] ['(1-2i)', '(3-i)', '(6+7i)', '(7+4i)'] -> 1-2i * 6+7i - (3-i - 7+4i)
[405762] ['(1-2i)', '(3-i)', '(6+7i)', '(8+7i)'] -> 3-i * (6+7i - 8+7i / 1-2i)
[405776] ['(1-2i)', '(3-i)', '(6+9i)', '(7-9i)'] -> 6+9i * (1-2i + 3-i / 7-9i)
[405789] ['(1-2i)', '(3-i)', '(7-9i)', '(8+2i)'] -> 8+2i + 7-9i / (1-2i / 3-i)
[405802] ['(1-2i)', '(3-i)', '(7-8i)', '(8+4i)'] -> (7-8i - 1-2i) / (3-i / 8+4i)
[405806] ['(1-2i)', '(3-i)', '(7-8i)', '(9+i)'] -> 9+i + 7-8i / (1-2i / 3-i)
[405819] ['(1-2i)', '(3-i)', '(7-7i)', '(9+3i)'] -> 3-i * (1-2i + 9+3i) - 7-7i
[405844] ['(1-2i)', '(3-i)', '(7-5i)', '(9-3i)'] -> -6i * (2-i + 4+i - 6-4i)
[405847] ['(1-2i)', '(3-i)', '(7-5i)', '(9+2i)'] -> 9+2i / (3-i / 7-5i) - 1-2i
[405854] ['(1-2i)', '(3-i)', '(7-4i)', '(8-8i)'] -> 8-8i * (7-4i / 3-i - 1-2i)
[405861] ['(1-2i)', '(3-i)', '(7-4i)', '(9+2i)'] -> (1-2i + 7-4i * 9+2i) / 3-i
[405864] ['(1-2i)', '(3-i)', '(7-3i)', '8'] -> 8 * (7-3i - (1-2i + 3-i))
[405874] ['(1-2i)', '(3-i)', '(7-2i)', '(9+3i)'] -> 1-2i - 7-2i + 3-i * 9+3i
[405875] ['(1-2i)', '(3-i)', '(7-2i)', '(9+4i)'] -> 3-i * (7-2i + 9+4i / 1-2i)
[405877] ['(1-2i)', '(3-i)', '(7-i)', '(7+3i)'] -> 3-i * (7-i + 7+3i / 1-2i)
[405884] ['(1-2i)', '(3-i)', '(7-i)', '(9-8i)'] -> 7-i + 9-8i / (1-2i / 3-i)
[405886] ['(1-2i)', '(3-i)', '(7-i)', '(9+5i)'] -> 3-i * (9+5i - 7-i / 1-2i)
[405892] ['(1-2i)', '(3-i)', '(7+i)', '(8-9i)'] -> 7+i + 8-9i / (1-2i / 3-i)
[405893] ['(1-2i)', '(3-i)', '(7+i)', '(8-8i)'] -> (7+i - 1-2i) / (3-i / 8-8i)
[405902] ['(1-2i)', '(3-i)', '(7+2i)', '(9-3i)'] -> (1-2i + 7+2i) / (3-i / 9-3i)
[405907] ['(1-2i)', '(3-i)', '(7+3i)', '(8+6i)'] -> 3-i * (1-2i + 8+6i) - 7+3i
[405909] ['(1-2i)', '(3-i)', '(7+4i)', '(7+6i)'] -> 3-i * (7+6i - 7+4i / 1-2i)
[405925] ['(1-2i)', '(3-i)', '(7+6i)', '(8+7i)'] -> 1-2i * 7+6i - (3-i - 8+7i)
[405934] ['(1-2i)', '(3-i)', '(7+7i)', '(9-3i)'] -> 9-3i * (1-2i + 7+7i / 3-i)
[405935] ['(1-2i)', '(3-i)', '(7+7i)', '(9+5i)'] -> 3-i * (7+7i - 9+5i / 1-2i)
[405938] ['(1-2i)', '(3-i)', '(7+8i)', '(8+6i)'] -> 1-2i - 7+8i + 3-i * 8+6i
[405939] ['(1-2i)', '(3-i)', '(7+8i)', '(9-2i)'] -> 3-i * (9-2i + 7+8i / 1-2i)
[405941] ['(1-2i)', '(3-i)', '(7+8i)', '(9+5i)'] -> -6i * (4+5i - 9-2i / 2-i)
[405945] ['(1-2i)', '(3-i)', '(7+9i)', '(8+6i)'] -> 1-2i * 8+6i - (3-i - 7+9i)
[405961] ['(1-2i)', '(3-i)', '(8-8i)', '(8+8i)'] -> 1-2i * (8+8i - 8-8i / 3-i)
[405972] ['(1-2i)', '(3-i)', '(8-7i)', '(9-i)'] -> 9-i + 8-7i / (1-2i / 3-i)
[405981] ['(1-2i)', '(3-i)', '(8-4i)', '(9+4i)'] -> 3-i * (1-2i + 9+4i) - 8-4i
[405988] ['(1-2i)', '(3-i)', '(8-2i)', '(8+6i)'] -> 3-i * (8-2i + 8+6i / 1-2i)
[405990] ['(1-2i)', '(3-i)', '(8-2i)', '(9-7i)'] -> 8-2i + 9-7i / (1-2i / 3-i)
[405994] ['(1-2i)', '(3-i)', '(8-i)', '8'] -> (1-2i + 8-i) / (3-i / 8)
[405995] ['(1-2i)', '(3-i)', '(8-i)', '(9-i)'] -> 1-2i + 9-i / (3-i / 8-i)
[405998] ['(1-2i)', '(3-i)', '8', '(8+4i)'] -> 8 * (1-2i + 8+4i / 3-i)
[406003] ['(1-2i)', '(3-i)', '(8+i)', '(9+4i)'] -> 1-2i - 8+i + 3-i * 9+4i
[406005] ['(1-2i)', '(3-i)', '(8+i)', '(9+7i)'] -> 2+3i * 3-8i - (1-5i + 5-2i)
[406007] ['(1-2i)', '(3-i)', '(8+2i)', '(8+6i)'] -> 3-i * (8+6i - 8+2i / 1-2i)
[406017] ['(1-2i)', '(3-i)', '(8+6i)', '(8+7i)'] -> 3-i * (1-2i + 8+7i) - 8+6i
[406024] ['(1-2i)', '(3-i)', '(8+8i)', '(9+9i)'] -> 3-i * (1-2i + 8+8i) - 9+9i
[406025] ['(1-2i)', '(3-i)', '(8+9i)', '(9-5i)'] -> 1-2i * (8+9i - 9-5i / 3-i)
[406034] ['(1-2i)', '(3-i)', '(9-7i)', '(9-3i)'] -> 9-3i * (9-7i / 3-i - 1-2i)
[406037] ['(1-2i)', '(3-i)', '(9-6i)', '(9-3i)'] -> 9-3i + 9-6i / (1-2i / 3-i)
[406047] ['(1-2i)', '(3-i)', '(9-3i)', '(9-2i)'] -> (9-2i - 1-2i) / (3-i / 9-3i)
[406049] ['(1-2i)', '(3-i)', '(9-3i)', '(9+9i)'] -> 3-i * (9-3i + 9+9i / 1-2i)
[406054] ['(1-2i)', '(3-i)', '(9-i)', '(9+5i)'] -> 3-i * (1-2i + 9+5i) - 9-i
[406058] ['(1-2i)', '(3-i)', '9', '(9+6i)'] -> 3-i * (9+6i - 9 / 1-2i)
[406065] ['(1-2i)', '(3-i)', '(9+4i)', '(9+5i)'] -> 1-2i - 9+4i + 3-i * 9+5i
[406068] ['(1-2i)', '3', '3', '(3+2i)'] -> (1-2i + 3+2i) * (3 + 3)
[406069] ['(1-2i)', '3', '3', '(3+6i)'] -> 1-2i * 3+6i + 3 * 3
[406070] ['(1-2i)', '3', '3', '(4-8i)'] -> 5+i * 6-4i - (2-6i + 8-8i)
[406073] ['(1-2i)', '3', '3', '(4+2i)'] -> 3 * (4+2i + 1-2i + 3)
[406078] ['(1-2i)', '3', '3', '(5-2i)'] -> (3 + 3) * (5-2i - 1-2i)
[406083] ['(1-2i)', '3', '3', '(5+6i)'] -> 1-5i * (4+8i - 2+3i) - 3-5i
[406086] ['(1-2i)', '3', '3', '(6+2i)'] -> 1-8i + 5-i + 9+4i + 9+5i
[406090] ['(1-2i)', '3', '3', '(6+6i)'] -> 6+6i * (1-2i + 3 / 3)
[406093] ['(1-2i)', '3', '3', '(7+2i)'] -> 1-2i * 3 + 3 * 7+2i
[406099] ['(1-2i)', '3', '3', '(8+2i)'] -> 3 * (1-2i + 8+2i) - 3
[406100] ['(1-2i)', '3', '3', '(8+4i)'] -> 8+4i * (3 - 3 / 1-2i)
[406102] ['(1-2i)', '3', '3', '(9-2i)'] -> 3 * 9-2i - 1-2i * 3
[406104] ['(1-2i)', '3', '(3+i)', '(3+5i)'] -> 3 * (3+5i + 1-2i * 3+i)
[406105] ['(1-2i)', '3', '(3+i)', '(4-i)'] -> 4-i * (3 + 3+i) - 1-2i
[406106] ['(1-2i)', '3', '(3+i)', '(4+i)'] -> 3 * (4+i + 1-2i + 3+i)
[406108] ['(1-2i)', '3', '(3+i)', '(4+7i)'] -> 1-2i * 4+7i + 3 + 3+i
[406114] ['(1-2i)', '3', '(3+i)', '(6-3i)'] -> 3 * (6-3i - (1-2i - 3+i))
[406120] ['(1-2i)', '3', '(3+i)', '(8-2i)'] -> 1-2i - 3 + 3+i * 8-2i
[406127] ['(1-2i)', '3', '(3+2i)', '(3+3i)'] -> 3+3i * (1-2i * 3+2i - 3)
