[401218] ['(1-5i)', '2', '(7-8i)', '(8-3i)'] -> 2-3i - 5+2i * (-6i - 4-7i)
[401223] ['(1-5i)', '2', '(7-7i)', '(8-2i)'] -> 1-5i * (8-2i - 7-7i) - 2
[401224] ['(1-5i)', '2', '(7-7i)', '(8+6i)'] -> 1-5i + 7-7i + 2 * 8+6i
[401225] ['(1-5i)', '2', '(7-7i)', '(9+i)'] -> 2 * 9+i - (1-5i - 7-7i)
[401227] ['(1-5i)', '2', '(7-6i)', '(8-8i)'] -> (2 + 7-6i) / (1-5i / 8-8i)
[401228] ['(1-5i)', '2', '(7-6i)', '(8-i)'] -> 1-5i * (8-i - 7-6i) - 2
[401235] ['(1-5i)', '2', '(7-5i)', '(8+5i)'] -> 1-5i + 7-5i + 2 * 8+5i
[401241] ['(1-5i)', '2', '(7-5i)', '9'] -> 2 * 9 - (1-5i - 7-5i)
[401244] ['(1-5i)', '2', '(7-4i)', '(8+i)'] -> 1-5i * (8+i - 7-4i) - 2
[401251] ['(1-5i)', '2', '(7-3i)', '(8+2i)'] -> 1-5i * (8+2i - 7-3i) - 2
[401253] ['(1-5i)', '2', '(7-3i)', '(8+4i)'] -> 1-5i + 7-3i + 2 * 8+4i
[401254] ['(1-5i)', '2', '(7-3i)', '(9-i)'] -> 2 * 9-i - (1-5i - 7-3i)
[401259] ['(1-5i)', '2', '(7-2i)', '(8+3i)'] -> 1-5i * (8+3i - 7-2i) - 2
[401263] ['(1-5i)', '2', '(7-2i)', '(9+9i)'] -> 2-6i * 6+6i / (7-6i - 5-5i)
[401270] ['(1-5i)', '2', '(7-i)', '(8+3i)'] -> 1-5i + 7-i + 2 * 8+3i
[401271] ['(1-5i)', '2', '(7-i)', '(8+4i)'] -> 1-5i * (8+4i - 7-i) - 2
[401276] ['(1-5i)', '2', '(7-i)', '(9-2i)'] -> 2 * 9-2i - (1-5i - 7-i)
[401280] ['(1-5i)', '2', '(7-i)', '(9+7i)'] -> 1-5i + 9+7i + 2 * 7-i
[401285] ['(1-5i)', '2', '7', '(8+5i)'] -> 1-5i * (8+5i - 7) - 2
[401286] ['(1-5i)', '2', '7', '(9+5i)'] -> 1-5i + 9+5i + 2 * 7
[401288] ['(1-5i)', '2', '(7+i)', '(8+2i)'] -> 1-5i + 7+i + 2 * 8+2i
[401289] ['(1-5i)', '2', '(7+i)', '(8+6i)'] -> 1-5i * (8+6i - 7+i) - 2
[401290] ['(1-5i)', '2', '(7+i)', '(8+8i)'] -> -3i * (4+i + 4+6i - 8-i)
[401293] ['(1-5i)', '2', '(7+i)', '(9-3i)'] -> -8i - 8+8i * (1-5i - 3-6i)
[401295] ['(1-5i)', '2', '(7+i)', '(9+3i)'] -> 1-5i + 9+3i + 2 * 7+i
[401299] ['(1-5i)', '2', '(7+2i)', '(8+6i)'] -> 8+6i + 2 * (1-5i + 7+2i)
[401301] ['(1-5i)', '2', '(7+2i)', '(8+7i)'] -> 1-5i * (8+7i - 7+2i) - 2
[401305] ['(1-5i)', '2', '(7+2i)', '(9+i)'] -> 1-5i + 9+i + 2 * 7+2i
[401309] ['(1-5i)', '2', '(7+3i)', '(8+i)'] -> 1-5i + 7+3i + 2 * 8+i
[401310] ['(1-5i)', '2', '(7+3i)', '(8+4i)'] -> 8+4i + 2 * (1-5i + 7+3i)
[401312] ['(1-5i)', '2', '(7+3i)', '(8+8i)'] -> 1-5i * (8+8i - 7+3i) - 2
[401314] ['(1-5i)', '2', '(7+3i)', '(9-4i)'] -> 2 * 9-4i - (1-5i - 7+3i)
[401315] ['(1-5i)', '2', '(7+3i)', '(9-i)'] -> 1-5i + 9-i + 2 * 7+3i
[401320] ['(1-5i)', '2', '(7+4i)', '(8-8i)'] -> 8-8i * (2 + 7+4i / 1-5i)
[401323] ['(1-5i)', '2', '(7+4i)', '(8+2i)'] -> 8+2i + 2 * (1-5i + 7+4i)
[401324] ['(1-5i)', '2', '(7+4i)', '(8+9i)'] -> 1-5i * (8+9i - 7+4i) - 2
