[442014] ['-6i', '(3+9i)', '(4-6i)', '(8+8i)'] -> (-6i - 3+9i) / (4-6i / 8+8i)
[442023] ['-6i', '(3+9i)', '(4-5i)', '7'] -> -6i * (3+9i + 4-5i - 7)
[442025] ['-6i', '(3+9i)', '(4-5i)', '(7+8i)'] -> -6i * (7+8i - (3+9i + 4-5i))
[442026] ['-6i', '(3+9i)', '(4-5i)', '(8-9i)'] -> (-6i + 3+9i) * (8-9i - 4-5i)
[442031] ['-6i', '(3+9i)', '(4-4i)', '(4-4i)'] -> -6i * 4-4i + 3+9i * 4-4i
[442036] ['-6i', '(3+9i)', '(4-4i)', '(6+6i)'] -> 4-4i * (6+6i - (-6i + 3+9i))
[442040] ['-6i', '(3+9i)', '(4-4i)', '(7+i)'] -> -6i * (3+9i + 4-4i - 7+i)
[442043] ['-6i', '(3+9i)', '(4-4i)', '(7+9i)'] -> -6i * (7+9i - (3+9i + 4-4i))
[442046] ['-6i', '(3+9i)', '(4-3i)', '(4+6i)'] -> (-6i - 4+6i) * 3+9i / 4-3i
[442052] ['-6i', '(3+9i)', '(4-3i)', '(7+2i)'] -> -6i * (3+9i + 4-3i - 7+2i)
[442053] ['-6i', '(3+9i)', '(4-3i)', '(8-7i)'] -> (-6i + 3+9i) * (8-7i - 4-3i)
[442060] ['-6i', '(3+9i)', '(4-3i)', '(9+7i)'] -> -8i * (9+4i - (2-3i + 7+4i))
[442063] ['-6i', '(3+9i)', '(4-2i)', '(5-i)'] -> 4-4i * (7+i + 1-5i - 5-7i)
[442066] ['-6i', '(3+9i)', '(4-2i)', '(5+7i)'] -> -6i / 4-2i * (3+9i + 5+7i)
[442069] ['-6i', '(3+9i)', '(4-2i)', '(6-6i)'] -> 8-5i * (4-4i - 1-5i) - 5-7i
[442074] ['-6i', '(3+9i)', '(4-2i)', '(7+3i)'] -> -6i * (3+9i + 4-2i - 7+3i)
[442077] ['-6i', '(3+9i)', '(4-2i)', '(8-6i)'] -> (-6i + 3+9i) * (8-6i - 4-2i)
[442092] ['-6i', '(3+9i)', '(4-i)', '(7+4i)'] -> -6i * (3+9i + 4-i - 7+4i)
[442096] ['-6i', '(3+9i)', '(4-i)', '(8-5i)'] -> 1-2i * 5+9i - (6-5i - 7-4i)
[442100] ['-6i', '(3+9i)', '(4-i)', '(9-9i)'] -> 9-9i + 4-i * (-6i + 3+9i)
[442106] ['-6i', '(3+9i)', '(4-i)', '(9+9i)'] -> 4-i * (9+9i - 3+9i) - -6i
[442115] ['-6i', '(3+9i)', '4', '(6+2i)'] -> -6i * 6+2i + 3+9i * 4
[442121] ['-6i', '(3+9i)', '4', '(7+5i)'] -> -6i * (3+9i + 4 - 7+5i)
[442125] ['-6i', '(3+9i)', '4', '(8-4i)'] -> (-6i + 3+9i) * (8-4i - 4)
[442128] ['-6i', '(3+9i)', '4', '(9-3i)'] -> -6i * 3+9i * 4 / 9-3i
[442129] ['-6i', '(3+9i)', '4', '(9+3i)'] -> 4 * (9+3i - (-6i + 3+9i))
[442134] ['-6i', '(3+9i)', '(4+i)', '(5-9i)'] -> (3+9i * 5-9i - -6i) / 4+i
[442136] ['-6i', '(3+9i)', '(4+i)', '(6-6i)'] -> -6i * 3+9i - 4+i * 6-6i
[442140] ['-6i', '(3+9i)', '(4+i)', '(7-7i)'] -> -6i / 4+i * (3+9i - 7-7i)
[442142] ['-6i', '(3+9i)', '(4+i)', '(7+6i)'] -> -6i * (3+9i + 4+i - 7+6i)
[442146] ['-6i', '(3+9i)', '(4+i)', '(8-3i)'] -> (-6i + 3+9i) * (8-3i - 4+i)
[442157] ['-6i', '(3+9i)', '(4+2i)', '(7+5i)'] -> -6i * 7+5i + 3+9i * 4+2i
[442158] ['-6i', '(3+9i)', '(4+2i)', '(7+7i)'] -> 4-4i + 4+2i - -2i * 1-8i
[442175] ['-6i', '(3+9i)', '(4+3i)', '(7+8i)'] -> -6i * (3+9i + 4+3i - 7+8i)
[442176] ['-6i', '(3+9i)', '(4+3i)', '(8-i)'] -> -2i * (5+i - (1-8i + 4-3i))
[442179] ['-6i', '(3+9i)', '(4+4i)', '(4+8i)'] -> -6i * 4+4i / (4+8i - 3+9i)
[442183] ['-6i', '(3+9i)', '(4+4i)', '6'] -> 4+4i * (6 - (-6i + 3+9i))
[442184] ['-6i', '(3+9i)', '(4+4i)', '(6+6i)'] -> -6i * (3+9i - 4+4i) - 6+6i
[442188] ['-6i', '(3+9i)', '(4+4i)', '(7+9i)'] -> -6i * (3+9i + 4+4i - 7+9i)
[442190] ['-6i', '(3+9i)', '(4+4i)', '8'] -> -2i * (5+2i - (1-8i + 4-2i))
[442192] ['-6i', '(3+9i)', '(4+4i)', '(8+8i)'] -> -6i * 8+8i + 3+9i * 4+4i
[442204] ['-6i', '(3+9i)', '(4+5i)', '(8+i)'] -> (-6i + 3+9i) * (8+i - 4+5i)
[442219] ['-6i', '(3+9i)', '(4+6i)', '(8+2i)'] -> (-6i + 3+9i) * (8+2i - 4+6i)
[442227] ['-6i', '(3+9i)', '(4+6i)', '(9+9i)'] -> (-6i + 4+6i) * (9+9i - 3+9i)
[442243] ['-6i', '(3+9i)', '(4+7i)', '(8+3i)'] -> 2-2i * 6-2i - -8i * 2-2i
[442244] ['-6i', '(3+9i)', '(4+7i)', '(8+4i)'] -> -6i * 8+4i / (4+7i - 3+9i)
[442251] ['-6i', '(3+9i)', '(4+8i)', '(5+8i)'] -> -6i * 4+8i / (5+8i - 3+9i)
[442254] ['-6i', '(3+9i)', '(4+8i)', '(8-8i)'] -> 3+9i * 8-8i / (-6i + 4+8i)
[442256] ['-6i', '(3+9i)', '(4+8i)', '(8+4i)'] -> (-6i + 3+9i) * (8+4i - 4+8i)
[442272] ['-6i', '(3+9i)', '(4+9i)', '(8+5i)'] -> (-6i + 3+9i) * (8+5i - 4+9i)
[442290] ['-6i', '(3+9i)', '(5-9i)', '(8-4i)'] -> -6i * (3+9i + 5-9i - 8-4i)
[442293] ['-6i', '(3+9i)', '(5-9i)', '(8+4i)'] -> -6i * (8+4i - (3+9i + 5-9i))
[442306] ['-6i', '(3+9i)', '(5-8i)', '(6+6i)'] -> 5-8i * 6+6i - -6i * 3+9i
[442310] ['-6i', '(3+9i)', '(5-8i)', '(8-3i)'] -> -6i * (3+9i + 5-8i - 8-3i)
[442312] ['-6i', '(3+9i)', '(5-8i)', '(8+5i)'] -> -6i * (8+5i - (3+9i + 5-8i))
[442329] ['-6i', '(3+9i)', '(5-7i)', '(8-2i)'] -> -6i * (3+9i + 5-7i - 8-2i)
[442330] ['-6i', '(3+9i)', '(5-7i)', '(8+6i)'] -> -6i * (8+6i - (3+9i + 5-7i))
[442335] ['-6i', '(3+9i)', '(5-6i)', '(5-5i)'] -> -6i * 5-6i + 3+9i * 5-5i
[442358] ['-6i', '(3+9i)', '(5-6i)', '(8-i)'] -> -6i * (3+9i + 5-6i - 8-i)
[442361] ['-6i', '(3+9i)', '(5-6i)', '(8+7i)'] -> 6-2i * (2-2i + 2+2i) - -8i
[442367] ['-6i', '(3+9i)', '(5-6i)', '(9-3i)'] -> 5-6i * (-6i + 3+9i) - 9-3i
[442371] ['-6i', '(3+9i)', '(5-5i)', '6'] -> 5-5i * (-6i + 3+9i) - 6
[442376] ['-6i', '(3+9i)', '(5-5i)', '8'] -> -8i * 2+3i - 2-2i * 4-4i
[442380] ['-6i', '(3+9i)', '(5-5i)', '(8+8i)'] -> -8i * (4+4i - (2-2i + 2+3i))
[442382] ['-6i', '(3+9i)', '(5-5i)', '(9-9i)'] -> (-6i + 3+9i) * (9-9i - 5-5i)
[442392] ['-6i', '(3+9i)', '(5-4i)', '(8+i)'] -> -6i * (3+9i + 5-4i - 8+i)
[442394] ['-6i', '(3+9i)', '(5-4i)', '(8+9i)'] -> -8i / 2-2i * (8+9i - 2+3i)
[442396] ['-6i', '(3+9i)', '(5-4i)', '(9-8i)'] -> (-6i + 3+9i) * (9-8i - 5-4i)
[442403] ['-6i', '(3+9i)', '(5-3i)', '(6-3i)'] -> 4-4i * (8+6i + 1-5i - 6-2i)
[442405] ['-6i', '(3+9i)', '(5-3i)', '6'] -> -6i * 3+9i - 5-3i * 6
[442415] ['-6i', '(3+9i)', '(5-3i)', '(8+2i)'] -> -6i * (3+9i + 5-3i - 8+2i)
[442417] ['-6i', '(3+9i)', '(5-3i)', '(9-7i)'] -> (-6i + 3+9i) * (9-7i - 5-3i)
[442426] ['-6i', '(3+9i)', '(5-2i)', '(8+3i)'] -> -6i * (3+9i + 5-2i - 8+3i)
[442429] ['-6i', '(3+9i)', '(5-2i)', '(9-6i)'] -> (-6i + 3+9i) * (9-6i - 5-2i)
[442438] ['-6i', '(3+9i)', '(5-i)', '7'] -> -6i * 7 + 3+9i * 5-i
[442440] ['-6i', '(3+9i)', '(5-i)', '(8+4i)'] -> -6i * (3+9i + 5-i - 8+4i)
[442442] ['-6i', '(3+9i)', '(5-i)', '(9-5i)'] -> (-6i + 3+9i) * (9-5i - 5-i)
[442462] ['-6i', '(3+9i)', '5', '(8+5i)'] -> -6i * (3+9i + 5 - 8+5i)
[442464] ['-6i', '(3+9i)', '5', '(9-4i)'] -> (-6i + 3+9i) * (9-4i - 5)
[442470] ['-6i', '(3+9i)', '(5+i)', '(6+6i)'] -> 2-2i * 7+6i - (-8i + 2+6i)
[442474] ['-6i', '(3+9i)', '(5+i)', '(8+3i)'] -> -6i * 8+3i + 3+9i * 5+i
[442476] ['-6i', '(3+9i)', '(5+i)', '(8+6i)'] -> -6i * (3+9i + 5+i - 8+6i)
[442477] ['-6i', '(3+9i)', '(5+i)', '(9-3i)'] -> (-6i + 3+9i) * (9-3i - 5+i)
[442499] ['-6i', '(3+9i)', '(5+2i)', '(8+7i)'] -> -6i * (3+9i + 5+2i - 8+7i)
[442500] ['-6i', '(3+9i)', '(5+2i)', '(9-2i)'] -> (-6i + 3+9i) * (9-2i - 5+2i)
[442505] ['-6i', '(3+9i)', '(5+3i)', '(6+6i)'] -> 5+3i * (6+6i - 3+9i) - -6i
[442514] ['-6i', '(3+9i)', '(5+3i)', '(8+8i)'] -> -6i * (3+9i + 5+3i - 8+8i)
[442518] ['-6i', '(3+9i)', '(5+3i)', '(9-i)'] -> (-6i + 3+9i) * (9-i - 5+3i)
[442520] ['-6i', '(3+9i)', '(5+3i)', '(9+6i)'] -> (1-8i - 5-4i) / (-2i / 6+6i)
[442531] ['-6i', '(3+9i)', '(5+4i)', '(8+9i)'] -> -6i * (3+9i + 5+4i - 8+9i)
[442535] ['-6i', '(3+9i)', '(5+4i)', '9'] -> (-6i + 3+9i) * (9 - 5+4i)
[442536] ['-6i', '(3+9i)', '(5+5i)', '(6-6i)'] -> 6-6i * (5+5i - (-6i + 3+9i))
[442544] ['-6i', '(3+9i)', '(5+5i)', '(9+i)'] -> (-6i + 3+9i) * (9+i - 5+5i)
[442551] ['-6i', '(3+9i)', '(5+6i)', '(9+2i)'] -> (-6i + 3+9i) * (9+2i - 5+6i)
[442560] ['-6i', '(3+9i)', '(5+7i)', '(8+8i)'] -> -6i * 8+8i / (5+7i - 3+9i)
[442566] ['-6i', '(3+9i)', '(5+7i)', '(9+3i)'] -> (-6i + 3+9i) * (9+3i - 5+7i)
[442578] ['-6i', '(3+9i)', '(5+8i)', '(9+4i)'] -> (-6i + 3+9i) * (9+4i - 5+8i)
[442585] ['-6i', '(3+9i)', '(5+9i)', '(9+5i)'] -> (-6i + 3+9i) * (9+5i - 5+9i)
[442595] ['-6i', '(3+9i)', '(6-9i)', '(9-4i)'] -> -6i * (3+9i + 6-9i - 9-4i)
[442596] ['-6i', '(3+9i)', '(6-9i)', '(9+4i)'] -> -6i * (9+4i - (3+9i + 6-9i))
[442598] ['-6i', '(3+9i)', '(6-9i)', '(9+9i)'] -> 6-9i - 9+9i / (-6i / 3+9i)
[442599] ['-6i', '(3+9i)', '(6-8i)', '(6-6i)'] -> -6i * 6-8i + 3+9i * 6-6i
[442608] ['-6i', '(3+9i)', '(6-8i)', '(9-3i)'] -> -6i * (3+9i + 6-8i - 9-3i)
[442609] ['-6i', '(3+9i)', '(6-8i)', '(9+5i)'] -> -6i * (9+5i - (3+9i + 6-8i))
[442613] ['-6i', '(3+9i)', '(6-7i)', '(9-2i)'] -> -6i * (3+9i + 6-7i - 9-2i)
[442615] ['-6i', '(3+9i)', '(6-7i)', '(9+6i)'] -> -6i * (9+6i - (3+9i + 6-7i))
[442622] ['-6i', '(3+9i)', '(6-6i)', '(8+5i)'] -> 6-9i - 1-2i * (6-2i - 6+7i)
[442624] ['-6i', '(3+9i)', '(6-6i)', '(9-i)'] -> -6i * (3+9i + 6-6i - 9-i)
[442625] ['-6i', '(3+9i)', '(6-6i)', '(9+7i)'] -> -6i * (9+7i - (3+9i + 6-6i))
[442633] ['-6i', '(3+9i)', '(6-5i)', '9'] -> -6i * (3+9i + 6-5i - 9)
[442634] ['-6i', '(3+9i)', '(6-5i)', '(9+3i)'] -> 6-5i * (-6i + 3+9i) - 9+3i
[442635] ['-6i', '(3+9i)', '(6-5i)', '(9+8i)'] -> -6i * (9+8i - (3+9i + 6-5i))
[442638] ['-6i', '(3+9i)', '(6-4i)', '(6+6i)'] -> 6-4i * (-6i + 3+9i) - 6+6i
[442640] ['-6i', '(3+9i)', '(6-4i)', '(7-5i)'] -> -6i * 7-5i + 3+9i * 6-4i
[442644] ['-6i', '(3+9i)', '(6-4i)', '(9+i)'] -> -6i * (3+9i + 6-4i - 9+i)
[442647] ['-6i', '(3+9i)', '(6-4i)', '(9+9i)'] -> -6i * (9+9i - (3+9i + 6-4i))
[442659] ['-6i', '(3+9i)', '(6-3i)', '(9+2i)'] -> -6i * (3+9i + 6-3i - 9+2i)
[442662] ['-6i', '(3+9i)', '(6-2i)', '(8-2i)'] -> -6i * 8-2i + 3+9i * 6-2i
[442666] ['-6i', '(3+9i)', '(6-2i)', '(9+3i)'] -> -8i / 2-2i * (9+3i - 3-3i)
[442678] ['-6i', '(3+9i)', '(6-i)', '(9+4i)'] -> -6i * (3+9i + 6-i - 9+4i)
[442686] ['-6i', '(3+9i)', '6', '(7+3i)'] -> 6 * (7+3i - (-6i + 3+9i))
[442688] ['-6i', '(3+9i)', '6', '(7+8i)'] -> 8 * 9+3i / (4-4i - 1-5i)
[442696] ['-6i', '(3+9i)', '6', '(9+i)'] -> -6i * 9+i + 3+9i * 6
[442699] ['-6i', '(3+9i)', '6', '(9+5i)'] -> -6i * (3+9i + 6 - 9+5i)
[442708] ['-6i', '(3+9i)', '(6+i)', '(9+6i)'] -> -6i * (3+9i + 6+i - 9+6i)
[442723] ['-6i', '(3+9i)', '(6+2i)', '(9+7i)'] -> -6i * (3+9i + 6+2i - 9+7i)
[442728] ['-6i', '(3+9i)', '(6+3i)', '8'] -> 8 * (6+3i - (-6i + 3+9i))
[442731] ['-6i', '(3+9i)', '(6+3i)', '(9+8i)'] -> -6i * (3+9i + 6+3i - 9+8i)
[442740] ['-6i', '(3+9i)', '(6+4i)', '(8-8i)'] -> (3+9i - -6i) / (6+4i / 8-8i)
[442748] ['-6i', '(3+9i)', '(6+4i)', '(9+9i)'] -> -6i * (3+9i + 6+4i - 9+9i)
[442756] ['-6i', '(3+9i)', '(6+6i)', '(7+9i)'] -> (-6i + 6+6i) * (7+9i - 3+9i)
[442778] ['-6i', '(3+9i)', '(6+9i)', '(8-2i)'] -> 8-2i * (6+9i - 3+9i) - -6i
[442779] ['-6i', '(3+9i)', '(6+9i)', '(8+6i)'] -> (-6i + 8+6i) * (6+9i - 3+9i)
[442805] ['-6i', '(3+9i)', '(7-6i)', '(9+7i)'] -> 7-6i - 9+7i / (-6i / 3+9i)
[442808] ['-6i', '(3+9i)', '(7-5i)', '(8-7i)'] -> -6i * 8-7i + 3+9i * 7-5i
[442817] ['-6i', '(3+9i)', '(7-4i)', '(9+9i)'] -> 1-2i * 7+7i - (6-9i - 9-2i)
[442820] ['-6i', '(3+9i)', '(7-3i)', '(9-4i)'] -> -6i * 9-4i + 3+9i * 7-3i
[442877] ['-6i', '(3+9i)', '(8-8i)', '(8+8i)'] -> 8-8i - 8+8i / (-6i / 3+9i)
[442887] ['-6i', '(3+9i)', '(8-6i)', '(9-9i)'] -> -6i * 9-9i + 3+9i * 8-6i
[442909] ['-6i', '(3+9i)', '(8-3i)', '(9+5i)'] -> 8-3i - 9+5i / (-6i / 3+9i)
[442919] ['-6i', '(3+9i)', '8', '(9+9i)'] -> 8 * 9+9i / (-6i + 3+9i)
[442935] ['-6i', '(3+9i)', '(8+6i)', '(9-5i)'] -> 9-5i - 8+6i / (-6i / 3+9i)
[442942] ['-6i', '(3+9i)', '(8+8i)', '9'] -> 8+8i * 9 / (-6i + 3+9i)
[442976] ['-6i', '(3+9i)', '9', '(9+3i)'] -> 9 - 9+3i / (-6i / 3+9i)
[443003] ['-6i', '(4-9i)', '(4-8i)', '(6-8i)'] -> -2i * (9+5i - (1-8i + 8+i))
[443034] ['-6i', '(4-9i)', '(4-7i)', '8'] -> -6i * 8 / (4-9i - 4-7i)
[443044] ['-6i', '(4-9i)', '(4-4i)', '(5-8i)'] -> -6i * 4-4i / (4-9i - 5-8i)
[443051] ['-6i', '(4-9i)', '(4-4i)', '6'] -> -6i * (4-4i - 4-9i) - 6
[443055] ['-6i', '(4-9i)', '(4-4i)', '7'] -> 2-2i * 7+7i - (-8i + 4+8i)
[443057] ['-6i', '(4-9i)', '(4-4i)', '(8-9i)'] -> -6i * (8-9i - (4-9i + 4-4i))
[443064] ['-6i', '(4-9i)', '(4-3i)', '(8-8i)'] -> -6i * (8-8i - (4-9i + 4-3i))
[443068] ['-6i', '(4-9i)', '(4-2i)', '(8-7i)'] -> -6i * (8-7i - (4-9i + 4-2i))
[443079] ['-6i', '(4-9i)', '(4-i)', '(8-6i)'] -> -6i * (8-6i - (4-9i + 4-i))
[443080] ['-6i', '(4-9i)', '(4-i)', '(8+7i)'] -> -6i / 4-i * (8+7i - 4-9i)
[443085] ['-6i', '(4-9i)', '4', '(4+7i)'] -> -6i / 4 * (4+7i - 4-9i)
[443089] ['-6i', '(4-9i)', '4', '(8-5i)'] -> -6i * (8-5i - (4-9i + 4))
[443091] ['-6i', '(4-9i)', '4', '(9+4i)'] -> -6i / 4-9i * 4 * 9+4i
[443094] ['-6i', '(4-9i)', '(4+i)', '(8-4i)'] -> -6i * (8-4i - (4-9i + 4+i))
[443097] ['-6i', '(4-9i)', '(4+i)', '(9-9i)'] -> (4-9i + 4+i) / (-6i / 9-9i)
[443105] ['-6i', '(4-9i)', '(4+2i)', '(7-6i)'] -> (-6i + 4+2i) * (7-6i - 4-9i)
[443111] ['-6i', '(4-9i)', '(4+2i)', '(8-3i)'] -> -6i * (8-3i - (4-9i + 4+2i))
[443114] ['-6i', '(4-9i)', '(4+3i)', '5'] -> -6i + 4-9i + 4+3i * 5
[443118] ['-6i', '(4-9i)', '(4+3i)', '(8-2i)'] -> -6i * (8-2i - (4-9i + 4+3i))
[443123] ['-6i', '(4-9i)', '(4+4i)', '(4+4i)'] -> 4+4i * (4-9i - -6i) - 4+4i
[443126] ['-6i', '(4-9i)', '(4+4i)', '(7-6i)'] -> 4+4i * (7-6i + -6i - 4-9i)
