[378355] ['-8i', '3i', '(2-i)', '(9-2i)'] -> 2-i * (9-2i - -8i) - 3i
[378361] ['-8i', '3i', '2', '(2+6i)'] -> -8i * (2+6i - (3i + 2))
[378402] ['-8i', '3i', '(2+i)', '(2+7i)'] -> -8i * (2+7i - (3i + 2+i))
[378408] ['-8i', '3i', '(2+i)', '(4-6i)'] -> -8i / (2+i + 4-6i / 3i)
[378411] ['-8i', '3i', '(2+i)', '(4-4i)'] -> -8i + 4-4i * (3i + 2+i)
[378421] ['-8i', '3i', '(2+i)', '(8-5i)'] -> 2+i * (8-5i - 3i) - -8i
[378424] ['-8i', '3i', '(2+i)', '(8+4i)'] -> 8+4i * (2+i - 3i) - -8i
[378426] ['-8i', '3i', '(2+i)', '(9+2i)'] -> 3i + 2+i * (-8i + 9+2i)
[378427] ['-8i', '3i', '(2+2i)', '(2+8i)'] -> -8i * (2+8i - (3i + 2+2i))
[378434] ['-8i', '3i', '(2+2i)', '(4-5i)'] -> 2+2i * (4-5i - 3i) - -8i
[378443] ['-8i', '3i', '(2+2i)', '(6-i)'] -> 2+2i * (6-i + -8i + 3i)
[378445] ['-8i', '3i', '(2+2i)', '(6+5i)'] -> 2+2i * (6+5i + -8i - 3i)
[378446] ['-8i', '3i', '(2+2i)', '(7-6i)'] -> -8i / (2+2i + 7-6i / 3i)
[378451] ['-8i', '3i', '(2+2i)', '(8-7i)'] -> -8i + 2+2i * (3i + 8-7i)
[378455] ['-8i', '3i', '(2+3i)', '(2+9i)'] -> -8i * (2+9i - (3i + 2+3i))
[378456] ['-8i', '3i', '(2+3i)', '(3+2i)'] -> 3i + 2+3i * (-8i + 3+2i)
[378467] ['-8i', '3i', '(2+3i)', '(6+6i)'] -> 6+6i * (2+3i + -8i + 3i)
[378481] ['-8i', '3i', '(2+4i)', '(4-7i)'] -> 7 * (1-8i + 3+7i) - 4-7i
[378493] ['-8i', '3i', '(2+4i)', '(8-8i)'] -> 8-8i * (2+4i - 3i) - -8i
[378503] ['-8i', '3i', '(2+5i)', '(3+6i)'] -> 3+6i * (-8i + 2+5i) - 3i
[378504] ['-8i', '3i', '(2+5i)', '(4-8i)'] -> 4-8i * (2+5i - 3i) - -8i
[378515] ['-8i', '3i', '(2+5i)', '(6+2i)'] -> 3-2i * (7+3i - -3i) - 9+4i
[378524] ['-8i', '3i', '(2+5i)', '(9-2i)'] -> 4+8i * (1-5i - 5-3i / 1+2i)
[378536] ['-8i', '3i', '(2+6i)', '(6-2i)'] -> -3i - 9+i + 3-2i * 7+6i
[378540] ['-8i', '3i', '(2+6i)', '(6+3i)'] -> (-8i + 2+6i) * (3i + 6+3i)
[378542] ['-8i', '3i', '(2+6i)', '(6+9i)'] -> 3-3i + 3+9i * (-6i + 1+4i)
[378557] ['-8i', '3i', '(2+7i)', '(3-2i)'] -> 3-2i - (-8i + 3i * 2+7i)
[378567] ['-8i', '3i', '(2+7i)', '(6-6i)'] -> 6-6i * (2+7i + -8i + 3i)
[378579] ['-8i', '3i', '(2+7i)', '(9+6i)'] -> 9-5i * (3-2i - -3i) - 8-6i
[378612] ['-8i', '3i', '(2+9i)', '(3-i)'] -> -8i / (3-i - 2+9i / 3i)
[378629] ['-8i', '3i', '(2+9i)', '(6+6i)'] -> 6+6i * (2+9i + -8i - 3i)
[378636] ['-8i', '3i', '(2+9i)', '(9-6i)'] -> 2 * (6+3i + 1-2i + 5-i)
[378641] ['-8i', '3i', '(3-9i)', '(3-3i)'] -> -8i * (3-3i - (3i + 3-9i))
[378645] ['-8i', '3i', '(3-9i)', '(3+7i)'] -> 3i * (3-9i - (-8i + 3+7i))
[378655] ['-8i', '3i', '(3-9i)', '8'] -> -8i - 8 / (3i / 3-9i)
[378659] ['-8i', '3i', '(3-8i)', '(3-2i)'] -> -6i * (1+4i - 3+2i / 3+2i)
[378663] ['-8i', '3i', '(3-8i)', '(3+8i)'] -> 3i * (3-8i - (-8i + 3+8i))
[378664] ['-8i', '3i', '(3-8i)', '(4-4i)'] -> 4-4i * (3-8i - (-8i - 3i))
[378666] ['-8i', '3i', '(3-8i)', '(4+4i)'] -> 1-5i * 1+2i + 5-4i + 8+7i
