[90966] ['(3-3i)', '3', '(6+6i)', '(9-9i)'] -> (9-9i - 3-3i) * 6+6i / 3
[90967] ['(3-3i)', '3', '(6+6i)', '9'] -> 3-3i * 6+6i - (3 + 9)
[90974] ['(3-3i)', '3', '(6+7i)', '(6+9i)'] -> 3-3i * (6+7i - 6+9i / 3)
[90994] ['(3-3i)', '3', '(6+7i)', '(9+2i)'] -> 3-3i * 3 + 6+7i + 9+2i
[91019] ['(3-3i)', '3', '(6+8i)', '(9+i)'] -> 3-3i * 3 + 6+8i + 9+i
[91023] ['(3-3i)', '3', '(6+9i)', '(7-4i)'] -> 3 * 7-4i - (3-3i - 6+9i)
[91029] ['(3-3i)', '3', '(6+9i)', '(7+3i)'] -> 3-3i * 6+9i - 3 * 7+3i
[91030] ['(3-3i)', '3', '(6+9i)', '(7+6i)'] -> 3 * (3-3i + 7+6i) - 6+9i
[91039] ['(3-3i)', '3', '(6+9i)', '(9-3i)'] -> 9-3i + 6+9i * 3-3i / 3
[91042] ['(3-3i)', '3', '(6+9i)', '9'] -> 3-3i * 3 + 6+9i + 9
[91045] ['(3-3i)', '3', '(6+9i)', '(9+4i)'] -> 3-3i - 6+9i + 3 * 9+4i
[91056] ['(3-3i)', '3', '(7-9i)', '(8-5i)'] -> 9 + 3i * (-7i + 2i)
[91062] ['(3-3i)', '3', '(7-9i)', '(8+8i)'] -> 8+8i / (3 - 7-9i / 3-3i)
[91079] ['(3-3i)', '3', '(7-8i)', '(8-4i)'] -> 3-3i * (8-4i + 3 - 7-8i)
[91089] ['(3-3i)', '3', '(7-7i)', '7'] -> 7 * (3 + 3-3i / 7-7i)
[91094] ['(3-3i)', '3', '(7-7i)', '(8-3i)'] -> 3-3i * (8-3i + 3 - 7-7i)
[91102] ['(3-3i)', '3', '(7-7i)', '9'] -> 5-2i * 7+3i - (8+7i + 9-6i)
[91108] ['(3-3i)', '3', '(7-7i)', '(9+9i)'] -> (7-7i - 3-3i) * 9+9i / 3
[91121] ['(3-3i)', '3', '(7-6i)', '(8-2i)'] -> 3-3i * (8-2i + 3 - 7-6i)
[91136] ['(3-3i)', '3', '(7-5i)', '(8-i)'] -> 3-3i * (8-i + 3 - 7-5i)
[91157] ['(3-3i)', '3', '(7-4i)', '8'] -> 3-3i * (8 + 3 - 7-4i)
[91178] ['(3-3i)', '3', '(7-3i)', '(8+i)'] -> 3-3i * (8+i + 3 - 7-3i)
[91184] ['(3-3i)', '3', '(7-3i)', '(9+6i)'] -> 3-3i * 9+6i - 3 * 7-3i
[91191] ['(3-3i)', '3', '(7-2i)', '(8+2i)'] -> 3-3i * (8+2i + 3 - 7-2i)
[91204] ['(3-3i)', '3', '(7-i)', '(8+3i)'] -> 3-3i * (8+3i + 3 - 7-i)
[91206] ['(3-3i)', '3', '(7-i)', '(8+7i)'] -> 3-3i * 8+7i - 3 * 7-i
[91207] ['(3-3i)', '3', '(7-i)', '(8+9i)'] -> 7-i + 8+9i * 3-3i / 3
[91218] ['(3-3i)', '3', '7', '(8+4i)'] -> 3-3i * (8+4i + 3 - 7)
[91221] ['(3-3i)', '3', '7', '(8+9i)'] -> 6-6i * (6+6i - (1-i + 3+5i))
[91231] ['(3-3i)', '3', '(7+i)', '(7+i)'] -> (7+5i - 3+5i) * 6-6i / 1-i
[91235] ['(3-3i)', '3', '(7+i)', '(7+8i)'] -> 3-3i * 7+8i - 3 * 7+i
[91238] ['(3-3i)', '3', '(7+i)', '(8+5i)'] -> 6 * (9-3i + 4-4i - 9-7i)
[91241] ['(3-3i)', '3', '(7+i)', '(8+8i)'] -> (1-i + 3+5i) * (9-9i - 6-6i)
[91244] ['(3-3i)', '3', '(7+i)', '9'] -> 3-3i + 9 * 7+i / 3
[91248] ['(3-3i)', '3', '(7+i)', '(9+8i)'] -> 7+i + 9+8i * 3-3i / 3
[91254] ['(3-3i)', '3', '(7+2i)', '(8+6i)'] -> 6 * (9 + 4-4i - 9-4i)
[91256] ['(3-3i)', '3', '(7+2i)', '(8+7i)'] -> 3-3i * 3 + 7+2i + 8+7i
[91258] ['(3-3i)', '3', '(7+2i)', '(9-6i)'] -> 3-3i * (7+2i - 9-6i / 3)
[91273] ['(3-3i)', '3', '(7+3i)', '(8+6i)'] -> 3-3i * 3 + 7+3i + 8+6i
[91274] ['(3-3i)', '3', '(7+3i)', '(8+7i)'] -> -4i * 1+i * (9-i - 6-4i)
[91278] ['(3-3i)', '3', '(7+3i)', '(9-3i)'] -> 3-3i * (7+3i - 9-3i / 3)
[91289] ['(3-3i)', '3', '(7+4i)', '(8+5i)'] -> 3-3i * 3 + 7+4i + 8+5i
[91293] ['(3-3i)', '3', '(7+4i)', '(8+8i)'] -> 3-3i * (8+8i + 3 - 7+4i)
[91299] ['(3-3i)', '3', '(7+4i)', '9'] -> 3-3i * (7+4i - 9 / 3)
[91306] ['(3-3i)', '3', '(7+5i)', '(8+4i)'] -> -7i * 2i + 1-9i + 9+9i
[91308] ['(3-3i)', '3', '(7+5i)', '(8+9i)'] -> 2i * (-7i + 1-8i - 1-3i)
[91310] ['(3-3i)', '3', '(7+5i)', '(9-6i)'] -> -4i * (1+i + 6-2i - 7-7i)
[91314] ['(3-3i)', '3', '(7+5i)', '(9+3i)'] -> 3-3i * (7+5i - 9+3i / 3)
[91322] ['(3-3i)', '3', '(7+6i)', '(8+3i)'] -> 3-3i * 3 + 7+6i + 8+3i
[91328] ['(3-3i)', '3', '(7+6i)', '(9+6i)'] -> 3-3i * (7+6i - 9+6i / 3)
[91332] ['(3-3i)', '3', '(7+7i)', '(8+2i)'] -> 3-3i * 3 + 7+7i + 8+2i
[91348] ['(3-3i)', '3', '(7+8i)', '(8+i)'] -> 3-9i + 6-3i + 7+5i + 8+7i
[91358] ['(3-3i)', '3', '(7+8i)', '(9-i)'] -> 9-i + 7+8i * 3-3i / 3
[91366] ['(3-3i)', '3', '(7+9i)', '(8-2i)'] -> 8-2i + 7+9i * 3-3i / 3
[91368] ['(3-3i)', '3', '(7+9i)', '8'] -> 3-3i * 3 + 7+9i + 8
[91369] ['(3-3i)', '3', '(7+9i)', '(8+i)'] -> 8+i * (3 + 3-3i / 7+9i)
[91370] ['(3-3i)', '3', '(7+9i)', '(8+2i)'] -> 3-3i * 7+9i - 3 * 8+2i
[91386] ['(3-3i)', '3', '(8-9i)', '8'] -> 8 / (3-3i - 8-9i / 3)
[91392] ['(3-3i)', '3', '(8-9i)', '(9-5i)'] -> 3-3i * (9-5i + 3 - 8-9i)
[91401] ['(3-3i)', '3', '(8-8i)', '(8-8i)'] -> 8-8i / (3-3i - 8-8i / 3)
[91408] ['(3-3i)', '3', '(8-8i)', '(9-7i)'] -> 8-8i / (3 - 9-7i / 3-3i)
[91410] ['(3-3i)', '3', '(8-8i)', '(9-4i)'] -> 3-3i * (9-4i + 3 - 8-8i)
[91425] ['(3-3i)', '3', '(8-7i)', '(9-3i)'] -> 3-3i * (9-3i + 3 - 8-7i)
[91441] ['(3-3i)', '3', '(8-6i)', '(9-2i)'] -> -7i * 2i + 1-7i + 9+7i
[91462] ['(3-3i)', '3', '(8-5i)', '(9-i)'] -> 2-8i * (6+8i - 5+5i) - 2-2i
[91476] ['(3-3i)', '3', '(8-4i)', '9'] -> 3-3i * (9 + 3 - 8-4i)
[91488] ['(3-3i)', '3', '(8-3i)', '(9+i)'] -> 3-3i * (9+i + 3 - 8-3i)
[91493] ['(3-3i)', '3', '(8-3i)', '(9+9i)'] -> 3 * (8-3i + 9+9i / 3-3i)
[91502] ['(3-3i)', '3', '(8-2i)', '(9+2i)'] -> 3-3i * (9+2i + 3 - 8-2i)
[91504] ['(3-3i)', '3', '(8-2i)', '(9+7i)'] -> 3-3i * 9+7i - 3 * 8-2i
[91511] ['(3-3i)', '3', '(8-i)', '(9+3i)'] -> 3-3i * (9+3i + 3 - 8-i)
[91513] ['(3-3i)', '3', '(8-i)', '(9+7i)'] -> 8-i * (3 - 3-3i / 9+7i)
[91514] ['(3-3i)', '3', '(8-i)', '(9+9i)'] -> (6+5i - 3+5i) * 8-8i / 1-i
[91520] ['(3-3i)', '3', '8', '(9-3i)'] -> 8 * (9-3i - (3-3i + 3))
[91521] ['(3-3i)', '3', '8', '(9+4i)'] -> -4i * (1+i + 6+6i - 7+i)
[91526] ['(3-3i)', '3', '(8+i)', '(9-6i)'] -> 3 * (3-3i + 8+i) - 9-6i
[91529] ['(3-3i)', '3', '(8+i)', '(9+5i)'] -> 3-3i * (9+5i + 3 - 8+i)
[91532] ['(3-3i)', '3', '(8+i)', '(9+9i)'] -> 3 * 8+i - 9+9i / 3-3i
[91538] ['(3-3i)', '3', '(8+2i)', '(9-3i)'] -> 3-7i - 7+7i * (7-2i - 9-3i)
[91542] ['(3-3i)', '3', '(8+2i)', '(9+6i)'] -> 3-3i * (9+6i + 3 - 8+2i)
[91544] ['(3-3i)', '3', '(8+2i)', '(9+7i)'] -> 8+2i + 9+7i * 3-3i / 3
[91552] ['(3-3i)', '3', '(8+3i)', '9'] -> 2i * (-7i + 1-4i - 1+i)
[91556] ['(3-3i)', '3', '(8+3i)', '(9+7i)'] -> -4i * (6+8i / 1+i - 7-5i)
[91558] ['(3-3i)', '3', '(8+3i)', '(9+9i)'] -> 3 * (8+3i - 9+9i / 3-3i)
[91568] ['(3-3i)', '3', '(8+4i)', '(9+3i)'] -> 3 * (3-3i + 8+4i) - 9+3i
[91571] ['(3-3i)', '3', '(8+4i)', '(9+8i)'] -> 3-3i * (9+8i + 3 - 8+4i)
[91575] ['(3-3i)', '3', '(8+5i)', '(9+6i)'] -> 3 * (3-3i + 8+5i) - 9+6i
[91577] ['(3-3i)', '3', '(8+5i)', '(9+9i)'] -> 3-3i * (9+9i + 3 - 8+5i)
[91582] ['(3-3i)', '3', '(8+6i)', '(9+3i)'] -> 3-3i * (8+6i - 3) - 9+3i
[91584] ['(3-3i)', '3', '(8+6i)', '(9+9i)'] -> 3 * (3-3i + 8+6i) - 9+9i
[91587] ['(3-3i)', '3', '(8+7i)', '(9+i)'] -> 9+i + 8+7i * 3-3i / 3
[91590] ['(3-3i)', '3', '(8+8i)', '9'] -> 8+8i * (3 - 9 / 3-3i)
[91593] ['(3-3i)', '3', '(8+9i)', '(9+i)'] -> 3-3i * 8+9i - 3 * 9+i
[91611] ['(3-3i)', '3', '(9-6i)', '(9-2i)'] -> (3 + 9-6i * 9-2i) / 3-3i
[91615] ['(3-3i)', '3', '(9-6i)', '(9+9i)'] -> 3-3i + 3 + 9-6i + 9+9i
[91619] ['(3-3i)', '3', '(9-5i)', '(9+8i)'] -> 2+3i * 3-9i - (1-4i + 8-5i)
[91622] ['(3-3i)', '3', '(9-4i)', '(9+7i)'] -> 3-3i + 3 + 9-4i + 9+7i
[91627] ['(3-3i)', '3', '(9-3i)', '(9+6i)'] -> 3-3i + 3 + 9-3i + 9+6i
[91630] ['(3-3i)', '3', '(9-2i)', '(9+5i)'] -> 3-3i + 3 + 9-2i + 9+5i
[91632] ['(3-3i)', '3', '(9-i)', '(9-i)'] -> 9-i * (3 - 3-3i / 9-i)
[91633] ['(3-3i)', '3', '(9-i)', '9'] -> 9 * 9-i / 3 - 3-3i
