[80465] ['(1-i)', '(3+i)', '4', '(5-i)'] -> (4 + ((3+i) * ((1-i) + (5-i))))
[80468] ['(1-i)', '(3+i)', '4', '(6+2i)'] -> ((1-i) * (((3+i) * (6+2i)) - 4))
[80471] ['(1-i)', '(3+i)', '4', '(6+4i)'] -> (((1-i) * 4) * ((6+4i) - (3+i)))
[80472] ['(1-i)', '(3+i)', '4', '(6+6i)'] -> (((7-2i) * ((7-6i) - (3-7i))) - (6-i))
[80474] ['(1-i)', '(3+i)', '4', '(7-7i)'] -> (((7-7i) * ((3+i) - (1-i))) - 4)
[80476] ['(1-i)', '(3+i)', '4', '(7+2i)'] -> (((1-i) * (8-4i)) - (-4i * (3-5i)))
[80480] ['(1-i)', '(3+i)', '4', '(7+9i)'] -> (4 + ((1-i) * ((3+i) + (7+9i))))
[80482] ['(1-i)', '(3+i)', '4', '(8-4i)'] -> (((3+i) * (8-4i)) - ((1-i) * 4))
[80483] ['(1-i)', '(3+i)', '4', '8'] -> (9 - ((2-i) * ((1-4i) - (7-i))))
[80484] ['(1-i)', '(3+i)', '4', '(8+2i)'] -> (4 * ((8+2i) + ((1-i) - (3+i))))
[80485] ['(1-i)', '(3+i)', '4', '(8+4i)'] -> (((1-i) * (8+4i)) + ((3+i) * 4))
[80489] ['(1-i)', '(3+i)', '4', '(8+8i)'] -> ((-4i / (1-i)) * ((9+i) - (3-5i)))
[80492] ['(1-i)', '(3+i)', '4', '(9-5i)'] -> ((((9-5i) - (3+i)) * 4) / (1-i))
[80497] ['(1-i)', '(3+i)', '4', '(9+8i)'] -> ((8-2i) - ((2-i) * ((1-4i) - 7)))
[80500] ['(1-i)', '(3+i)', '(4+i)', '(5-7i)'] -> (-4i * ((4+i) - ((1-i) + (3-4i))))
[80509] ['(1-i)', '(3+i)', '(4+i)', '(6+4i)'] -> ((6+4i) + ((4+i) * ((1-i) * (3+i))))
[80520] ['(1-i)', '(3+i)', '(4+i)', '(7+9i)'] -> ((3+i) + ((1-i) * ((4+i) + (7+9i))))
[80523] ['(1-i)', '(3+i)', '(4+i)', '(8-4i)'] -> (((1-i) + (7+i)) * ((3-4i) - -4i))
[80531] ['(1-i)', '(3+i)', '(4+i)', '(8+8i)'] -> ((8+8i) * ((3+i) - ((4+i) / (1-i))))
[80532] ['(1-i)', '(3+i)', '(4+i)', '(9-5i)'] -> ((9-5i) + ((3+i) * ((1-i) + (4+i))))
