[131525] ['(3-8i)', '(3+i)', '(5+4i)', '(6+6i)'] -> ((((3-8i) + (5+4i)) * (6+6i)) / (3+i))
[131526] ['(3-8i)', '(3+i)', '(5+4i)', '(6+7i)'] -> (((3-8i) * ((6+7i) - (5+4i))) - (3+i))
[131537] ['(3-8i)', '(3+i)', '(5+4i)', '(9+i)'] -> (((3-8i) - (5+4i)) + ((3+i) * (9+i)))
[131543] ['(3-8i)', '(3+i)', '(5+5i)', '(6+8i)'] -> (((3-8i) * ((6+8i) - (5+5i))) - (3+i))
[131557] ['(3-8i)', '(3+i)', '(5+6i)', '(6+9i)'] -> (((3-8i) * ((6+9i) - (5+6i))) - (3+i))
[131591] ['(3-8i)', '(3+i)', '(5+8i)', '(6+i)'] -> (((3-8i) + (5+8i)) * ((6+i) - (3+i)))
[131604] ['(3-8i)', '(3+i)', '(5+8i)', '(9+3i)'] -> ((-9i - -i) * ((5-6i) - (5-9i)))
[131627] ['(3-8i)', '(3+i)', '(6-9i)', '(7-6i)'] -> (((3-8i) * ((7-6i) - (6-9i))) - (3+i))
[131633] ['(3-8i)', '(3+i)', '(6-9i)', '(8-3i)'] -> (((3-8i) - (6-9i)) + ((3+i) * (8-3i)))
[131636] ['(3-8i)', '(3+i)', '(6-9i)', '(8+3i)'] -> (((8+3i) * ((6-9i) - (3-8i))) - (3+i))
[131643] ['(3-8i)', '(3+i)', '(6-8i)', '(7-5i)'] -> (((3-8i) * ((7-5i) - (6-8i))) - (3+i))
[131654] ['(3-8i)', '(3+i)', '(6-7i)', '(6+3i)'] -> (((3-8i) + (6-7i)) + ((3+i) * (6+3i)))
[131657] ['(3-8i)', '(3+i)', '(6-7i)', '(7-4i)'] -> (((3-8i) * ((7-4i) - (6-7i))) - (3+i))
[131674] ['(3-8i)', '(3+i)', '(6-6i)', '(7-3i)'] -> (((3-8i) * ((7-3i) - (6-6i))) - (3+i))
[131676] ['(3-8i)', '(3+i)', '(6-6i)', '7'] -> (((7 - (3-8i)) * (6-6i)) / (3+i))
[131680] ['(3-8i)', '(3+i)', '(6-6i)', '(8-5i)'] -> ((6-6i) * ((8-5i) - ((3-8i) + (3+i))))
[131687] ['(3-8i)', '(3+i)', '(6-5i)', '(6-3i)'] -> (((3+i) * (6-3i)) - ((3-8i) - (6-5i)))
[131691] ['(3-8i)', '(3+i)', '(6-5i)', '(7-2i)'] -> (((3-8i) * ((7-2i) - (6-5i))) - (3+i))
[131710] ['(3-8i)', '(3+i)', '(6-4i)', '(7-i)'] -> (((3-8i) * ((7-i) - (6-4i))) - (3+i))
[131728] ['(3-8i)', '(3+i)', '(6-3i)', '7'] -> (((3-8i) * (7 - (6-3i))) - (3+i))
[131739] ['(3-8i)', '(3+i)', '(6-2i)', '(7-8i)'] -> (((3+i) * (6-2i)) - ((3-8i) - (7-8i)))
[131742] ['(3-8i)', '(3+i)', '(6-2i)', '(7+i)'] -> (((3-8i) * ((7+i) - (6-2i))) - (3+i))
[131745] ['(3-8i)', '(3+i)', '(6-2i)', '(8-8i)'] -> ((((6-2i) - (3-8i)) * (8-8i)) / (3+i))
[131758] ['(3-8i)', '(3+i)', '(6-i)', '(7+2i)'] -> (((3-8i) * ((7+2i) - (6-i))) - (3+i))
[131776] ['(3-8i)', '(3+i)', '(6-i)', '(9-6i)'] -> (((3+i) * (9-6i)) - ((3-8i) + (6-i)))
[131779] ['(3-8i)', '(3+i)', '6', '(6+5i)'] -> (((3+i) * ((3-8i) + (6+5i))) - 6)
[131782] ['(3-8i)', '(3+i)', '6', '(7+3i)'] -> (((3-8i) * ((7+3i) - 6)) - (3+i))
[131797] ['(3-8i)', '(3+i)', '(6+i)', '(7+4i)'] -> (((3-8i) * ((7+4i) - (6+i))) - (3+i))
[131803] ['(3-8i)', '(3+i)', '(6+i)', '9'] -> (((3-8i) - (6+i)) + ((3+i) * 9))
[131810] ['(3-8i)', '(3+i)', '(6+2i)', '(7+5i)'] -> (((3-8i) * ((7+5i) - (6+2i))) - (3+i))
[131814] ['(3-8i)', '(3+i)', '(6+2i)', '(9-9i)'] -> (((4-3i) + (5+4i)) + ((7+5i) + (8-6i)))
[131817] ['(3-8i)', '(3+i)', '(6+2i)', '(9+8i)'] -> (((3-i) * ((1-4i) + (8+5i))) - (4-6i))
[131823] ['(3-8i)', '(3+i)', '(6+3i)', '(7+6i)'] -> (((3-8i) * ((7+6i) - (6+3i))) - (3+i))
[131826] ['(3-8i)', '(3+i)', '(6+3i)', '(8-6i)'] -> (((3+i) * ((3-8i) + (6+3i))) - (8-6i))
[131836] ['(3-8i)', '(3+i)', '(6+4i)', '(7-3i)'] -> (((3+i) * ((3-8i) + (6+4i))) - (7-3i))
[131838] ['(3-8i)', '(3+i)', '(6+4i)', '(7+7i)'] -> (((3-8i) * ((7+7i) - (6+4i))) - (3+i))
[131855] ['(3-8i)', '(3+i)', '(6+5i)', '(7+8i)'] -> (((3-8i) * ((7+8i) - (6+5i))) - (3+i))
[131865] ['(3-8i)', '(3+i)', '(6+5i)', '(9-7i)'] -> ((((9-7i) * (6+5i)) / (3+i)) - (3-8i))
[131876] ['(3-8i)', '(3+i)', '(6+6i)', '(7+9i)'] -> (((3-8i) * ((7+9i) - (6+6i))) - (3+i))
[131877] ['(3-8i)', '(3+i)', '(6+6i)', '(8-9i)'] -> ((6+6i) * ((8-9i) - ((3-8i) + (3+i))))
[131930] ['(3-8i)', '(3+i)', '(7-9i)', '(8-6i)'] -> (((3-8i) * ((8-6i) - (7-9i))) - (3+i))
[131940] ['(3-8i)', '(3+i)', '(7-8i)', '(8-5i)'] -> (((3-8i) * ((8-5i) - (7-8i))) - (3+i))
[131952] ['(3-8i)', '(3+i)', '(7-7i)', '(8-4i)'] -> (((3-8i) * ((8-4i) - (7-7i))) - (3+i))
[131961] ['(3-8i)', '(3+i)', '(7-6i)', '(8-3i)'] -> (((3-8i) * ((8-3i) - (7-6i))) - (3+i))
[131984] ['(3-8i)', '(3+i)', '(7-5i)', '(8-2i)'] -> (((3-8i) * ((8-2i) - (7-5i))) - (3+i))
[131998] ['(3-8i)', '(3+i)', '(7-4i)', '(8-i)'] -> (((3-8i) * ((8-i) - (7-4i))) - (3+i))
[132003] ['(3-8i)', '(3+i)', '(7-4i)', '(9-7i)'] -> ((7-6i) - (-i * (-9i + (6-8i))))
[132012] ['(3-8i)', '(3+i)', '(7-3i)', '8'] -> (((3-8i) * (8 - (7-3i))) - (3+i))
[132027] ['(3-8i)', '(3+i)', '(7-2i)', '(8+i)'] -> (((3-8i) * ((8+i) - (7-2i))) - (3+i))
