[111345] ['(1-4i)', '(2+9i)', '(6-5i)', '(8+6i)'] -> (((1-4i) * (2+9i)) - ((6-5i) + (8+6i)))
[111359] ['(1-4i)', '(2+9i)', '(6-4i)', '(8+5i)'] -> (((1-4i) * (2+9i)) - ((6-4i) + (8+5i)))
[111383] ['(1-4i)', '(2+9i)', '(6-3i)', '(8+4i)'] -> ((4-4i) * ((9+9i) - ((1-i) + (5+7i))))
[111396] ['(1-4i)', '(2+9i)', '(6-2i)', '(8+3i)'] -> (((1-4i) * (2+9i)) - ((6-2i) + (8+3i)))
[111405] ['(1-4i)', '(2+9i)', '(6-i)', '6'] -> (6 * ((6-i) + ((2+9i) / (1-4i))))
[111409] ['(1-4i)', '(2+9i)', '(6-i)', '(7+4i)'] -> (((3-7i) - (1-7i)) * ((3+9i) + (9-9i)))
[111417] ['(1-4i)', '(2+9i)', '(6-i)', '(8+2i)'] -> (((3-6i) * ((5+3i) - (3-i))) - 6)
[111430] ['(1-4i)', '(2+9i)', '6', '(7+5i)'] -> (6 * ((7+5i) - ((1-4i) + (2+9i))))
[111436] ['(1-4i)', '(2+9i)', '6', '(8+i)'] -> (((1-4i) * (2+9i)) - (6 + (8+i)))
[111459] ['(1-4i)', '(2+9i)', '(6+i)', '8'] -> (((1-4i) * (2+9i)) - ((6+i) + 8))
[111471] ['(1-4i)', '(2+9i)', '(6+2i)', '(8-i)'] -> (((6+9i) * 8) / ((7+2i) - (5-i)))
[111499] ['(1-4i)', '(2+9i)', '(6+3i)', '(8-2i)'] -> (((1-4i) * (2+9i)) - ((6+3i) + (8-2i)))
[111508] ['(1-4i)', '(2+9i)', '(6+3i)', '9'] -> (9 - (((6+3i) * (2+9i)) / (1-4i)))
[111526] ['(1-4i)', '(2+9i)', '(6+4i)', '(8-3i)'] -> (((1-4i) * (2+9i)) - ((6+4i) + (8-3i)))
[111527] ['(1-4i)', '(2+9i)', '(6+4i)', '(8-2i)'] -> ((8-2i) - (((6+4i) * (2+9i)) / (1-4i)))
[111528] ['(1-4i)', '(2+9i)', '(6+4i)', '(8+2i)'] -> ((6+4i) - (((8+2i) * (2+9i)) / (1-4i)))
[111541] ['(1-4i)', '(2+9i)', '(6+5i)', '(7-4i)'] -> ((7-4i) - (((6+5i) * (2+9i)) / (1-4i)))
[111549] ['(1-4i)', '(2+9i)', '(6+5i)', '(8-4i)'] -> (((1-4i) * (2+9i)) - ((6+5i) + (8-4i)))
[111551] ['(1-4i)', '(2+9i)', '(6+5i)', '8'] -> ((-4i * (1+6i)) - ((7-4i) - 7))
[111566] ['(1-4i)', '(2+9i)', '(6+6i)', '(8-9i)'] -> ((-4i * (1+6i)) - ((7-3i) - (7+i)))
[111569] ['(1-4i)', '(2+9i)', '(6+6i)', '(8-5i)'] -> (((1-4i) * (2+9i)) - ((6+6i) + (8-5i)))
[111591] ['(1-4i)', '(2+9i)', '(6+7i)', '(8-6i)'] -> (((1-4i) * (2+9i)) - ((6+7i) + (8-6i)))
[111616] ['(1-4i)', '(2+9i)', '(6+8i)', '(8-7i)'] -> (-4i * (((1+6i) + (7-i)) - (8-i)))
[111636] ['(1-4i)', '(2+9i)', '(6+9i)', '(8-8i)'] -> ((4+4i) * ((4-2i) + (-i * (1-i))))
