[138716] ['(4-6i)', '(4+i)', '(7-3i)', '(9+8i)'] -> -4i * (5-4i - (2-4i + 3-6i))
[138732] ['(4-6i)', '(4+i)', '(7-2i)', '(9+7i)'] -> 4-6i + 4+i + 7-2i + 9+7i
[138741] ['(4-6i)', '(4+i)', '(7-i)', '(9-3i)'] -> 4-6i - 9-3i + 4+i * 7-i
[138745] ['(4-6i)', '(4+i)', '(7-i)', '(9+6i)'] -> 4-6i + 4+i + 7-i + 9+6i
[138751] ['(4-6i)', '(4+i)', '7', '(8+i)'] -> 4-6i - 8+i + 4+i * 7
[138755] ['(4-6i)', '(4+i)', '7', '(9+i)'] -> 9+i * (7 - 4+i) - 4-6i
[138757] ['(4-6i)', '(4+i)', '7', '(9+5i)'] -> 4-6i + 4+i + 7 + 9+5i
[138761] ['(4-6i)', '(4+i)', '(7+i)', '(7+5i)'] -> 4-6i - 7+5i + 4+i * 7+i
[138769] ['(4-6i)', '(4+i)', '(7+i)', '(9+4i)'] -> 1-7i * 3+5i - (6-8i + 8-8i)
[138783] ['(4-6i)', '(4+i)', '(7+2i)', '(8-3i)'] -> 6 * (6-8i - 1-i * 5-3i)
[138788] ['(4-6i)', '(4+i)', '(7+2i)', '(9+3i)'] -> 4-6i + 4+i + 7+2i + 9+3i
[138801] ['(4-6i)', '(4+i)', '(7+3i)', '(9+2i)'] -> 4-6i + 4+i + 7+3i + 9+2i
[138814] ['(4-6i)', '(4+i)', '(7+4i)', '(9+i)'] -> 4-6i + 4+i + 7+4i + 9+i
[138824] ['(4-6i)', '(4+i)', '(7+5i)', '9'] -> 4-6i + 4+i + 7+5i + 9
[138843] ['(4-6i)', '(4+i)', '(7+6i)', '(9-i)'] -> 3-3i + 5 + 7-3i + 9+6i
[138857] ['(4-6i)', '(4+i)', '(7+7i)', '(9-2i)'] -> 4-6i + 4+i + 7+7i + 9-2i
[138870] ['(4-6i)', '(4+i)', '(7+8i)', '(9-3i)'] -> 2i * (-9i + 3-9i - 3-6i)
[138880] ['(4-6i)', '(4+i)', '(7+9i)', '(9-4i)'] -> 4-6i + 4+i + 7+9i + 9-4i
[138942] ['(4-6i)', '(4+i)', '(8-5i)', '(9-6i)'] -> 7-2i / (1-i / 5-3i) - 6-i
[138950] ['(4-6i)', '(4+i)', '(8-4i)', '(8-2i)'] -> 4+i * 8-4i - (4-6i + 8-2i)
[138956] ['(4-6i)', '(4+i)', '(8-4i)', '(8+9i)'] -> 4-6i + 4+i + 8-4i + 8+9i
[138961] ['(4-6i)', '(4+i)', '(8-3i)', '(8+8i)'] -> -4i / 2-4i * 3 * 8+4i
[138973] ['(4-6i)', '(4+i)', '(8-2i)', '(8+7i)'] -> 4-6i + 4+i + 8-2i + 8+7i
[138982] ['(4-6i)', '(4+i)', '(8-i)', '(8+6i)'] -> -4i * (4+8i / 3+i - 2-4i)
[138991] ['(4-6i)', '(4+i)', '8', '(8+5i)'] -> 3-3i * (5 + 7+7i - 8+3i)
[138995] ['(4-6i)', '(4+i)', '8', '(8+9i)'] -> (4-6i + 8+9i) / (4+i / 8)
[139002] ['(4-6i)', '(4+i)', '(8+i)', '(8+4i)'] -> 4-6i + 4+i + 8+i + 8+4i
[139014] ['(4-6i)', '(4+i)', '(8+2i)', '(8+3i)'] -> 4-6i + 4+i + 8+2i + 8+3i
[139017] ['(4-6i)', '(4+i)', '(8+2i)', '(8+6i)'] -> 3 * (7-7i - (2-8i - 3-i))
[139159] ['(4-6i)', '(4+2i)', '(4+2i)', '(5-4i)'] -> 4+2i * (5-4i - 4-6i / 4+2i)
[139168] ['(4-6i)', '(4+2i)', '(4+2i)', '(6-4i)'] -> -4i * (2-4i + 3+5i - 5-5i)
[139189] ['(4-6i)', '(4+2i)', '(4+2i)', '(9-2i)'] -> 4+2i * (9-2i - 4+2i) - 4-6i
[139236] ['(4-6i)', '(4+2i)', '(4+3i)', '(9-i)'] -> 4+2i * (9-i - 4+3i) - 4-6i
[139248] ['(4-6i)', '(4+2i)', '(4+4i)', '(5-i)'] -> 2-4i + 2-4i + 2+2i * 7-3i
[139279] ['(4-6i)', '(4+2i)', '(4+4i)', '9'] -> (1-i - 7+5i) * (5-3i - 7-5i)
[139293] ['(4-6i)', '(4+2i)', '(4+5i)', '(6-2i)'] -> 4+5i * (6-2i - 4+2i) - 4-6i
[139309] ['(4-6i)', '(4+2i)', '(4+5i)', '(9+i)'] -> 4+2i * (9+i - 4+5i) - 4-6i
[139436] ['(4-6i)', '(4+2i)', '(5-4i)', '(5-4i)'] -> 5-4i * (4+2i - 4-6i / 5-4i)
[139458] ['(4-6i)', '(4+2i)', '(5-4i)', '8'] -> 8 * (4-6i + 4+2i - 5-4i)
[139460] ['(4-6i)', '(4+2i)', '(5-4i)', '(8+4i)'] -> 5-4i * (8+4i - 4+2i) - 4-6i
[139467] ['(4-6i)', '(4+2i)', '(5-3i)', '(6-8i)'] -> 4-6i - 6-8i + 4+2i * 5-3i
